A_mid,E,Egrad,Emass,F50_energy_fraction_mid,F90_energy_fraction_mid,cancellation_mid,energy_identity_relerr,eta_mid,fmass_global,gain_mid_vs_baseline,gain_mid_vs_l4,gain_mid_vs_local,mu_dx,mu_h,pad,pad_eta_mid_relerr_97_129,q_max,q_min,q_outward_weighted_median_mid,q_teacher_absdiff_mid,resolved_mu_dx,teacher_F90_energy_fraction,teacher_F90_gross_outward_fraction,wildcard
0.03193769753666208,0.07957288090322383,0.011815271369344734,0.06775760953387909,0.006780963032598603,0.09069723317152852,12.568367344853106,0.0,0.4013640975938091,0.8515163553809945,3.3306067935032346,-14.3481374376532,6.608591136471787,0.7248486245640926,2.8,97,4.010880383565482e-15,3.9780470207598198,2.000000000063458,3.7445989952717103,1.094969856083826,False,0.00016482235571226077,0.3109866476076604,False
0.028140529674208978,0.06588578653421864,0.008753407788756985,0.05713237874546166,0.00796041695752127,0.09226583661192063,11.70830334775036,2.1063401589061768e-16,0.4271107799493875,0.8671426987638557,3.544258377383671,-15.268540979514833,7.032518682130905,0.8089828399152819,3.125,97,1.0397518177899573e-15,3.986590933231272,2.000000000005089,3.767296330107316,1.1176671909194318,False,0.00015593131251986624,0.2944432972825194,True
0.019590776051159144,0.04259488712850026,0.004299627097986883,0.038295260030513374,0.009981981477931976,0.09524387570442315,10.672641525720937,0.0,0.4599325734109282,0.8990576712877354,3.816620775847618,-16.441868654709758,7.572940246125799,1.0354980350915608,4.0,97,2.051799819118788e-15,3.9905480389321006,2.0,3.8196473458849085,1.1700182066970242,False,0.00013540530216382866,0.2588928923163631,False
0.013292049639634956,0.02835519407164461,0.0021588497018769394,0.02619634436976767,0.01196655411981659,0.0973865374544448,10.338777280408419,1.2235666393915057e-16,0.46876948209383257,0.923864047750045,3.8899513708592206,-16.757774290182468,7.718442837777019,1.294372543864451,5.0,97,1.0657698083283416e-15,3.995952483390006,2.0,3.867246187051567,1.2176170478636825,False,0.00011863740048772607,0.23121767191503115,True
0.010772964410034936,0.022968925405036183,0.001496151976821223,0.02147277342821496,0.012996913961951403,0.09828539768731685,10.284275496039594,1.5104959813195702e-16,0.4690234401507024,0.9348619079718385,3.8920587701870293,-16.766852892691293,7.722624340242554,1.4496972491281852,5.6,97,1.1835474835420053e-16,3.996517606260032,2.0,3.8886957370477413,1.239066597859857,False,0.00011128940816582492,0.219301713442677,False
0.005400932173899413,0.011668146647833765,0.00044125653087232267,0.011226890116961442,0.015124866644997157,0.10046161424901036,10.329571960345884,1.4867172382503992e-16,0.46287832480251834,0.9621828089592751,3.8410652631737636,-16.54717465013157,7.621443006221729,2.0709960701831216,8.0,97,4.797040453768578e-16,3.99560031979224,2.0,3.943515290713125,1.2938861515252404,False,9.383459330877036e-05,0.19134751806192435,False
0.0024121984156025298,0.005302306215276673,9.983895182445476e-05,0.005202467263452218,0.016327777330839184,0.10123825901233326,10.474367323958791,3.2716395574794047e-16,0.4549338189206528,0.981170655226059,3.7751400211807793,-16.26317101614782,7.490634118557646,3.106494105274683,12.0,97,1.9523244541532644e-15,3.997846380200681,2.0,3.971303250541263,1.3216741113533788,False,8.268499340093226e-05,0.17372793765325134,False
0.001357095261073333,0.003007784588417142,3.334458184719128e-05,0.002974440006569951,0.016580879466830702,0.10161826757058423,10.553566558152765,0.0,0.45119429971795605,0.9889139062765332,3.744108675488414,-16.129489065538134,7.429061711843238,4.141992140366243,16.0,97,1.8454738213434227e-15,3.999460902586088,2.000000000179887,3.9830512678580283,1.333422128670144,False,7.842460055329577e-05,0.16705307519465104,False
0.000602886955681881,0.0013451974172600948,6.8650748612695774e-06,0.0013383323423988252,0.017298500726226573,0.10190214588799933,10.621524869754971,1.6119599377373369e-16,0.4481773068742909,0.9948966041911883,3.719073011059776,-16.02163629986019,7.3793859379387605,6.212988210549366,24.0,97,1.2385979919065394e-15,3.999559267175607,2.0,3.9922268019330267,1.3425976627451424,False,7.526049030250421e-05,0.16212195235542948,False
-0.0456758199656907,1.2610988281666167,0.9472457461819414,0.31385308198467526,0.009017389412718894,0.12867862368319044,42.04834333610142,1.7607232674051358e-16,-0.036219064632780705,0.24887270923957192,-0.3005536953690221,1.2947747950797222,-0.5963587449361972,0.06471862719322255,0.25,129,0.0008134022026693404,3.9993023691943437,2.001858095712936,2.6719942714840257,0.022365132296141343,True,3.323720197526688e-05,0.2522427936627805,False
-0.058359787781041006,1.039200853964194,0.6975728510396436,0.3416280029245503,0.004942515324786103,0.11629897292242339,36.88101833279923,0.0,-0.056158333163813794,0.328741072162669,-0.46601409311030834,2.0075723945776924,-0.9246653226093983,0.09060607807051158,0.35,129,8.475459661907127e-05,3.9986329449819165,2.003635376215739,3.2926382521864683,0.643009112998584,True,5.496451083015268e-05,0.30803322342478817,False
-0.06081370543119824,0.7938524072927697,0.45357152754266344,0.34028087975010635,0.0028356492184679763,0.10266365323325796,37.112461944726725,1.3985257390744557e-16,-0.07660580842550796,0.42864501842420194,-0.6356917011097897,2.7385375881927754,-1.261339690316328,0.1294372543864451,0.5,129,2.444527909156304e-06,3.9972118950146607,2.0073911107745976,3.79615842376662,1.1465292845787358,True,8.778296690560722e-05,0.35723635768457984,False
-0.05195003790611041,0.6458172266887201,0.32506740040866544,0.3207498262800546,0.0023157116842431004,0.09506930690026485,42.21336559206512,5.157293637013544e-16,-0.08044077450902376,0.4966572785997454,-0.667515085830011,2.8756316151994206,-1.3244836611401485,0.1617965679830564,0.625,129,1.2063767633978548e-07,3.995646898526693,2.011500625666186,3.93565502995026,1.2860258907623758,True,0.00011251735155673252,0.3803297255036292,True
-0.04396184226463118,0.574768868459829,0.26913181959922644,0.30563704886060256,0.002057980472129799,0.09175298816047726,48.130203423860344,1.9315990923449794e-16,-0.07648612281739073,0.5317564426890384,-0.6346985238379071,2.734259015283863,-1.2593690276344676,0.18121215614102315,0.7,129,1.992493680357603e-08,3.9945424463023764,2.014384093381663,3.9443231178356095,1.2946939786477252,True,0.00012564410479058317,0.3892725854608273,False
-0.00794988820695336,0.3784150424823365,0.13679876809903777,0.24161627438329875,0.0019264456422966672,0.08479520494568472,214.08430744846305,0.0,-0.02100838316258118,0.6384954276614858,-0.17433214405894368,0.7510167719700988,-0.34590989974480124,0.2588745087728902,1.0,129,9.225293988913741e-11,3.98889352051743,2.0289183235426926,3.8818336785483707,1.2322045393604864,True,0.00016411450671401025,0.4029591087294211,False
