gamma_opt,E_source_J,E_gradient_J,E_no_cancel_J,budget_ratio,meets_budget,compactness_proxy,Qt,Z1,Z2,Z3,c1_sq,c2_sq,c3_sq,x1,x2,x3,EOM_residual,bare_cutoff_eV,effective_soft_cutoff_eV,E_bulk_signed_J,signed_over_gradient,case,C_source,acceleration_m_s2,h_m,budget_J,region_ratio,safety,selection_role
13727377.874057256,2.2694776646413136e+17,4.538955388037096e+16,2.7233732034450234e+17,272.33732034450236,False,1.5444989105561407e-18,10295532.905542998,10295533.405542962,10295533.405542962,7.284712413212244e-08,1.0000000485647484,1.0000000485647484,7.07560500271942e-15,-0.12499999089410949,-0.12499999089410949,2573883.2263857313,-4.656612873077393e-10,1.462211718589827,0.00039465396079999996,-4.6730960015371677e+23,-10295531.905542878,006D_SMALL,23.591586299249,0.980665,0.01,1000000000000000.0,0.5,10.0,PHYSICAL
1372737.9369180365,2.2694774174602307e+18,4.538953892050136e+17,2.723372806665244e+18,2723.3728066652443,False,1.5444965445048704e-18,1029552.952689074,1029553.4526887097,1029553.4526887097,7.284711619794827e-07,1.0000004856473235,1.0000004856473235,7.0756065540563e-13,-0.12499990894110476,-0.12499990894110476,257388.23817208636,0.0,4.623919703941078,0.003946539608,-4.6730888427203787e+23,-1029551.9526878598,006D_SMALL,23.591586299249,0.980665,0.01,1000000000000000.0,0.5,100.0,PHYSICAL
154084604.58914563,2.0218747721314476e+16,4043749596130503.5,2.426249731744498e+16,24.26249731744498,False,7.72249557675655e-19,115563452.94185922,115563453.44185922,115563453.44185922,6.489941046780246e-09,1.0000000043266273,1.0000000043266273,5.615911329722365e-17,-0.12499999918875737,-0.12499999918875737,28890863.235464804,0.0,0.24494359873286917,1.973269804e-05,-4.6730966211734e+23,-115563451.9418592,006D_SMALL,23.591586299249,0.980665,0.01,1000000000000000.0,1.0,1.0,PHYSICAL
15408460.618113363,2.021874751241623e+17,4.0437494901044e+16,2.426249700252063e+17,242.6249700252063,False,7.722494551928995e-19,11556344.963585073,11556345.46358504,11556345.46358504,6.48994097972677e-08,1.0000000432662721,1.0000000432662721,5.615911432357783e-15,-0.12499999188757377,-0.12499999188757377,2889086.240896252,4.656612873077393e-10,0.774579674275643,0.00019732698039999998,-4.673096001021775e+23,-11556343.963584961,006D_SMALL,23.591586299249,0.980665,0.01,1000000000000000.0,1.0,10.0,PHYSICAL
1540846.3467067175,2.021874377406309e+18,4.043750079214724e+17,2.4262493853277814e+18,2426.2493853277815,False,7.722488083486029e-19,1155634.2600305246,1155634.7600302002,1155634.7600302002,6.489939779766624e-07,1.0000004326625584,1.0000004326625584,5.615911542459117e-13,-0.12499991887575275,-0.12499991887575275,288908.5650074689,-5.820766091346741e-11,2.4494362264271055,0.001973269804,-4.673092086787229e+23,-1155633.2600294428,006D_SMALL,23.591586299249,0.980665,0.01,1000000000000000.0,1.0,100.0,PHYSICAL
86477066.27091263,3.6025710425543464e+16,7205145043703897.0,4.323085546924736e+16,43.23085546924736,False,3.8612492851851277e-19,64857799.20318449,64857799.703184485,64857799.703184485,1.1563759539057806e-08,1.000000007709173,1.000000007709173,1.7829404761070013e-16,-0.12499999855453006,-0.12499999855453006,16214449.80079612,0.0,0.18350036989497642,1.9732698039999995e-05,-4.6730984326922225e+23,-64857798.20318449,006D_SMALL,23.591586299249,0.980665,0.01,1000000000000000.0,2.0,1.0,PHYSICAL
8647705.822976345,3.602571377542744e+17,7.205140693997117e+16,4.323085446942456e+17,432.30854469424565,False,3.861245791418748e-19,6485778.867232346,6485779.367232288,6485779.367232288,1.1563760614324674e-07,1.0000000770917346,1.0000000770917346,1.7829409313887442e-14,-0.12499998554529923,-0.12499998554529923,1621444.7168080576,0.0,0.580279093372625,0.00019732698039999998,-4.6730942043420215e+23,-6485777.867232153,006D_SMALL,23.591586299249,0.980665,0.01,1000000000000000.0,2.0,10.0,PHYSICAL
864770.788683613,3.6025705177539676e+18,7.205139293661452e+17,4.3230844471201126e+18,4323.084447120113,False,3.861237925400444e-19,648577.5915135769,648578.0915129988,648578.0915129988,1.1563757854520481e-06,1.0000007709168932,1.0000007709168932,1.7829413174041818e-12,-0.12499985545302682,-0.12499985545302682,162144.39787810514,0.0,1.835003832605802,0.001973269804,-4.6730846844495994e+23,-648576.5915116497,006D_SMALL,23.591586299249,0.980665,0.01,1000000000000000.0,2.0,100.0,PHYSICAL
1189765474.1527257,1.1099284814709539e+19,2.2198560982293297e+18,1.3319140912938869e+19,13319140.912938869,False,6.546819242095715e-17,892324105.1145443,892324105.6145443,892324105.6145443,8.405017810019539e-10,1.0000000005603344,1.0000000005603344,9.419243256844012e-19,-0.12499999989493728,-0.12499999989493728,223081026.27863607,0.0,0.013612790060511337,3.946539608e-07,-1.9808311041156945e+27,-892324104.1145444,IDEAL_MACRO,1.0,9.80665,1.0,1000000000000.0,0.5,1.0,PHYSICAL
118976556.47024171,1.1099283969974369e+20,2.2198569205748417e+19,1.331914089054921e+20,133191408.9054921,False,6.546822066577416e-17,89232416.85268131,89232417.3526813,89232417.3526813,8.40501717033741e-09,1.0000000056033447,1.0000000056033447,9.419241870601481e-17,-0.12499999894937286,-0.12499999894937286,22308104.213170324,0.0,0.04304742353902601,3.946539608e-06,-1.980831958701868e+27,-89232415.85268131,IDEAL_MACRO,1.0,9.80665,1.0,1000000000000.0,0.5,10.0,PHYSICAL
