E_over_Qm,I_E_activation,I_Q_activation,V_eft_eV,V_reaction_eV,V_required_eV,V_self_eV,activation_charge,activation_energy_GJ,activation_energy_J,activation_energy_fraction,bound_pass,candidate_pass,eft_pass,f_leak_10m,geometry_pass,m_A_eV,metric_operator_scale_eV,mu_mA_over_mX,omega_activation,payload_f_min,reaction_pass,reaction_ratio,reaction_shape,self_coupling_est,source_A_relerr,source_f_min
0.3154833644589709,56750.15629586063,179883.19730640211,5.213565397836093e-20,7.393641889740111e-44,1.4198312597382087e-07,1.4198312597382087e-07,14314.650015244306,3.641742691092366e-31,3.641742691092366e-22,2.995997716272675e-33,True,True,True,8.025247133502944e-12,True,5.033170767918036e-07,98.678714728827,0.08417228855608394,0.25,1.0,True,2.711710709443425e-74,6.4038316698164245e-109,12.56637061435917,0.0,1.0
0.3154833644589709,56750.15629586063,179883.19730640211,5.213565397836093e-20,7.697288894400098e-44,1.4634518928926533e-07,1.4634518928926533e-07,14314.650015244306,3.753625790496946e-31,3.7536257904969457e-22,3.0880419760512495e-33,True,True,True,1.656341730438271e-12,True,5.1878018863451e-07,100.18307156463176,0.08675826382299838,0.25,1.0,True,2.7664235444713934e-74,6.940626238119076e-109,12.56637061435917,0.0,1.0
0.3154833644589709,56750.15629586063,179883.19730640211,5.213565397836093e-20,8.067488170580178e-44,1.5084126568716197e-07,1.5084126568716197e-07,14314.650015244308,3.8689462079643845e-31,3.8689462079643847e-22,3.182914056996766e-33,True,True,True,3.262945469373335e-13,True,5.347183644853445e-07,101.71036231780312,0.08942368647331904,0.25,1.0,True,2.8604630281908493e-74,7.624296174989555e-109,12.56637061435917,0.0,1.0
0.3154833644589709,56750.15629586063,179883.19730640211,5.213565397836093e-20,8.51837723351371e-44,1.5547547237190903e-07,1.5547547237190903e-07,14314.650015244308,3.987809546177552e-31,3.987809546177552e-22,3.280700836580684e-33,True,True,True,6.128431095930864e-14,True,5.511461994538886e-07,103.26093661587171,0.09217099732185598,0.25,1.0,True,3.0018567767987406e-74,8.500350265384909e-109,12.56637061435917,0.0,1.0
0.3154833644589709,56750.15629586063,179883.19730640211,5.213565397836093e-20,9.068553371766798e-44,1.602520530383323e-07,1.602520530383323e-07,14314.650015244308,4.110324652187878e-31,4.110324652187878e-22,3.381491861359467e-33,True,True,True,1.099120794378905e-14,True,5.680787370466141e-07,104.83514941643939,0.0950027121711242,0.25,1.0,True,3.2023501928995493e-74,9.633832935852734e-109,12.566370614359169,0.0,1.0
0.3154833644589709,56750.15629586063,179883.19730640211,5.213565397836093e-20,9.742506336325109e-44,1.6517538175777502e-07,1.6517538175777502e-07,14314.650015244306,4.23660371709015e-31,4.23660371709015e-22,3.485379428975282e-33,True,True,True,1.887379141862766e-15,True,5.855314829427141e-07,106.43336108843599,0.09792142411514633,0.25,1.0,True,3.4789705738449744e-74,1.1118967938837274e-108,12.566370614359172,0.0,1.0
0.3154833644589709,56750.15629586063,179883.19730640211,5.213565397836093e-20,1.0573487237009782e-43,1.7024996698357833e-07,1.7024996698357833e-07,14314.650015244306,4.3667623787595795e-31,4.366762378759579e-22,3.592458672675981e-33,True,True,True,3.3306690738754696e-16,True,6.035204191931607e-07,108.055937494615,0.10092980591403355,0.25,1.0,True,3.857113494691539e-74,1.3096630504047531e-108,12.56637061435917,0.0,1.0
0.3154833644589709,56750.15629586063,179883.19730640211,5.213565397836093e-20,1.1607426873688802e-43,1.754804556796197e-07,1.754804556796197e-07,14314.650015244308,4.5009198277451864e-31,4.500919827745186e-22,3.7028276484317284e-33,True,True,True,0.0,True,6.220620188559933e-07,109.703250075307,0.10403061244151983,0.25,1.0,True,4.375366180980179e-74,1.5783197708062933e-108,12.56637061435917,0.0,1.0
0.3154833644589709,56750.15629586063,179883.19730640211,5.213565397836093e-20,1.2909924558816109e-43,1.8087163757569003e-07,1.8087163757569003e-07,14314.650015244306,4.639198916416495e-31,4.639198916416495e-22,3.816587424728071e-33,True,True,True,0.0,True,6.411732610812372e-07,111.37567593344977,0.10722668320768988,0.25,1.0,True,5.094557491572127e-74,1.952407615252078e-108,12.56637061435917,0.0,1.0
0.3154833644589709,56750.15629586063,179883.19730640211,5.213565397836093e-20,1.457822144342136e-43,1.8642844955360599e-07,1.8642844955360599e-07,14314.650015244308,4.781726271463468e-31,4.781726271463469e-22,3.933842175117652e-33,True,True,True,0.0,True,6.608716466592673e-07,113.07359792091475,0.11052094495921158,0.25,1.0,True,6.114834543147828e-74,2.4896148734783574e-108,12.56637061435917,0.0,1.0
0.3154833644589709,56750.15629586063,179883.19730640211,5.213565397836093e-20,1.6766213742046058e-43,1.9215598016807428e-07,1.9215598016807428e-07,14314.650015244304,4.928632409852713e-31,4.928632409852714e-22,4.054699273615348e-33,True,True,True,0.0,True,6.811752140468544e-07,114.79740472614945,0.11391641435945368,0.25,1.0,True,7.613111441188324e-74,3.2930102379608144e-108,12.566370614359172,0.0,1.0
0.3154833644589709,56750.15629586063,179883.19730640211,5.213565397836093e-20,1.9750210665640498e-43,1.9805947430644793e-07,1.9805947430644793e-07,14314.650015244308,5.080051858346141e-31,5.080051858346141e-22,4.17926939302417e-33,True,True,True,0.0,True,7.021025558855714e-07,116.54749096315611,0.11741620075094333,0.25,1.0,True,9.943796337347335e-74,4.569477559810373e-108,12.56637061435917,0.0,1.0
0.3154833644589709,56750.15629586063,179883.19730640211,5.213565397836093e-20,2.7688018426994668e-43,2.041443379916415e-07,2.041443379916415e-07,14314.65001524431,5.236123276691536e-31,5.2361232766915355e-22,4.307666606281974e-33,True,True,True,0.0,True,7.236728360276843e-07,118.32425726182676,0.12102350900269279,0.25,1.0,True,1.8395393077286543e-73,8.980630637631956e-108,12.566370614359169,0.0,1.0
0.3154833644589709,56750.15629586063,179883.19730640211,5.213565397836093e-20,4.09682624259734e-43,2.1041614333260304e-07,2.1041614333260304e-07,14314.65001524431,5.396989584597816e-31,5.396989584597816e-22,4.440008490921789e-33,True,True,True,0.0,True,7.459058070851185e-07,120.12811035965545,0.12474164244500298,0.25,1.0,True,3.7908532889667724e-73,1.966156908536326e-107,12.566370614359169,0.0,1.0
0.3154833644589709,56750.15629586063,179883.19730640211,5.213565397836093e-20,6.2153979553596394e-43,2.1688063362687697e-07,2.1688063362687697e-07,14314.650015244308,5.562798092611299e-31,5.562798092611299e-22,4.5764162367414054e-33,True,True,True,0.0,True,7.688218285175729e-07,121.95946319484861,0.1285740058944312,0.25,1.0,True,8.212896208278803e-73,4.5254416053454e-107,12.56637061435917,0.0,1.0
0.3154833644589709,56750.15629586063,179883.19730640211,5.213565397836093e-20,9.681935775786486e-43,2.235437286199297e-07,2.235437286199297e-07,14314.650015244304,5.733700637012793e-31,5.733700637012793e-22,4.717014756780854e-33,True,True,True,0.0,True,7.92441885276344e-07,123.81873500085491,0.1325241087716931,0.25,1.0,True,1.8758556422363946e-72,1.0981141279048908e-106,12.566370614359172,0.0,1.0
