representation,label,category,promotion_relevant,direction,center_radius,payload_radius,net,outward,opposing,cancellation,F25,F50,F75,F90,F99,f_part,eta_op,Splus_Kplus,Splus_Kminus,Sminus_Kplus,Sminus_Kminus,signed_sector_reconstruction_error,positive_active_net_force,negative_active_net_force,mean_force_per_Qplus,mean_force_per_Qminus,e4_force,V_force,e4_V_cancellation,hotspot_jaccard,hotspot_energy_weighted_jaccard
cubic,DIST_X1.20,GEOMETRY_DISTANCE,True,"[-0.45435018446379805, 0.01878880658050992, 0.8906249999999961]",0.46441935294778797,0.01675735743205162,-214.67773500697643,872.2955691361283,1086.9733041431045,9.126558342044936,0.008619094381545867,0.029297025885007454,0.06967086951766262,0.11781698393095792,0.20591495010694805,0.05689789607123716,-0.025882227555273224,700.8959199451579,1045.5431363407638,41.43016780234066,171.39964919097008,8.526512829121202e-14,-344.64721639560594,129.96948138862942,-0.17898521912015194,2.245174624994554,-516.2782791477686,301.6005441407922,3.8097980829822986,1.0,1.0
cubic,RADIUS_X0.50,GEOMETRY_RADIUS,True,"[-0.45435018446379805, 0.01878880658050992, 0.8906249999999961]",0.38701612745649,0.00837867871602581,0.13476268326991203,1030.2545585521534,1030.1197958688836,15288.908653550454,0.01037438675759041,0.036657808417840824,0.08521261930515982,0.1411345442778305,0.23663370466393666,0.05382934853546318,1.1282927673470806e-05,824.9526312210103,977.511501427242,52.60829444164146,205.30192733114305,1.4210854715202004e-14,-152.55887020623175,152.6936328895016,-0.07922821225180608,2.637725920723227,-249.90538317302043,250.04014585629034,3709.821716951014,1.0,1.0
cubic,RADIUS_X2.00,GEOMETRY_RADIUS,True,"[-0.45435018446379805, 0.01878880658050992, 0.8906249999999961]",0.38701612745649,0.03351471486410324,-0.06975884879750538,1021.7673588065243,1021.8371176553217,29295.272380339604,0.010965354606483728,0.037029768162792125,0.08564305181618599,0.1416782189126282,0.23703307213765473,0.06257497242047164,-5.840519248124592e-06,824.9526312210103,977.511501427242,44.32561622807968,196.8147275855139,4.263256414560601e-14,-152.55887020623175,152.48911135743424,-0.07922821225180608,2.6341928870513485,-250.12201206019847,250.0522532114009,7170.047583834066,1.0,1.0
cubic,WILDCARD_RADIUS_X0.625,BLIND_WILDCARD_DIAGNOSTIC,False,"[-0.45435018446379805, 0.01878880658050992, 0.8906249999999961]",0.38701612745649,0.010473348395032262,0.11162883811812208,1029.531586264639,1029.4199574265208,18444.620390229655,0.01037438675759041,0.036657808417840824,0.08521261930515982,0.14138964360379988,0.23663370466393666,0.05469460798372457,9.346059875030378e-06,824.9526312210103,977.511501427242,51.908455999278715,204.57895504362853,5.684341886080802e-14,-152.55887020623175,152.6704990443498,-0.07922821225180608,2.637326292121509,-249.9113031387057,250.02293197682386,4478.540165279827,1.0,1.0
cubic,WILDCARD_RADIUS_X1.600,BLIND_WILDCARD_DIAGNOSTIC,False,"[-0.45435018446379805, 0.01878880658050992, 0.8906249999999961]",0.38701612745649,0.026811771891282594,0.009176373837362917,1024.0188286520447,1024.0096522782073,223184.9439907746,0.010648897766054438,0.037029768162792125,0.08557387388413788,0.1416782189126282,0.23680529435625985,0.06051257645123085,7.682865894286607e-07,824.9526312210103,977.511501427242,46.49815085096536,199.06619743103445,4.263256414560601e-14,-152.55887020623175,152.5680465800691,-0.07922821225180608,2.6355564637693947,-250.03465026638779,250.04382664022515,54496.30603217929,1.0,1.0
quintic,O00_BASE,ORIENTATION,True,"[-0.45435018446379805, 0.01878880658050992, 0.8906249999999961]",0.38701612745649,0.01675735743205162,0.2887313371821847,1027.214516510342,1026.9257851731597,7114.365630452415,0.010649516932169895,0.036656699126701595,0.08521050313746213,0.14139169453872052,0.2366223664908712,0.05715898830008547,2.4174251802506373e-05,825.0508522543828,977.3671948430979,49.55859033006178,202.16366425595933,1.9184653865522705e-13,-152.3163425887151,152.60507392589756,-0.07911193194013519,2.6423832229534026,-249.7473245718558,250.03605590903783,1730.963411725339,1.0,1.0
quintic,O01_FIB,ORIENTATION,True,"[0.4841229182759271, 0.0, 0.875]",0.38701612745649,0.01675735743205162,-7.888055538799847,1022.8364233914529,1030.724478930253,260.33803796393545,0.010957884231410434,0.037309741287085016,0.08634994760276712,0.14204100686583596,0.23712842622388167,0.057743003856456865,-0.0006604334766294581,819.5182246603431,977.6968013037059,53.02767762654715,203.31819873111033,2.0605739337042905e-13,-158.17857664336282,150.29052110456317,-0.08215673103172522,2.6023063409310967,-257.9242538900463,250.03619835124624,64.39615564859191,1.0,1.0
quintic,O02_FIB,ORIENTATION,True,"[-0.5756083959600474, 0.5273044419500952, 0.625]",0.38701612745649,0.01675735743205162,257.0984267256489,1237.1735561165983,980.0751293909491,8.624123895840038,0.005878663144250166,0.022345703624385656,0.05884721978053049,0.11136792210684711,0.22578123198642072,0.046223557773902905,0.02152576220631156,1062.825752129157,972.8947566100625,7.180372780886555,174.34780398744098,1.7053025658242404e-13,89.93099551909461,167.16743120655443,0.046709464499328966,2.894532955430489,7.205853233861623,249.8925734917873,1.0,1.0,1.0
quintic,O03_FIB,ORIENTATION,True,"[0.08104581592239497, -0.923475270768781, 0.375]",0.38701612745649,0.01675735743205162,46.49557445741729,1055.9434196668033,1009.4478452093861,44.42124415018824,0.00930884613811627,0.03324401693162772,0.08037803947293518,0.13695993027166226,0.23457729654471238,0.0575078973253089,0.003892877495062361,859.6583420384032,975.9966417778264,33.451203431559776,196.2850776284002,0.0,-116.33829973942318,162.8338741968404,-0.06042521435712433,2.819496667031973,-203.4439927568798,249.93956721429706,9.751112127594114,1.0,1.0
quintic,O04_FIB,ORIENTATION,True,"[0.6036667178015521, 0.7873763355719433, 0.125]",0.38701612745649,0.01675735743205162,176.68757254229945,1160.5419424597899,983.8543699174907,12.136656141245625,0.00680822683432064,0.0256753344562075,0.06694958155540165,0.12226409286497376,0.22825661809166756,0.05359338379273084,0.014793302004195149,978.3324067126836,973.185318050344,10.669051867146784,182.20953574710666,1.1368683772161603e-13,5.14708866233957,171.54048387995988,0.002673358098180977,2.970253118070095,-73.19675601035509,249.88432855265447,1.8285444749412871,0.9936708860759493,0.9981970505830902
