radius_mid,active_integral,energy_integral,kernel_volume_integral,radialized_force
1.338092576107832388e+00,-2.290883383560164077e+00,6.280064066840489900e+00,-1.801479196722882703e-04,3.717133060904883744e-04
1.395032685729442390e+00,-2.154058041158885217e+00,4.003689825312848782e+00,1.483923147175686408e-04,-2.207248680959178998e-04
1.451972795351052170e+00,-1.153537990089181786e+00,1.688309586604083812e+00,2.050925402811987208e-05,-1.652025415888848926e-05
1.508912904972662172e+00,-6.752816845513405219e-01,8.819052344200547511e-01,-2.028279559030121693e-04,7.668576787604572300e-05
1.565853014594271952e+00,-2.896544610898821315e-01,3.563939137575569127e-01,1.797208381667386723e-04,-2.954537473913247851e-05
1.622793124215881955e+00,-1.264836449920278827e-01,1.493633552091228611e-01,-1.705294496126552595e-04,1.252780400029864502e-05
1.679733233837491735e+00,-6.947898446894423818e-02,8.301072938118235489e-02,1.128264550221969031e-04,-3.866507213454801602e-06
1.736673343459101737e+00,-3.063274191361693710e-02,3.642187352234299569e-02,-3.700122586242082789e-05,5.336457048195212620e-07
1.793613453080711517e+00,-1.497433061545391103e-02,1.823645927541136386e-02,2.786895306557124474e-05,-1.657214386483572992e-07
1.850553562702321519e+00,-5.764137591276632597e-03,7.070030422453986441e-03,2.081212153093314754e-05,-4.872863279661417227e-08
1.907493672323931300e+00,-2.527671213595659820e-03,3.118966042139878752e-03,-9.080632824326473340e-05,8.971489195064453992e-08
1.964433781945541302e+00,-1.114161453702266526e-03,1.355124365632249823e-03,6.272565149212372404e-05,-2.585288374017852240e-08
2.021373891567151304e+00,-4.919352093008801064e-04,5.826984069923595022e-04,-3.367842183349400997e-05,6.003720702039038096e-09
2.078314001188760862e+00,-2.518414966247044034e-04,2.914328239021297864e-04,1.918850908844138559e-05,-1.450852101791458199e-09
2.135254110810370864e+00,-1.007254050919676423e-04,1.139885679002652187e-04,-2.206708302104898323e-05,7.029854912507313509e-10
2.192194220431980867e+00,-4.828749315252412735e-05,5.499674755758977829e-05,2.230322874144374801e-05,-3.179620313183938597e-10
2.249134330053590425e+00,-2.290939462029887468e-05,2.621094085921946723e-05,-2.044005667903303625e-06,1.259820566458612993e-11
2.306074439675200871e+00,-1.030035741697871713e-05,1.199985847158174974e-05,1.370920237081518778e-06,-3.633894477843036867e-12
2.363014549296810429e+00,-4.319887659346684812e-06,5.090585204570160030e-06,4.417763547398534385e-06,-4.840985712004689564e-12
2.419954658918420431e+00,-2.014984541252828234e-06,2.415011685279420600e-06,-2.356289290458835062e-05,1.117690001849928791e-11
2.476894768540030434e+00,-8.579558555973885545e-07,1.015946376308146534e-06,1.454847381951451801e-05,-2.750795062414999446e-12
2.533834878161639992e+00,-3.559918064508459785e-07,4.198467365455054797e-07,-1.318045979840920534e-05,1.115125725297590818e-12
2.590774987783249994e+00,-1.764037589427878959e-07,2.012524904828803659e-07,2.280394794924867075e-05,-8.333387683186625271e-13
2.647715097404859996e+00,-8.393489274113377352e-08,9.420058315494328384e-08,-1.321559934429339389e-05,2.157662461754007664e-13
2.704655207026469554e+00,-3.667434248407229951e-08,4.030874757696470022e-08,-2.684568066402270858e-06,1.921110229017930147e-14
2.761595316648080001e+00,-1.763427919550272218e-08,1.929475833214884346e-08,4.673777422720126751e-06,-1.465559731775665771e-14
2.818535426269689559e+00,-8.194697120273951294e-09,8.954343046346524859e-09,-1.376763058046071020e-05,1.980677707615676680e-14
2.875475535891299561e+00,-3.534678011458809592e-09,3.983337159165557344e-09,1.953154716251292999e-05,-1.220635904626044746e-14
2.932415645512909563e+00,-1.932098389344070218e-09,2.171359533788604677e-09,-1.930071083625084505e-05,5.680248614867479460e-15
2.989355755134519121e+00,-7.552299887454321673e-10,9.243569219298647206e-10,1.197645714387518545e-05,-1.430342377645204889e-15
3.046295864756129124e+00,-3.469864161423867422e-10,4.182441732234946824e-10,-7.632809543925422879e-06,4.280805736819593087e-16
3.103235974377739126e+00,-1.855315714024616124e-10,2.188093403684008594e-10,3.408202194826737141e-06,-8.646378679267574534e-17
3.160176083999348684e+00,-7.662779360113317669e-11,9.715238380782614464e-11,8.015227923457990400e-06,-8.866536505762221215e-17
3.217116193620959130e+00,-3.784433743875819867e-11,4.783168206774373296e-11,-8.421691355259275369e-06,4.353251872338731952e-17
3.274056303242568688e+00,-1.708095975362174307e-11,2.130350517416489494e-11,-2.945102115003983556e-05,6.856030631197864958e-17
3.330996412864178691e+00,-7.244493879713216340e-12,9.693094530685843677e-12,-4.056664682040855840e-05,4.302535191716784331e-17
3.387936522485788693e+00,-3.549199235378931424e-12,4.876827070488807213e-12,-5.697195037794589023e-05,2.752806275611293862e-17
3.444876632107398251e+00,-1.390991601085677409e-12,2.050127673133715486e-12,-5.902050814633741371e-05,1.308241163225657558e-17
3.501816741729008253e+00,-6.965922437733098388e-13,1.537770138259302828e-12,-6.494404249517138350e-05,6.718115331688851275e-18
