range_m,alpha_required_finite_payload,alpha_shape_scout_ceiling,required_over_shape_scout,source_energy_floor_j_at_shape_scout,max_surface_acceleration_for_declared_source_j,target_portal_scale_ev_scalarized,empirical_portal_scale_min_ev_scalarized,portal_scale_ratio_empirical_over_target,finite_payload_penalty_over_nearest_point,surface_min_source_distance_m,all_surface_points_outward,strict_lt10mj_possible_under_shape_scout,complete_operating_ledger
0.597076523783592,1.3074040747601512e+20,0.038302337080597555,3.4133793768486003e+21,3.4133793768486006e+28,2.873003237353001e-21,315487.9385772283,76256856823.35173,241710.84690987263,9.77613334362957,0.30000000000000004,True,False,False
0.632455532033676,1.295402389224827e+20,0.03969467509745969,3.2634160275762724e+21,3.2634160275762715e+28,3.005025996419882e-21,307244.4492021839,73434840518.62762,239011.12195619658,9.699104015689905,0.30000000000000004,True,False,False
0.6699308783156555,1.2846012993942097e+20,0.041305763310371564,3.109980778570084e+21,3.109980778570084e+28,3.1532831545373505e-21,299152.8396713226,70645183232.60277,236150.80274758613,9.629571920625661,0.30000000000000004,True,False,False
0.709626778467151,1.274879756774496e+20,0.04315219594001584,2.954379792274432e+21,2.9543797922744318e+28,3.319359963686436e-21,291217.79728253675,67894484255.57665,233139.88667288102,9.566813949004288,0.30000000000000004,True,False,False
0.7516748085768885,1.266129487681528e+20,0.04525360012725259,2.797853616333699e+21,2.7978536163336986e+28,3.505061859830469e-21,283442.9687248792,65188642180.48908,229988.56691966037,9.510178337632968,0.30000000000000004,True,False,False
0.7962143411069947,1.2582534966134156e+20,0.04763295645025051,2.6415607814047374e+21,2.6415607814047373e+28,3.712445334982975e-21,275831.06892235694,62532866113.56798,226707.11590930395,9.4590770014663,0.30000000000000004,True,False,False
0.8433930068571646,1.2511647737522802e+20,0.05031699239671847,2.486565102873433e+21,2.486565102873433e+28,3.943854109698394e-21,268383.98175915744,59931693583.53094,223305.77700912298,9.412978827757339,0.30000000000000004,True,False,False
0.8933671843019264,1.2447851744202601e+20,0.05333666044457987,2.3338266101486988e+21,2.3338266101486983e+28,4.2019616870231736e-21,261102.85292190925,57389014101.46463,219794.66504959468,9.371403790101256,0.30000000000000004,True,False,False
0.9463025179229612,1.2390444438989369e+20,0.05672771582290069,2.1841959012894732e+21,2.184195901289473e+28,4.489821629191088e-21,253988.17515470725,54908097316.50085,216183.67580717357,9.333917763430497,0.30000000000000004,True,False,False
1.002374467254545,1.233879365578251e+20,0.060531413289270274,2.0384116255170387e+21,2.0384116255170385e+28,4.810927232380046e-21,247039.86626739075,52491624742.629,212482.40430074217,9.30012794038592,0.30000000000000004,True,False,False
1.0617688884619771,1.2292330141294915e+20,0.06479534767397568,1.8971007306180392e+21,1.8971007306180392e+28,5.1692827068835606e-21,240257.34026916933,50141724089.1386,208700.07148569505,9.269678765534511,0.30000000000000004,True,False,False
1.1246826503806984,1.2250540984548404e+20,0.06957446991468492,1.7607810738005654e+21,1.7607810738005652e+28,5.5694885331955524e-21,233639.57202015197,47860005302.25367,204845.45870562384,9.242248317218225,0.30000000000000004,True,False,False
1.1913242870580212,1.2212963816793081e+20,0.07493231939894524,1.6298659796943364e+21,1.6298659796943364e+28,6.016844404494613e-21,227185.1558044538,45647597510.85671,200926.8490681988,9.217545077877652,0.30000000000000004,True,False,False
1.2619146889603867,1.2179181675206309e+20,0.08094252542495582,1.504670333828166e+21,1.5046703338281658e+28,6.5174741466790444e-21,220892.35823193807,43505186158.46299,196951.97473867488,9.195305042889338,0.30000000000000004,True,False,False
1.3366878351372296,1.214881844080229e+20,0.08769064658046885,1.3854178198645155e+21,1.3854178198645151e+28,7.078478318518397e-21,214759.1658727174,41433049691.63066,192927.9689798527,9.175289125606795,0.30000000000000004,True,False,False
1.4158915687682763,1.2121534775093697e+20,0.09527643838794514,1.272248940051413e+21,1.272248940051413e+28,7.708121965190004e-21,208783.32802054222,39431095257.58619,188861.32159798965,9.157280822666573,0.30000000000000004,True,False,False
1.4997884186649117,1.2097024491726198e+20,0.1038166689263679,1.1652294970382865e+21,1.1652294970382863e+28,8.416067414123982e-21,202962.3949692278,37498892937.53075,184757.83626428014,9.14108410893033,0.30000000000000004,True,False,False
1.5886564694485632,1.2075011308989578e+20,0.11344864261422241,1.0643592581402822e+21,1.064359258140282e+28,9.213665334329705e-21,197293.75217126292,35635708103.837776,180622.58795151213,9.126521535862128,0.30000000000000004,True,False,False
1.6827902832903905,1.2055245937150296e+20,0.12433464881494655,9.69580567609333e+20,9.695805676093328e+27,1.011432193219381e-20,191774.650630508,33840531536.20309,176459.87842993703,9.11343251083726,0.30000000000000004,True,False,False
1.7825018762674916,1.2037503461240185e+20,0.1366676317685224,8.80786716318347e+20,8.80786716318347e+27,1.1133966734865623e-20,186402.2338621136,32112106960.481907,172273.18737089835,9.101671737969514,0.30000000000000004,True,False,False
1.8881217525718474,1.2021580985512785e+20,0.15067849282533397,7.978299198577837e+20,7.978299198577837e+27,1.2291654845117958e-20,181173.56173305245,30448955680.253704,168065.11606322712,9.091107803631392,0.30000000000000004,True,False,False
2.0,1.2007295510438358e+20,0.1666456025975166,7.2052879423638e+20,7.2052879423638e+27,1.361035128428578e-20,176085.6314764383,28849397949.193993,163837.31998629472,9.081621892012933,0.30000000000000004,True,False,False
