barrier_max_J,chirp_margin,compliance,compliance_identity_relerr,compliance_pass,coupling_pass,gate_energy_J,ghat,lambda,lambda_pass,radiation_threshold_pass,sigma,sigma_energy,threshold_Hz,total_control_inventory_J
1.7029945849056357e-08,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,570260380649.6006,1.4125375446227554e-08,7.48223368113331e-20,True,False,80.0,98.65809608852153,6183868704.255293,570260380649.6006
1.9107913518404387e-08,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,508245099234.4624,1.496235656094436e-08,8.395204269631301e-20,True,False,80.0,98.65809608852153,6183868704.255293,508245099234.4624
2.143943159085563e-08,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,452973921494.5941,1.5848931924611143e-08,9.419574118160933e-20,True,False,80.0,98.65809608852153,6183868704.255293,452973921494.5941
2.405543789468446e-08,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,403713432482.1798,1.6788040181225588e-08,1.0568935992241683e-19,True,False,80.0,98.65809608852153,6183868704.255293,403713432482.1798
2.6990645244150784e-08,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,359809975436.9367,1.7782794100389228e-08,1.1858541225631424e-19,True,False,80.0,98.65809608852153,6183868704.255293,359809975436.9367
3.028400205745474e-08,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,320680978158.0493,1.883649089489802e-08,1.3305502096259097e-19,True,False,80.0,98.65809608852153,6183868704.255293,320680978158.0493
3.397920917858292e-08,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,285807222625.00806,1.995262314968883e-08,1.4929018895756198e-19,True,False,80.0,98.65809608852153,6183868704.255293,285807222625.00806
3.812529976095659e-08,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,254725955289.93936,2.1134890398366476e-08,1.675063470566113e-19,True,False,80.0,98.65809608852153,6183868704.255293,254725955289.93936
4.277728990758742e-08,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,227024746619.17352,2.2387211385683378e-08,1.8794521261022677e-19,True,False,80.0,98.65809608852153,6183868704.255293,227024746619.17352
4.7996908701338304e-08,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,202336018403.91397,2.371373705661655e-08,2.1087799694638087e-19,True,False,80.0,98.65809608852153,6183868704.255293,202336018403.91397
5.385341731234815e-08,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,180332166220.73483,2.511886431509582e-08,2.366090041800728e-19,True,False,80.0,98.65809608852153,6183868704.255293,180332166220.73483
6.042452805167957e-08,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,160721212319.9202,2.660725059798814e-08,2.6547966914405256e-19,True,False,80.0,98.65809608852153,6183868704.255293,160721212319.9202
6.779743556647096e-08,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,143242931258.1221,2.818382931264455e-08,2.9787308802160575e-19,True,False,80.0,98.65809608852153,6183868704.255293,143242931258.1221
7.606997385992852e-08,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,127665396864.82925,2.985382618917957e-08,3.34219101800154e-19,True,False,80.0,98.65809608852153,6183868704.255293,127665396864.82925
8.535191448910791e-08,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,113781904722.99582,3.162277660168379e-08,3.7499999999999993e-19,True,False,80.0,98.65809608852153,6183868704.255293,113781904722.99582
9.576642316678239e-08,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,101408229327.0143,3.3496543915782795e-08,4.20756920363237e-19,True,False,80.0,98.65809608852153,6183868704.255293,101408229327.0143
1.0745169409562109e-07,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,90380179522.18336,3.5481338923357604e-08,4.720970294228142e-19,True,False,80.0,98.65809608852153,6183868704.255293,90380179522.18336
1.205627837212959e-07,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,80551419787.84244,3.7583740428844434e-08,5.297015792335334e-19,True,False,80.0,98.65809608852153,6183868704.255293,80551419787.84244
