x,r_m,rho_dimless,pr_dimless,pt_dimless,enclosed_mass_kg,compactness,nu,lambda_metric
3.2104096949618706,0.10594351993374174,1.705351461820367,1.3587995731799756,0.9436891275186037,6.591000855001395e-08,9.23998536460744e-34,-4.550622625325946e-33,4.61999268230372e-34
3.240413430428804,0.10693364320415054,1.698249857493686,1.3510220353272373,0.9300430996184703,6.760879396707239e-08,9.390379389632824e-34,-4.5368536985797354e-33,4.695189694816412e-34
3.2704171658957373,0.10792376647455934,1.691116158958232,1.3432080956204842,0.9163707582445204,6.933209347729877e-08,9.541387495539399e-34,-4.523022274808329e-33,4.7706937477696996e-34
3.3004209013626706,0.10891388974496814,1.6839511284150666,1.3353586156897375,0.9026743821266027,7.107990017293258e-08,9.69299199272313e-34,-4.509129882066885e-33,4.846495996361565e-34
3.330424636829604,0.10990401301537693,1.6767555270306822,1.3274744594475933,0.8889562499944896,7.285220245181966e-08,9.8451751946455e-34,-4.495178050101489e-33,4.92258759732275e-34
3.3604283722965373,0.11089413628578573,1.6695301162524976,1.319556494430873,0.8752186411163462,7.46489840442758e-08,9.997919421294608e-34,-4.48116831005964e-33,4.998959710647304e-34
3.3904321077634707,0.11188425955619453,1.6622756531313763,1.3116055873969745,0.8614638320789394,7.6470224036381e-08,1.0151207001988596e-33,-4.46710219423066e-33,5.075603500994298e-34
3.420435843230404,0.11287438282660334,1.6549928964079397,1.3036226102542767,0.8476941003536065,7.831589689703332e-08,1.0305020278526275e-33,-4.4529812357681776e-33,5.152510139263137e-34
3.4504395786973374,0.11386450609701214,1.6476825997956817,1.295608433686466,0.8339117197870121,8.018597250553514e-08,1.0459341608242787e-33,-4.438806968415423e-33,5.2296708041213935e-34
3.4804433141642708,0.11485462936742094,1.6403455168070473,1.2875639318920595,0.8201189633929616,8.20804161778472e-08,1.0614153366734964e-33,-4.42458092624512e-33,5.307076683367482e-34
3.510447049631204,0.11584475263782974,1.6329823981046476,1.2794899801197108,0.8063181014082432,8.399918869795703e-08,1.0769437951102631e-33,-4.4103046433727705e-33,5.384718975551316e-34
3.5404507850981375,0.11683487590823854,1.625593990571005,1.2713874538563594,0.7925114004627432,8.594224634477243e-08,1.0925177782456207e-33,-4.395979653703863e-33,5.462588891228104e-34
3.570454520565071,0.11782499917864735,1.6181810407006028,1.26325723222015,0.778701125469859,8.7909540924779e-08,1.1081355309024491e-33,-4.381607490650426e-33,5.540677654512246e-34
3.600458256032004,0.11881512244905615,1.6107442888116097,1.2551001924226968,0.7648895357110725,8.99010198019893e-08,1.1237953008768485e-33,-4.3671896868697604e-33,5.6189765043842425e-34
3.6304619914989376,0.11980524571946495,1.6032844749483475,1.2469172156292807,0.7510788883572478,9.191662592960503e-08,1.1394953392077962e-33,-4.352727773997654e-33,5.697476696038981e-34
3.660465726965871,0.12079536898987375,1.595802333507956,1.2387091818072542,0.7372714347949735,9.395629788404548e-08,1.1552339004626371e-33,-4.3382232823719015e-33,5.776169502313186e-34
3.6904694624328043,0.12178549226028254,1.5882985959001736,1.2304769724371756,0.7234694221155069,9.601996989560087e-08,1.1710092429674876e-33,-4.3236777407811924e-33,5.855046214837438e-34
3.7204731978997376,0.12277561553069134,1.5807739902978857,1.2222214703808887,0.7096750927209989,9.810757188499358e-08,1.1868196290979575e-33,-4.309092676182483e-33,5.934098145489787e-34
3.750476933366671,0.12376573880110014,1.5732292386329334,1.2139435570204744,0.69589068216859,1.0021902949516361e-07,1.2026633254986075e-33,-4.2944696134515725e-33,6.0133166274930375e-34
3.7804806688336043,0.12475586207150895,1.565665061221451,1.2056441169585643,0.6821184219752023,1.0235426412755425e-07,1.218538603345531e-33,-4.2798100751105956e-33,6.092693016727655e-34
3.8104844043005377,0.12574598534191775,1.5580821708720773,1.1973240322761494,0.668360535542023,1.0451319297719379e-07,1.2344437385823128e-33,-4.2651155810665635e-33,6.172218692911564e-34
3.8404881397674715,0.12673610861232656,1.5504812776781305,1.1889841874306262,0.6546192411358587,1.0669572906709585e-07,1.2503770121369377e-33,-4.250387648357601e-33,6.251885060684689e-34
3.870491875234405,0.12772623188273535,1.5428630855816918,1.1806254659416713,0.6408967493970296,1.0890178128663602e-07,1.2663367101748522e-33,-4.235627790878887e-33,6.331683550874261e-34
3.900495610701338,0.12871635515314417,1.535228292782291,1.1722487509199613,0.6271952634401937,1.1113125442506257e-07,1.2823211242841945e-33,-4.220837519140618e-33,6.4116056214209724e-34
3.9304993461682716,0.12970647842355296,1.5275775934823654,1.163854926964314,0.6135169798615474,1.1338404921079094e-07,1.2983285517187763e-33,-4.206018339994718e-33,6.491642758593882e-34
3.960503081635205,0.13069660169396177,1.5199116735961218,1.1554448759340166,0.5998640856167731,1.1566006234649248e-07,1.3143572955822186e-33,-4.191171756389016e-33,6.571786477911093e-34
3.9905068171021383,0.13168672496437056,1.5122312156179183,1.1470194820454054,0.5862387612573772,1.1795918654663921e-07,1.3304056650314858e-33,-4.176299267109442e-33,6.652028325157429e-34
4.020510552569071,0.13267684823477935,1.504536893542339,1.138579626809118,0.572643177185659,1.2028131057565172e-07,1.3464719754780553e-33,-4.161402366520917e-33,6.732359877390277e-34
