index,reference_equivalent_energy_j,reference_equivalent_energy_mj,band,susceptibility_gain,amplitude_response_gain,z1,z2,g1,g2,rho,productive_participation,cancellation_tax,scaffold_tax,total_tax,kinetic_min_eigenvalue,kinetic_condition_number,distance_from_unit_template,positive_hamiltonian,physical_model,complete_energy_prediction,certification_eligible
392533,8597409.971873185,8.597409971873185,TARGET_LT_10MJ,8.607317914959493,2.933823088558595,0.9702543854409488,0.763089838844153,1.727600327692926,1.565655832644552,-0.2694476284086704,0.8029170450754464,1.0588582567870617,1.0539656958207024,1.3899322305272597,0.6127367032350894,1.82885653027393,0.7007288425505755,True,False,False,False
558997,9558230.27604039,9.55823027604039,TARGET_LT_10MJ,8.773278410224941,2.961972047509048,0.9962859787460195,0.8568011089095151,1.7333688326179981,1.5510153765790164,-0.3363322429358959,0.8720017117448151,1.1880489708855748,1.1560604413377036,1.5750616072353698,0.6080708613472103,2.0474854255471655,0.7017149955456642,True,False,False,False
634146,9709093.08259218,9.70909308259218,TARGET_LT_10MJ,7.606153011405943,2.757925490546462,0.7407444493677888,1.2479270341298938,1.985680965706706,1.0563536821864545,-0.2278460245579481,0.9244260587729514,1.1058370843529701,1.159532422477555,1.3870811419869877,0.6592276815091997,2.0166686552738913,0.7027829877157695,True,False,False,False
343325,8620659.648614086,8.620659648614087,TARGET_LT_10MJ,7.92527180582716,2.8151859273993183,0.758532030762103,0.7487050413851026,0.8781415382400155,1.8377741375006735,-0.34260854311287403,0.9946040487848222,1.205190652050078,1.0590275983378075,1.2832545406779237,0.49538112634383485,2.0425807363138424,0.7028971629414121,True,False,False,False
839122,8612731.77058404,8.61273177058404,TARGET_LT_10MJ,9.051971580676376,3.0086494612494117,0.7752516363682111,1.0042681626517893,1.8460285123437643,1.3946763398125768,-0.31351767387241125,0.8595714434050024,1.1835276056081057,1.0635204259275444,1.4643410886560568,0.5903614167368061,2.01428878746211,0.704677122906252,True,False,False,False
551994,8743606.026491592,8.743606026491591,TARGET_LT_10MJ,7.279685517050706,2.6980892344492067,0.8841800252966631,1.410763288289138,1.90662053367123,1.1179555179551244,-0.35610387567430735,0.9573377729393542,1.1241305898874998,1.0181453275963377,1.1955323816253274,0.6705007210893079,2.4227305674741015,0.7051903027921211,True,False,False,False
233161,8821824.337326536,8.821824337326536,TARGET_LT_10MJ,7.136408688035633,2.6714057512919362,0.6310631100290167,0.6261926341416129,1.003398443106562,1.5704247187823057,-0.2386079542338848,0.9887919826433063,1.1108019184321165,1.052602940888673,1.1824866975162474,0.47861361968279337,1.626869968731542,0.7054926901300439,True,False,False,False
36582,8474111.819171112,8.474111819171112,TARGET_LT_10MJ,7.994152135798508,2.827393169652659,0.7065049557948656,1.2905085014105575,1.7588985194452107,0.9647441790439188,-0.41913109738379717,0.911655608098954,1.1308768279850483,1.0257469794737852,1.2724031752313307,0.5030947064110112,2.9694582983227247,0.7059076500057551,True,False,False,False
152727,9330715.548496298,9.330715548496299,TARGET_LT_10MJ,6.088888609444596,2.467567346486129,1.0933416409066583,0.7725888677654156,1.114288398064673,2.120807573199272,0.23337151762098074,0.9719970780424774,1.0357808703556657,1.0014014073011122,1.0671147523597866,0.6651499153183238,1.8052781270807006,0.7079479965428369,True,False,False,False
804037,9984530.847342936,9.984530847342937,TARGET_LT_10MJ,8.053559698558422,2.8378794369314604,0.8806217480779853,0.6828290197832172,0.888987606856972,1.6861476115882397,-0.4150930857285857,0.8651864402927458,1.2961112698540092,1.0081870335892456,1.5103364032306827,0.4449936322817766,2.5134227872977797,0.7091194786212857,True,False,False,False
553261,9796474.867772443,9.796474867772444,TARGET_LT_10MJ,7.821717204395139,2.7967333094871845,0.7770639296562192,0.9582517527591785,1.2843625079840422,1.996977205388248,-0.20389102771878242,0.7980732070282102,1.0486140809953213,1.0953606345565579,1.4392296033105345,0.6697629583244145,1.5909400644621186,0.7094258355632572,True,False,False,False
741720,7098952.454051198,7.098952454051198,TARGET_LT_10MJ,8.983216140077145,2.9972013846382004,1.0737709422677006,1.044221981306508,1.8051723409444094,1.4748707339167595,-0.43328635580837727,0.9618628663010895,1.0281914146617055,1.1205298927398695,1.1977998693488294,0.5999545782842447,2.530255456390153,0.7097728253484537,True,False,False,False
236503,9094360.258339241,9.094360258339242,TARGET_LT_10MJ,7.605881687941997,2.7578763003336455,1.1298436475891864,0.8509175217284958,1.619278862606734,1.8376862881705165,-0.1774286301806569,0.9908458683639765,1.0886117797344923,1.1825320978298584,1.2992115249340097,0.7674101392556958,1.581098513030861,0.710436261673922,True,False,False,False
425829,8030420.1863733735,8.030420186373373,TARGET_LT_10MJ,9.772583451626849,3.1261131540024025,0.8739242188165516,0.7965090362500487,1.686396898701787,1.46291639842093,-0.39284893684089184,0.8929982390254736,1.0379687957465649,1.2681543257220922,1.474028235181109,0.5051775063933976,2.306626351977321,0.7127204077273387,True,False,False,False
750474,8904768.239254529,8.904768239254528,TARGET_LT_10MJ,8.47233055391834,2.910726808533968,0.9566071062719338,1.0474129818479379,2.0108664333820343,1.1488083978183568,-0.3807183029130101,0.8790980326011777,1.0178974969312549,1.2238182323217002,1.417045049791666,0.6182232028046608,2.241580191471848,0.7140124775737761,True,False,False,False
120808,8899127.795426792,8.899127795426791,TARGET_LT_10MJ,8.215326513858969,2.866239088746605,1.1054637977768766,1.058282053122923,1.8967675413005054,1.2946006138809025,-0.4218271803110838,0.9953987430781126,1.1810459326952696,1.1573393428841547,1.3731893205276868,0.6250085479503615,2.4619460133713966,0.7167244968463536,True,False,False,False
156127,8924183.391728302,8.924183391728302,TARGET_LT_10MJ,8.58432005992126,2.9299010324448265,1.2398928842510328,0.7430350586530722,1.6111386818811297,1.3331785653717816,-0.4778431924059987,0.905204915907234,1.151816519908607,1.130826906959754,1.4389063621997382,0.46985351720772883,3.2203109485874615,0.7179656314481505,True,False,False,False
520629,7981071.654764268,7.981071654764268,TARGET_LT_10MJ,7.22090523786553,2.687174210553817,0.9328597090281766,0.7445624681327713,0.7055775839835405,1.8075318420305848,-0.39083592779934406,0.9754386870190501,1.0087439101189375,1.0467188631902657,1.0824578652673194,0.4996509513137035,2.3571879984429094,0.7194005721244989,True,False,False,False
