target,radius_m,rate_s-2,interior_volume_mass_kg,exterior_mass_ratio,exterior_adm_mass_kg,surface_energy_j_m2,surface_mass_density_kg_m2,shell_energy_mass_kg,surface_pressure_n_m,nec,wec,dec,exterior_acceleration_at_2r_m_s2,exterior_outward,mass_relation_residual_kg
one_g_over_1m,1.0,9.80665,73465756708.5687,-0.5,-36732878354.28435,-7.881479624617811e+26,-8769328746.116459,-110198635062.85304,7.881479624617811e+26,True,False,False,0.612915625,True,2.0747518228456492e-05
one_g_over_1m,1.0,9.80665,73465756708.5687,-0.49,-35998220787.19866,-7.828936427120359e+26,-8710866554.475683,-109463977495.76736,7.881479624617811e+26,True,False,False,0.6006573125,True,1.6598014582765194e-05
one_g_over_1m,1.0,9.80665,73465756708.5687,-0.25,-18366439177.142174,-6.56789968718151e+26,-7307773955.097051,-91832195885.71089,7.881479624617812e+26,True,False,False,0.3064578125,True,-4.1495036456912986e-06
one_g_over_1m,1.0,9.80665,73465756708.5687,-0.1,-7346575670.85687,-5.7797517247197276e+26,-6430841080.485403,-80812332379.42555,7.881479624617811e+26,True,False,False,0.122583125,True,2.5934397785570616e-05
one_g_over_1m,1.0,9.80665,73465756708.5687,0.0,0.0,-5.2543197497452074e+26,-5846219164.07764,-73465756708.5687,7.881479624617811e+26,True,False,False,-0.0,False,1.030303736562002e-05
one_g_over_1m,1.0,9.80665,73465756708.5687,0.25,18366439177.142174,-3.9407398123089054e+26,-4384664373.058229,-55099317531.42652,7.881479624617811e+26,True,False,False,-0.3064578125,False,1.0373759114228246e-05
one_g_over_1m,1.0,9.80665,73465756708.5687,0.5,36732878354.28435,-2.6271598748726037e+26,-2923109582.03882,-36732878354.28435,7.881479624617811e+26,True,False,False,-0.612915625,False,4.1495036456912986e-06
one_g_over_1m,1.0,9.80665,73465756708.5687,0.75,55099317531.42652,-1.3135799374363019e+26,-1461554791.01941,-18366439177.142174,7.881479624617811e+26,True,False,False,-0.9193734375,False,0.0
one_g_over_1m,1.0,9.80665,73465756708.5687,1.0,73465756708.5687,0.0,0.0,0.0,7.881479624617811e+26,True,True,False,-1.22583125,False,0.0
one_g_over_1m,1.0,9.80665,73465756708.5687,1.25,91832195885.71088,1.3135799374363025e+26,1461554791.0194106,18366439177.14218,7.881479624617811e+26,True,True,False,-1.5322890625,False,0.0
one_g_over_1m,1.0,9.80665,73465756708.5687,2.0,146931513417.1374,5.2543197497452074e+26,5846219164.07764,73465756708.5687,7.881479624617811e+26,True,True,False,-2.4516625,False,0.0
