success,omega,epsilon,chi,m_x_gev,m_x_eV,F_gev,M_c_gev,M_m_gev,y_center,u_center,E_x_on_J,E_on_J,E_inventory_J,noether_charge,E_over_QmX,source_leak_fraction,payload_x_overlap_fraction,payload_backreaction_ratio,surface_min_acceleration_mps2,surface_max_acceleration_mps2,a_cm_mps2,scalar_charge_kg,alpha_eff_tail,scalar_energy_identity_relerr,scalar_fixed_x_hessian,DEC_margin_normalized,conservation_rel,source_containment_pass,payload_overlap_pass,backreaction_pass,noether_decay_pass,scalar_identity_pass,scalar_fixed_x_stability_pass,DEC_pass,conservation_pass,finite_payload_1g_pass,prefilter_pass,target_83gj_pass,target_1tj_pass,chi_factor,chi_critical
True,0.55,0.02,0.4356367972968025,2.989802733333333e-15,2.989802733333333e-06,81.01879599403003,185.97785241459147,1258781646.4502428,4.661530707393954,1.4173790258947676,397193582813.9331,458468856541.744,543079558178.55524,1.3228416244684381e+36,0.723517532303492,1.4040536497340623e-07,1.7636701102279527e-18,0.006086036390309704,9.80665,14.293440486796879,11.82177970713337,-17110496107.15705,3871700765686214.0,6.875138918362498e-10,0.001947223506107639,0.0,1.8862896879457604e-06,True,True,True,True,True,True,True,True,True,True,False,True,1.6,0.27227299831050156
True,0.55,0.02,0.3403412478881269,2.989802733333333e-15,2.989802733333333e-06,91.17084072200593,267.88066767615123,1258781646.450243,5.683813478717504,1.0120398887539168,768410521546.9907,830921144849.9641,904051696375.373,2.4885611440686227e+36,0.6970413892942107,8.480799287028522e-08,9.446657019646504e-19,0.006086036390309703,9.80665,14.293440486796886,11.821779707133375,-17110496107.157053,2001293131190309.8,6.531966844413796e-10,0.0017966428658808026,0.0,1.9024742403960296e-06,True,True,True,True,True,True,True,True,True,True,False,True,1.25,0.27227299831050156
True,0.55,0.02,0.2995002981415517,2.989802733333333e-15,2.989802733333333e-06,121.49706232642295,405.6659144592913,1258781646.4502425,6.255606300332454,0.6807309916613008,1688067583840.5889,1751350647618.0037,1819152976839.1365,5.378810541267284e+36,0.679726077204915,6.583242447767099e-08,6.883559335852017e-19,0.006086036390309706,9.80665,14.293440486796877,11.821779707133375,-17110496107.157038,910991191008841.0,3.877930099726982e-10,0.0014822969892279473,0.0,1.795795699890935e-06,True,True,True,True,True,True,True,True,True,True,False,False,1.1,0.27227299831050156
True,0.55,0.025,1.3731406760973095,2.3918421866666665e-15,2.3918421866666666e-06,116.80749436078062,85.06593417126543,1258781646.4548535,1.624759390361692,2.276844865707639,127033827946.97159,171844296752.24313,285933509419.1549,5.785976563615718e+35,0.7750246892383468,7.705016639873115e-05,2.797738531377726e-13,0.00608603639026512,9.80665,14.293440486821508,11.8217797072142,-17110496107.385574,1.210555269867828e+16,1.4137145575299194e-10,0.0022843165476182812,0.0,1.7647690078112451e-06,True,True,True,True,True,True,True,True,True,True,False,True,5.0,0.2746281352194619
True,0.55,0.025,0.8582129225608184,2.3918421866666665e-15,2.3918421866666666e-06,83.21956151711224,96.96843210982387,1258781646.454855,2.574984460037981,2.0383693918901047,157245650097.7415,203201768891.69373,298070686931.9094,6.949802367571315e+35,0.7629781733701833,4.22618253178406e-05,1.260733087290439e-13,0.006086036390265107,9.806649999999998,14.293440486822117,11.821779707214292,-17110496107.385593,9779696276310434.0,7.516060722557235e-10,0.00226407192757569,0.0,1.8675785021033707e-06,True,True,True,True,True,True,True,True,True,True,False,True,3.125,0.2746281352194619
True,0.55,0.025,0.5492562704389238,2.3918421866666665e-15,2.3918421866666666e-06,66.52973081144881,121.12693908488896,1258781646.454856,3.8734146815501562,1.6788267734185918,227442727177.5472,274662801829.5169,349953497853.3268,9.683170555623225e+35,0.740183414034532,2.102141318377316e-05,4.9428507446190376e-14,0.006086036390265097,9.80665,14.293440486822409,11.821779707214331,-17110496107.3856,6761327204480985.0,7.400648769428192e-10,0.00222072214758034,0.0,1.8710648518206962e-06,True,True,True,True,True,True,True,True,True,True,False,True,2.0,0.2746281352194619
True,0.55,0.025,0.514927753536491,2.3918421866666665e-15,2.3918421866666666e-06,65.32471730914209,126.86190802592421,1258781646.4548557,4.096818590655784,1.6114037466222915,246016855156.14764,293442290692.90894,366035424704.7737,1.0409547830392484e+36,0.7356105070926273,1.8885301845447034e-05,4.276029517316295e-14,0.006086036390265098,9.806650000000001,14.293440486822432,11.821779707214338,-17110496107.3856,6250850974218172.0,7.332916991725463e-10,0.0022097817668102976,0.0,1.8742453415296804e-06,True,True,True,True,True,True,True,True,True,True,False,True,1.875,0.2746281352194619
True,0.55,0.025,0.43940501635113904,2.3918421866666665e-15,2.3918421866666666e-06,64.13865083933273,145.96704282519616,1258781646.4548562,4.684607203385113,1.421222569927035,313451788488.57117,361420728935.5379,427655399917.5124,1.3051214864028198e+36,0.7226353498858104,1.4477412569944946e-05,2.9792075958482734e-14,0.006086036390265095,9.80665,14.293440486822485,11.821779707214349,-17110496107.3856,4906064521571448.0,7.124465965191227e-10,0.0021712398016874197,0.0,1.8844973602003642e-06,True,True,True,True,True,True,True,True,True,True,False,True,1.6,0.2746281352194619
True,0.55,0.025,0.3432851690243274,2.3918421866666665e-15,2.3918421866666666e-06,72.37426481519826,210.82840549417782,1258781646.454856,5.702102862453446,1.013181484464043,608447959672.3344,657420793299.3898,714676331795.208,2.4631561767262555e+36,0.6964798745035718,9.613895145430262e-06,1.6952024531075842e-14,0.006086036390265097,9.80665,14.293440486822528,11.82177970721437,-17110496107.3856,2527438335983658.0,6.745920706226374e-10,0.002013758686119414,0.0,1.9022311492315792e-06,True,True,True,True,True,True,True,True,True,True,False,True,1.25,0.2746281352194619
True,0.55,0.025,0.3020909487414081,2.3918421866666665e-15,2.3918421866666666e-06,96.98118099710017,321.03305776339795,1258781646.4548562,6.269023989684827,0.6783213452745325,1349712728882.0054,1399317897190.9648,1452414322630.5254,5.375217646795712e+36,0.6793247217564022,7.854425575276852e-06,1.2768209815201633e-14,0.006086036390265095,9.80665,14.293440486822547,11.821779707214356,-17110496107.3856,1139364448315383.2,2.7379093504908456e-10,0.0016656533740094096,0.0,1.7959438600536863e-06,True,True,True,True,True,True,True,True,True,True,False,False,1.1,0.2746281352194619
True,0.7,0.01,2.0071413234152677,5.979605466666666e-15,5.979605466666666e-06,656.1418309936926,326.9036531404919,1258781646.4499874,0.8513431359719246,1.9552287808594029,479562863968.30475,624985583534.2108,902093500986.7281,7.000179148288091e+35,0.9319184738647182,3.3198036648119432e-15,6.281640046930293e-34,0.006086036390312174,9.80665,14.293440486812917,11.821779707157022,-17110496107.100388,3206700965074936.0,5.094745029279146e-11,0.0017080336462245611,0.0,2.8882555746166243e-06,True,True,True,True,True,True,True,True,True,True,False,True,5.0,0.4014282646830536
True,0.7,0.01,1.2544633271345424,5.979605466666666e-15,5.979605466666666e-06,456.8912498422018,364.2125201745333,1258781646.4499874,1.3989383148468801,1.8064431648302177,575642957159.5216,726169725236.4279,985135251218.2615,8.20735743465048e+35,0.9235318278208196,1.7304134293732372e-15,3.163593392721866e-34,0.0060860363903121745,9.80665,14.293440486812914,11.821779707157027,-17110496107.10038,2671473140728628.0,3.5918864312288953e-12,0.0016934203405715152,0.0,3.0145363993992237e-06,True,True,True,True,True,True,True,True,True,True,False,True,3.125,0.4014282646830536
True,0.7,0.01,0.8028565293661072,5.979605466666666e-15,5.979605466666666e-06,358.1058584675595,446.0396663278068,1258781646.449988,2.1989781589861375,1.5276964816701113,817947151908.2529,974556450572.0967,1202742801348.5532,1.1264385470166002e+36,0.9030599304907589,7.049972720383985e-16,1.2291141401246486e-34,0.00608603639031217,9.80665,14.29344048681292,11.821779707157027,-17110496107.100395,1880090535328077.5,1.3437280011836655e-09,0.0016592512453884622,0.0,3.3242279357118186e-06,True,True,True,True,True,True,True,True,True,True,False,False,2.0,0.4014282646830536
True,0.7,0.01,0.7526779962807255,5.979605466666666e-15,5.979605466666666e-06,350.5872205918902,465.78646157357844,1258781646.4499874,2.340627101453597,1.4712282881006267,882980804424.711,1040516804779.3956,1263380483724.6,1.2087472261548832e+36,0.8985260738287055,6.082461948444827e-16,1.0521041280504973e-34,0.0060860363903121745,9.80665,14.293440486812916,11.821779707157027,-17110496107.100382,1741617361323268.8,1.355728123534917e-09,0.0016504746698694196,0.0,3.324044063100499e-06,True,True,True,True,True,True,True,True,True,True,False,False,1.875,0.4014282646830536
