radius_m,radius_mpc,attractive_acceleration_m_s2,lambda_acceleration_m_s2,net_acceleration_m_s2
2.020128886568563507e+21,6.546791857599705555e-02,-3.252120351500012029e-11,6.602195085070751331e-15,-3.251460131991504811e-11
2.024788096888392647e+21,6.561891329909373682e-02,-3.237170758163746022e-11,6.617422338974406402e-15,-3.236509015929848414e-11
2.029458053176435671e+21,6.577025627530273810e-02,-3.222289886251281050e-11,6.632684712903816981e-15,-3.221626617779990966e-11
2.034138780217114886e+21,6.592194830783248971e-02,-3.207477419858764268e-11,6.647982287859552925e-15,-3.206812621629978423e-11
2.038830302852015456e+21,6.607399020174394011e-02,-3.192733044534515267e-11,6.663315145029004501e-15,-3.192066713020012372e-11
2.043532645980013593e+21,6.622638276395471923e-02,-3.178056447272355634e-11,6.678683365786799685e-15,-3.177388578935777013e-11
2.048245834557416538e+21,6.637912680324364878e-02,-3.163447316504946921e-11,6.694087031695264865e-15,-3.162777907801777119e-11
2.052969893598088659e+21,6.653222313025487777e-02,-3.148905342097192583e-11,6.709526224504832677e-15,-3.148234389474741922e-11
2.057704848173584613e+21,6.668567255750214307e-02,-3.134430215339651554e-11,6.725001026154479823e-15,-3.133757715237036098e-11
2.062450723413285929e+21,6.683947589937325184e-02,-3.120021628941976381e-11,6.740511518772175937e-15,-3.119347577790099195e-11
2.067207544504533123e+21,6.699363397213431437e-02,-3.105679277026394648e-11,6.756057784675307987e-15,-3.105003671247927056e-11
2.071975336692754416e+21,6.714814759393393506e-02,-3.091402855121225305e-11,6.771639906371108630e-15,-3.090725691130588153e-11
2.076754125281608860e+21,6.730301758480786156e-02,-3.077192060154393701e-11,6.787257966557119270e-15,-3.076513334357737967e-11
2.081543935633113743e+21,6.745824476668309255e-02,-3.063046590447013825e-11,6.802912048121609736e-15,-3.062366299242201878e-11
2.086344793167779070e+21,6.761382996338226314e-02,-3.048966145706987997e-11,6.818602234144012943e-15,-3.048284285483573565e-11
2.091156723364747280e+21,6.776977400062812740e-02,-3.034950427022613664e-11,6.834328607895388739e-15,-3.034266994161824385e-11
2.095979751761926423e+21,6.792607770604792983e-02,-3.020999136856248363e-11,6.850091252838850684e-15,-3.020314127730964459e-11
2.100813903956120437e+21,6.808274190917758262e-02,-3.007111979038004406e-11,6.865890252630001498e-15,-3.006425390012741236e-11
2.105659205603174121e+21,6.823976744146641182e-02,-2.993288658759439689e-11,6.881725691117394544e-15,-2.992600486190327713e-11
2.110515682418102632e+21,6.839715513628127908e-02,-2.979528882567312477e-11,6.897597652342970071e-15,-2.978839122802077874e-11
2.115383360175231992e+21,6.855490582891121676e-02,-2.965832358357346536e-11,6.913506220542504861e-15,-2.965141007735292456e-11
2.120262264708329898e+21,6.871302035657161911e-02,-2.952198795368042778e-11,6.929451480146046108e-15,-2.951505850220028023e-11
2.125152421910750953e+21,6.887149955840894677e-02,-2.938627904174485111e-11,6.945433515778381571e-15,-2.937933360822907328e-11
2.130053857735568785e+21,6.903034427550505669e-02,-2.925119396682212185e-11,6.961452412259471878e-15,-2.924423251440986544e-11
2.134966598195712885e+21,6.918955535088155973e-02,-2.911672986121101430e-11,6.977508254604900173e-15,-2.910975235295641235e-11
2.139890669364111999e+21,6.934913362950453908e-02,-2.898288387039269245e-11,6.993601128026340697e-15,-2.897589026926466547e-11
2.144826097373828612e+21,6.950907995828886632e-02,-2.884965315297020299e-11,7.009731117931995033e-15,-2.884264342185227155e-11
2.149772908418194997e+21,6.966939518610264226e-02,-2.871703488060823008e-11,7.025898309927040175e-15,-2.871000898229830156e-11
2.154731128750959755e+21,6.983008016377190152e-02,-2.858502623797285335e-11,7.042102789814103425e-15,-2.857798413518303776e-11
2.159700784686421770e+21,6.999113574408499794e-02,-2.845362442267192623e-11,7.058344643593707309e-15,-2.844656607802833264e-11
2.164681902599568884e+21,7.015256278179707317e-02,-2.832282664519560300e-11,7.074623957464713706e-15,-2.831575202123813923e-11
2.169674508926222336e+21,7.031436213363474741e-02,-2.819263012885700473e-11,7.090940817824804265e-15,-2.818553918803918021e-11
2.174678630163175178e+21,7.047653465830060193e-02,-2.806303210973333433e-11,7.107295311270927687e-15,-2.805592481442206303e-11
2.179694292868329374e+21,7.063908121647761995e-02,-2.793402983660727277e-11,7.123687524599746223e-15,-2.792690614908267285e-11
2.184721523660842598e+21,7.080200267083396060e-02,-2.780562057090844636e-11,7.140117544808123978e-15,-2.779848045336363663e-11
2.189760349221266129e+21,7.096529988602739980e-02,-2.767780158665536253e-11,7.156585459093566306e-15,-2.767064500119626854e-11
2.194810796291687973e+21,7.112897372870997936e-02,-2.755057017039750074e-11,7.173091354854695492e-15,-2.754339707904264479e-11
2.199872891675870757e+21,7.129302506753248947e-02,-2.742392362115781372e-11,7.189635319691701983e-15,-2.741673398583812097e-11
2.204946662239399838e+21,7.145745477314927041e-02,-2.729785925037524489e-11,7.206217441406820859e-15,-2.729065303293383658e-11
2.210032134909824336e+21,7.162226371822273674e-02,-2.717237438184768845e-11,7.222837808004800416e-15,-2.716515154403968477e-11
2.215129336676794237e+21,7.178745277742788755e-02,-2.704746635167531779e-11,7.239496507693347082e-15,-2.704022685516762466e-11
2.220238294592211911e+21,7.195302282745717759e-02,-2.692313250820384932e-11,7.256193628883619249e-15,-2.691587631457496450e-11
2.225359035770373145e+21,7.211897474702506916e-02,-2.679937021196827802e-11,7.272929260190689538e-15,-2.679209728270808754e-11
2.230491587388105032e+21,7.228530941687257017e-02,-2.667617683563702016e-11,7.289703490433999191e-15,-2.666888713214658506e-11
2.235635976684919587e+21,7.245202771977213296e-02,-2.655354976395589437e-11,7.306516408637853469e-15,-2.654624324754725685e-11
2.240792230963152945e+21,7.261913054053220629e-02,-2.643148639369274908e-11,7.323368104031879195e-15,-2.642416302558871601e-11
2.245960377588108493e+21,7.278661876600188430e-02,-2.630998413358222877e-11,7.340258666051496491e-15,-2.630264387491617779e-11
2.251140443988208124e+21,7.295449328507577769e-02,-2.618904040427061464e-11,7.357188184338406296e-15,-2.618168321608627770e-11
2.256332457655133798e+21,7.312275498869862111e-02,-2.606865263826117894e-11,7.374156748741058947e-15,-2.606127848151243873e-11
2.261536446143970673e+21,7.329140476986992225e-02,-2.594881827985973326e-11,7.391164449315116454e-15,-2.594142711541041965e-11
2.266752437073361502e+21,7.346044352364891616e-02,-2.582953478512019294e-11,7.408211376323963678e-15,-2.582212657374386969e-11
2.271980458125646889e+21,7.362987214715917272e-02,-2.571079962179071012e-11,7.425297620239161144e-15,-2.570337432417047137e-11
2.277220537047011295e+21,7.379969153959328731e-02,-2.559261026925993937e-11,7.442423271740923083e-15,-2.558516784598819957e-11
2.282472701647636136e+21,7.396990260221786295e-02,-2.547496421850340339e-11,7.459588421718619152e-15,-2.546750463008168405e-11
2.287736979801842909e+21,7.414050623837814546e-02,-2.535785897203031757e-11,7.476793161271246171e-15,-2.535038217886904696e-11
2.293013399448240521e+21,7.431150335350276970e-02,-2.524129204383059230e-11,7.494037581707899864e-15,-2.523379800624888568e-11
2.298301988589877854e+21,7.448289485510875552e-02,-2.512526095932195479e-11,7.511321774548281306e-15,-2.511774963754740766e-11
2.303602775294389256e+21,7.465468165280618462e-02,-2.500976325529751032e-11,7.528645831523171817e-15,-2.500223460946598837e-11
2.308915787694141342e+21,7.482686465830296063e-02,-2.489479647987345867e-11,7.546009844574904701e-15,-2.488725047002888451e-11
2.314241053986389230e+21,7.499944478540988835e-02,-2.478035819243692026e-11,7.563413905857892207e-15,-2.477279477853106342e-11
2.319578602433419936e+21,7.517242295004532282e-02,-2.466644596359425682e-11,7.580858107739076754e-15,-2.465886510548651727e-11
2.324928461362702582e+21,7.534580007023999881e-02,-2.455305737511949215e-11,7.598342542798429496e-15,-2.454545903257669344e-11
2.330290659167043584e+21,7.551957706614212396e-02,-2.444019001990286208e-11,7.615867303829461496e-15,-2.443257415259903171e-11
2.335665224304733979e+21,7.569375486002209719e-02,-2.432784150189980397e-11,7.633432483839695475e-15,-2.432020806941596332e-11
