target,target_outward_acceleration_m_s2,radius_m,z_rrep_over_R,mass_kg,charge_c,repulsion_radius_m,repulsive_zone_width_m,surface_electric_field_v_m,surface_field_over_schwinger,em_field_energy_mass_outside_kg,em_field_mass_fraction_of_adm,shell_surface_energy_j_m2,shell_surface_pressure_n_m,shell_nec,shell_wec,shell_dec,reconstructed_surface_repulsion_m_s2
micro_g,9.806649999999999e-06,1.0,1.4075925925925925,360486.22101433075,2252593.470103339,1.4075925925925923,0.4075925925925923,2.0245300479463076e+16,0.015299268984373107,253708.86721573403,0.7037962962962961,7.636787314600149e+20,-9.072713407045278e+20,False,False,False,9.806649999999999e-06
micro_g,9.806649999999999e-06,1.0,1.408092092092092,360044.99049195024,2251613.873720536,1.4080920920920919,0.40809209209209185,2.0236496306237124e+16,0.015292615716148934,253488.25195454375,0.7040460460460459,7.621008764485088e+20,-9.064824131987748e+20,False,False,False,9.806649999999995e-06
micro_g,9.806649999999999e-06,1.0,1.4085915915915916,359604.83877016,2250636.2476231675,1.4085915915915916,0.40859159159159164,2.0227709841053556e+16,0.015285975829800909,253268.17609364865,0.7042957957957957,7.605268792637653e+20,-9.056954146064028e+20,False,False,False,9.806649999999995e-06
micro_g,9.806649999999999e-06,1.0,1.4090910910910912,359165.7618973192,2249660.585597142,1.4090910910910914,0.40909109109109143,2.021894102806291e+16,0.015279349283123887,253048.63765722833,0.7045455455455458,7.589567257745849e+20,-9.049103378618134e+20,False,False,False,9.806650000000005e-06
micro_g,9.806649999999999e-06,1.0,1.4095905905905906,358727.75594106334,2248686.8814552864,1.4095905905905906,0.40959059059059055,2.0210189811657644e+16,0.015272736034095527,252829.63467910036,0.7047952952952953,7.57390401918703e+20,-9.041271759338722e+20,False,False,False,9.806649999999999e-06
micro_g,9.806649999999999e-06,1.0,1.4100900900900901,358290.81698818645,2247715.1290371986,1.4100900900900897,0.4100900900900897,2.0201456136470824e+16,0.01526613604087533,252611.16520266185,0.705045045045045,7.558278937023645e+20,-9.033459218257025e+20,False,False,False,9.806649999999992e-06
micro_g,9.806649999999999e-06,1.0,1.4105895895895895,357854.94114452536,2246745.3222091002,1.4105895895895895,0.41058958958958947,2.0192739947374804e+16,0.015259549261803616,252393.22728083137,0.7052947947947947,7.542691871999112e+20,-9.025665685744764e+20,False,False,False,9.806649999999999e-06
micro_g,9.806649999999999e-06,1.0,1.411089089089089,357420.124534843,2245777.454863686,1.4110890890890886,0.4110890890890886,2.0184041189479856e+16,0.015252975655400503,252175.8189759901,0.7055445445445443,7.527142685533683e+20,-9.017891092512043e+20,False,False,False,9.806649999999989e-06
micro_g,9.806649999999999e-06,1.0,1.4115885885885886,356986.3633027145,2244811.520919984,1.4115885885885886,0.4115885885885886,2.0175359808132932e+16,0.015246415180364964,251958.9383599259,0.7057942942942942,7.51163123972031e+20,-9.010135369605359e+20,False,False,False,9.806649999999999e-06
micro_g,9.806649999999999e-06,1.0,1.4120880880880882,356553.6536104126,2243847.514323206,1.4120880880880884,0.4120880880880884,2.0166695748916308e+16,0.015239867795573805,251742.58351377503,0.7060440440440442,7.496157397320595e+20,-9.002398448405504e+20,False,False,False,9.806650000000002e-06
micro_g,9.806649999999999e-06,1.0,1.4125875875875875,356121.99163879483,2242885.429044605,1.4125875875875875,0.4125875875875875,2.0158048957646308e+16,0.015233333460080704,251526.7525279661,0.7062937937937938,7.480721021760741e+20,-8.994680260625574e+20,False,False,False,9.806649999999995e-06
micro_g,9.806649999999999e-06,1.0,1.413087087087087,355691.3735871904,2241925.259081333,1.413087087087087,0.4130870870870871,2.0149419380372024e+16,0.015226812133115237,251311.44350216383,0.7065435435435434,7.46532197712749e+20,-8.986980738308947e+20,False,False,False,9.806649999999992e-06
micro_g,9.806649999999999e-06,1.0,1.4135865865865866,355261.7956732899,2240966.9984562993,1.4135865865865862,0.4135865865865862,2.0140806963374052e+16,0.01522030377408193,251096.6545452136,0.7067932932932932,7.449960128164198e+20,-8.979299813827302e+20,False,False,False,9.806649999999995e-06
micro_g,9.806649999999999e-06,1.0,1.414086086086086,354833.2541330336,2240010.641218029,1.4140860860860855,0.41408608608608555,2.013221165316319e+16,0.015213808342559266,250882.3837750854,0.7070430430430428,7.434635340266844e+20,-8.971637419878623e+20,False,False,False,9.806649999999989e-06
micro_g,9.806649999999999e-06,1.0,1.4145855855855856,354405.7452205013,2239056.181440522,1.4145855855855858,0.4145855855855858,2.012363339647922e+16,0.015207325798298775,250668.62931881938,0.7072927927927929,7.419347479480068e+20,-8.963993489485243e+20,False,False,False,9.806650000000009e-06
micro_g,9.806649999999999e-06,1.0,1.4150850850850851,353979.26520780433,2238103.613223115,1.4150850850850851,0.4150850850850851,2.0115072140289612e+16,0.015200856101224049,250455.38931247083,0.7075425425425425,7.404096412493349e+20,-8.95636795599188e+20,False,False,False,9.806649999999995e-06
micro_g,9.806649999999999e-06,1.0,1.4155845845845847,353553.8103849762,2237152.9306903444,1.4155845845845847,0.4155845845845847,2.0106527831788336e+16,0.015194399211429841,250242.66190105677,0.7077922922922922,7.38888200663704e+20,-8.948760753063723e+20,False,False,False,9.806649999999992e-06
micro_g,9.806649999999999e-06,1.0,1.416084084084084,353129.3770598657,2236204.127991808,1.4160840840840838,0.4160840840840838,2.0098000418394604e+16,0.015187955089181126,250030.44523850147,0.7080420420420419,7.373704129878588e+20,-8.941171814684497e+20,False,False,False,9.806649999999995e-06
micro_g,9.806649999999999e-06,1.0,1.4165835835835836,352705.96155802894,2235257.199302027,1.416583583583584,0.41658358358358405,2.008948984775162e+16,0.015181523694912139,249818.7374875832,0.7082917917917919,7.358562650818655e+20,-8.933601075154536e+20,False,False,False,9.806650000000002e-06
micro_g,9.806649999999999e-06,1.0,1.417083083083083,352283.56022262503,2234312.138820313,1.4170830830830825,0.4170830830830825,2.0080996067725396e+16,0.015175104989225498,249607.53681988115,0.7085415415415414,7.343457438687413e+20,-8.92604846908891e+20,False,False,False,9.806649999999995e-06
micro_g,9.806649999999999e-06,1.0,1.4175825825825825,351862.1694143091,2233368.940770632,1.4175825825825825,0.4175825825825825,2.007251902640353e+16,0.015168698932891266,249396.8414157232,0.7087912912912911,7.328388363340654e+20,-8.918513931415531e+20,False,False,False,9.806649999999992e-06
micro_g,9.806649999999999e-06,1.0,1.418082082082082,351441.7855111291,2232427.599401473,1.4180820820820819,0.41808208208208186,2.0064058672094016e+16,0.015162305486846064,249186.64946413317,0.7090410410410408,7.313355295256192e+20,-8.910997397373295e+20,False,False,False,9.806649999999989e-06
micro_g,9.806649999999999e-06,1.0,1.4185815815815817,351022.4049084214,2231488.1089857123,1.4185815815815812,0.4185815815815812,2.005561495332403e+16,0.015155924612192145,248976.95916277933,0.7092907907907907,7.298358105530038e+20,-8.903498802510222e+20,False,False,False,9.806649999999989e-06
micro_g,9.806649999999999e-06,1.0,1.4190810810810812,350604.0240187077,2230550.463820483,1.4190810810810814,0.41908108108108144,2.0047187818838772e+16,0.015149556270196516,248767.76871792256,0.7095405405405407,7.283396665872784e+20,-8.896018082681601e+20,False,False,False,9.806649999999999e-06
micro_g,9.806649999999999e-06,1.0,1.4195805805805806,350186.6392715931,2229614.658227044,1.419580580580581,0.419580580580581,2.0038777217600252e+16,0.015143200422290039,248559.07634436528,0.7097902902902904,7.268470848605929e+20,-8.888555174048173e+20,False,False,False,9.806650000000005e-06
micro_g,9.806649999999999e-06,1.0,1.4200800800800801,349770.247113664,2228680.6865506493,1.42008008008008,0.4200800800800799,2.0030383098786148e+16,0.015136857030066543,248350.8802654007,0.7100400400400401,7.253580526658222e+20,-8.881110013074316e+20,False,False,False,9.806649999999999e-06
micro_g,9.806649999999999e-06,1.0,1.4205795795795795,349354.84400838794,2227748.54316042,1.4205795795795788,0.4205795795795788,2.002200541178865e+16,0.015130526055281967,248143.17871276254,0.7102897897897894,7.238725573562078e+20,-8.87368253652624e+20,False,False,False,9.806649999999985e-06
micro_g,9.806649999999999e-06,1.0,1.421079079079079,348940.4264360128,2226818.222449214,1.4210790790790784,0.4210790790790784,2.001364410621327e+16,0.015124207459853463,247935.969926575,0.7105395395395393,7.22390586344999e+20,-8.866272681470194e+20,False,False,False,9.806649999999982e-06
micro_g,9.806649999999999e-06,1.0,1.4215785785785786,348526.99089346785,2225889.718833501,1.4215785785785786,0.4215785785785786,2.0005299131877748e+16,0.015117901205858549,247729.25215530262,0.7107892892892893,7.209121271050983e+20,-8.8588803852707e+20,False,False,False,9.806650000000002e-06
micro_g,9.806649999999999e-06,1.0,1.4220780780780782,348114.533894265,2224963.026753231,1.4220780780780782,0.4220780780780782,1.999697043881084e+16,0.015111607255534216,247523.0236557012,0.7110390390390391,7.1943716716871e+20,-8.851505585588757e+20,False,False,False,9.806650000000002e-06
micro_g,9.806649999999999e-06,1.0,1.4225775775775775,347703.05196840083,2224038.140671714,1.4225775775775775,0.4225775775775775,1.9988657977251268e+16,0.015105325571276126,247317.28269276908,0.7112887887887887,7.179656941269854e+20,-8.844148220380131e+20,False,False,False,9.806649999999995e-06
micro_g,9.806649999999999e-06,1.0,1.423077077077077,347292.54166225856,2223115.0550754922,1.423077077077077,0.4230770770770771,1.9980361697646532e+16,0.015099056115637709,247112.02753969794,0.7115385385385384,7.164976956296761e+20,-8.836808227893585e+20,False,False,False,9.806649999999995e-06
micro_g,9.806649999999999e-06,1.0,1.4235765765765767,346882.99953851255,2222193.764474214,1.4235765765765769,0.4235765765765769,1.9972081550651824e+16,0.015092798851329348,246907.256477825,0.7117882882882884,7.150331593847915e+20,-8.829485546669164e+20,False,False,False,9.806650000000005e-06
micro_g,9.806649999999999e-06,1.0,1.424076076076076,346474.4221760319,2221274.263400514,1.4240760760760762,0.4240760760760762,1.9963817487128904e+16,0.01508655374121753,246702.96779658468,0.7120380380380381,7.135720731582541e+20,-8.822180115536478e+20,False,False,False,9.806649999999999e-06
micro_g,9.806649999999999e-06,1.0,1.4245755755755756,346066.80616978445,2220356.5464098873,1.424575575575576,0.424575575575576,1.995556945814501e+16,0.015080320748324017,246499.15979346097,0.7122877877877879,7.121144247735549e+20,-8.814891873612986e+20,False,False,False,9.806650000000009e-06
micro_g,9.806649999999999e-06,1.0,1.4250750750750751,345660.14813074353,2219440.608080569,1.4250750750750754,0.42507507507507536,1.9947337414971744e+16,0.015074099835825014,246295.8307739405,0.7125375375375377,7.106602021114231e+20,-8.807620760302324e+20,False,False,False,9.806650000000002e-06
micro_g,9.806649999999999e-06,1.0,1.4255745745745747,345254.44468579296,2218526.443013414,1.4255745745745751,0.42557457457457515,1.993912130908401e+16,0.015067890967050353,246092.97905146523,0.7127872872872876,7.092093931094823e+20,-8.800366715292623e+20,False,False,False,9.806650000000009e-06
micro_g,9.806649999999999e-06,1.0,1.426074074074074,344849.6924776347,2217614.0458317744,1.4260740740740745,0.4260740740740745,1.993092109215891e+16,0.015061694105482677,245890.6029473861,0.7130370370370371,7.077619857619236e+20,-8.793129678554829e+20,False,False,False,9.806650000000012e-06
micro_g,9.806649999999999e-06,1.0,1.4265735735735736,344445.8881646949,2216703.411181381,1.426573573573574,0.42657357357357406,1.992273671607467e+16,0.015055509214756601,245688.70079091616,0.7132867867867869,7.063179681191677e+20,-8.785909590341048e+20,False,False,False,9.806650000000005e-06
micro_g,9.806649999999999e-06,1.0,1.427073073073073,344043.0284210335,2215794.5337302256,1.4270730730730725,0.4270730730730725,1.9914568132909596e+16,0.01504933625865795,245487.27091908536,0.7135365365365363,7.048773282875433e+20,-8.778706391182917e+20,False,False,False,9.806649999999985e-06
micro_g,9.806649999999999e-06,1.0,1.4275725725725725,343641.1099362517,2214887.408168442,1.4275725725725725,0.42757257257257253,1.9906415294940984e+16,0.015043175201122926,245286.31167669452,0.7137862862862862,7.034400544289516e+20,-8.771520021889962e+20,False,False,False,9.806649999999999e-06
micro_g,9.806649999999999e-06,1.0,1.428072072072072,343240.12941540213,2213982.0292081884,1.4280720720720723,0.4280720720720723,1.989827815464408e+16,0.015037026006237318,245085.82141626978,0.7140360360360362,7.020061347605533e+20,-8.764350423547976e+20,False,False,False,9.806650000000005e-06
micro_g,9.806649999999999e-06,1.0,1.4285715715715717,342840.0835788982,2213078.39158353,1.4285715715715714,0.42857157157157144,1.9890156664691028e+16,0.015030888638235708,244885.79849801777,0.7142857857857857,7.005755575544383e+20,-8.757197537517398e+20,False,False,False,9.806650000000002e-06
micro_g,9.806649999999999e-06,1.0,1.429071071071071,342440.9691624252,2212176.4900503275,1.4290710710710706,0.42907107107107056,1.988205077794985e+16,0.015024763061500704,244686.2412897812,0.7145355355355353,6.991483111373082e+20,-8.750061305431741e+20,False,False,False,9.806649999999989e-06
micro_g,9.806649999999999e-06,1.0,1.4295705705705706,342042.7829168507,2211276.3193861167,1.4295705705705708,0.4295705705705708,1.987396044748338e+16,0.015018649240562135,244487.14816699407,0.7147852852852854,6.977243838901558e+20,-8.742941669195986e+20,False,False,False,9.806650000000002e-06
micro_g,9.806649999999999e-06,1.0,1.4300700700700701,341645.5216081375,2210377.874389997,1.4300700700700704,0.43007007007007036,1.986588562654826e+16,0.015012547140096283,244288.51751263748,0.7150350350350352,6.963037642479587e+20,-8.735838570985001e+20,False,False,False,9.806650000000002e-06
micro_g,9.806649999999999e-06,1.0,1.4305695695695695,341249.1820172555,2209481.149882519,1.4305695695695693,0.43056956956956927,1.9857826268593908e+16,0.015006456724925114,244090.3477171964,0.7152847847847845,6.948864406993576e+20,-8.728751953241993e+20,False,False,False,9.806649999999999e-06
micro_g,9.806649999999999e-06,1.0,1.431069069069069,340853.76094009413,2208586.1407055687,1.4310690690690688,0.43106906906906883,1.984978232726152e+16,0.015000377960015522,243892.6371786157,0.7155345345345343,6.934724017863467e+20,-8.721681758676936e+20,False,False,False,9.806649999999995e-06
micro_g,9.806649999999999e-06,1.0,1.4315685685685686,340459.25518737716,2207692.8417222574,1.4315685685685688,0.43156856856856884,1.984175375638303e+16,0.014994310810478537,243695.38430225724,0.7157842842842842,6.920616361039676e+20,-8.714627930265041e+20,False,False,False,9.806649999999999e-06
micro_g,9.806649999999999e-06,1.0,1.4320680680680682,340065.6615845763,2206801.2478168104,1.4320680680680684,0.4320680680680684,1.9833740509980164e+16,0.014988255241568611,243498.58750085684,0.7160340340340341,6.906541323000025e+20,-8.707590411245217e+20,False,False,False,9.806649999999995e-06
micro_g,9.806649999999999e-06,1.0,1.4325675675675675,339672.9769718265,2205911.353894456,1.4325675675675675,0.43256756756756753,1.9825742542263384e+16,0.014982211218682833,243302.24519448195,0.7162837837837838,6.892498790746684e+20,-8.700569145118546e+20,False,False,False,9.806649999999999e-06
