scan_type,tail_definition,leak_cap,back_cap,success,shift_m,alpha_m,energy_J,backreaction,surface_min_mps2,surface_max_mps2,a_cm_mps2,conservative_leak,conservative_overlap,leak_on_energy,leak_off_energy,leak_noether,overlap_on_energy,overlap_off_energy,overlap_noether
threshold,,5e-05,0.005,True,0.5415412745961462,23.10904299075132,199142558543.9296,0.0050000000000923,9.80665,15.815882978691635,12.410964825167987,4.99999999985678e-05,2.0862390959394075e-30,4.99999999985678e-05,3.3450405685958026e-05,8.529991584124185e-06,,,
threshold,,5e-05,0.0025,True,0.5415412745961462,16.34056100529684,398285117097.3589,0.002499999999986522,9.80665,15.815882978691635,12.410964825167989,4.99999999985678e-05,2.0862390959394075e-30,4.99999999985678e-05,3.3450405685958026e-05,8.529991584124185e-06,,,
threshold,,1e-05,0.01,True,0.506653682001996,32.81794257569038,107695718957.13931,0.009999999999995794,9.80665,15.678404712551789,12.359325304042324,9.999999999996143e-06,2.787475852270051e-31,9.999999999996143e-06,6.4900986135214545e-06,1.6263215081507444e-06,,,
threshold,,1e-05,0.008,True,0.506653682001996,29.353260193216244,134619648688.67395,0.008000000000457206,9.80665,15.67840471255179,12.359325304042322,9.999999999996143e-06,2.787475852270051e-31,9.999999999996143e-06,6.4900986135214545e-06,1.6263215081507444e-06,,,
threshold,,1e-05,0.005,True,0.506653682001996,23.20578973991277,215391437913.3247,0.005000000000020042,9.80665,15.678404712551789,12.359325304042315,9.999999999996143e-06,2.787475852270051e-31,9.999999999996143e-06,6.4900986135214545e-06,1.6263215081507444e-06,,,
threshold,,1e-05,0.0025,True,0.506653682001996,16.408971287531166,430782875845.04535,0.0024999999999032615,9.80665,15.678404712551787,12.359325304042319,9.999999999996143e-06,2.787475852270051e-31,9.999999999996143e-06,6.4900986135214545e-06,1.6263215081507444e-06,,,
threshold,,1e-06,0.01,True,0.4583398357242188,33.00472054758792,119796236130.30379,0.009999999999985876,9.80665,15.50005076636295,12.291888310840923,9.999999996634716e-07,1.7145952485514052e-32,9.999999996634716e-07,6.284091753649791e-07,1.545135505708141e-07,,,
threshold,,1e-06,0.008,True,0.4583398357242188,29.520319489457403,149745295159.41895,0.008000000000173592,9.806650000000001,15.500050766362953,12.291888310840912,9.999999996634716e-07,1.7145952485514052e-32,9.999999996634716e-07,6.284091753649791e-07,1.545135505708141e-07,,,
threshold,,1e-06,0.005,True,0.4583398357242188,23.337861710383415,239592472260.25827,0.005000000000000228,9.806649999999998,15.500050766362948,12.291888310840921,9.999999996634716e-07,1.7145952485514052e-32,9.999999996634716e-07,6.284091753649791e-07,1.545135505708141e-07,,,
threshold,,1e-06,0.0025,True,0.4583398357242188,16.50236027256256,479184944592.72864,0.0024999999996233695,9.80665,15.50005076636295,12.291888310840921,9.999999996634716e-07,1.7145952485514052e-32,9.999999996634716e-07,6.284091753649791e-07,1.545135505708141e-07,,,
