sample_index,g,m_gev,mmax_gev,alpha,epsilon,static_response_ratio,reversal_fractional_bandwidth,required_q,pole_frequency_hz_20cm,linewidth_hz_20cm
93779,0.032226489330876816,980855324599.8888,1000000000000.0,0.5069652648850486,8.838488342225604e-06,1.0000000000781188,3.905942236315241e-11,25602017119.00821,5474102.665537544,0.00021381528807248932
4957395,0.030799620665065697,936460266692.6858,948616633111.9419,0.1918283530797605,8.829376255545607e-06,1.0000000000779579,3.8979042216169546e-11,25654812000.105362,3218196.8519101692,0.00012544223095055043
257235,0.031050470759943886,943904078480.5856,964131734414.1302,0.06361914876970833,8.827662285839458e-06,1.0000000000779277,3.8963943183034644e-11,25664753572.359474,1868413.3202830954,7.280075045393564e-05
877139,0.032825655475174555,997697431843.0923,1000000000000.0,2.7496240119417106,8.82615365677587e-06,1.000000000077901,3.895062050673914e-11,25673531948.6626,12985566.534129133,0.0005057958741358757
9265875,0.03044880022726032,925141700936.718,927129435279.6082,0.014907743614196067,8.823159070871431e-06,1.0000000000778482,3.8924197198753063e-11,25690960173.0215,886925.1727701016,3.452285032544156e-05
8229587,0.030538383874600044,927581347004.8948,932592889672.432,0.07505167837765497,8.820475405474048e-06,1.0000000000778009,3.8900438426026085e-11,25706651144.861042,1995892.2566766788,7.764108383583339e-05
6785235,0.031391886497786306,953457944498.8223,985450537889.8981,1.1498903621276402,8.820032043544401e-06,1.000000000077793,3.889666366774236e-11,25709145867.678013,8030756.747812522,0.0003123696442171161
2443859,0.03255147376494748,988372658948.1969,1000000000000.0,0.45904103826876036,8.81730987270053e-06,1.000000000077745,3.887246080580553e-11,25725152955.85948,5261471.853732395,0.0002045263584150615
616019,0.03193878395471567,968698816944.2345,1000000000000.0,0.08516288737395512,8.807576606572014e-06,1.0000000000775735,3.878675158830447e-11,25781999240.728737,2223588.4231324214,8.624577180266687e-05
3129555,0.03165284356959528,959279831116.8086,1000000000000.0,0.37418974200216754,8.800728405660552e-06,1.000000000077453,3.8726577500369785e-11,25822059798.350407,4619229.170818734,0.00017888693647568057
4532819,0.03248304929284828,982586193801.0902,1000000000000.0,8.460274563713602,8.784153232222171e-06,1.0000000000771614,3.858069419493404e-11,25919699499.116535,22540308.65911816,0.0008696207554368615
3659987,0.03146065669633812,950943925980.1064,989772919764.8447,0.04844533000459776,8.777546962319918e-06,1.0000000000770455,3.8522740553048607e-11,25958693115.89936,1651979.2267186914,6.363876714991e-05
8099027,0.03093834105203637,933203233053.4368,957180947052.1189,0.4470991279277296,8.759216254906295e-06,1.000000000076724,3.8361980259082884e-11,26067476007.400116,4935256.997079224,0.00018932623149545388
5324371,0.032306395747096026,974420600217.8225,1000000000000.0,0.011391339790916805,8.758787393641255e-06,1.0000000000767164,3.835820550079916e-11,26070041258.2952,822596.2985342923,3.1553317863375115e-05
2868435,0.030716927404603907,925991410382.8539,943529629179.7065,0.01988977527309492,8.754174986152389e-06,1.0000000000766356,3.83177933827028e-11,26097536202.369476,1033483.5023792392,3.9600807308599725e-05
5618387,0.030367626634744457,915200593930.994,922192747427.241,0.018781080557128477,8.751680990477123e-06,1.000000000076592,3.829603301142015e-11,26112365207.69117,992846.1997653171,3.802207084147563e-05
5748947,0.031545361172396036,950419307450.0085,995109811496.9114,0.08312243538215414,8.749148396109691e-06,1.0000000000765477,3.8273828550927647e-11,26127514227.362625,2169728.8943378683,8.304383170388138e-05
387795,0.030159675087452313,908597217182.728,909606001380.6917,0.34251863197278004,8.74844327955877e-06,1.0000000000765352,3.8267611301989746e-11,26131759103.239468,4210945.278853683,0.00016114281714512156
7013459,0.03309200177657885,996823379369.691,1000000000000.0,0.1417539380767094,8.74744484800658e-06,1.000000000076518,3.825895156239767e-11,26137673908.00216,2972360.246915901,0.00011371938671275184
2998995,0.030471072264561555,917427759842.791,928486244952.1324,4.117153091371274,8.743195239856774e-06,1.0000000000764435,3.822187011337519e-11,26163031715.448807,14750171.980742136,0.000563779157597872
9135315,0.030775405202315576,925811042359.9264,947125565366.7126,2.2469066308929366,8.735838835298479e-06,1.000000000076315,3.815747717794693e-11,26207183334.907394,11005432.933934102,0.000419939556010016
2346195,0.031020533671354517,932633202780.0497,962273509255.6393,2.171627968721909,8.730671430467228e-06,1.0000000000762246,3.811240212314715e-11,26238178238.381386,10905681.67953702,0.00041564172559755373
7576787,0.031234992237435016,939062102630.7064,975624740072.6257,0.09336440379541823,8.730496619459497e-06,1.0000000000762217,3.8110847810912674e-11,26239248335.841526,2276894.4860196733,8.6774379238202e-05
5846611,0.03200860699990735,962052262062.7158,1000000000000.0,3.665978492745583,8.728064106802612e-06,1.000000000076179,3.808953152883987e-11,26253932770.027374,14620848.247830842,0.000556901260314136
