source,C_source,scenario,accel_m_s2,h_m,area_model,R_over_h,ell_over_R,Gamma,ln_Gamma,B_actual,B_max_beneficial,localization_burden_ratio,localization_burden_orders,E_wall_J,E_total_J
027B_CORRECTED_GENUINE_SOURCE,3.08075881130598,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,0.25,10.0,1e+17,39.14394658089878,2.1479888138808016e+16,0.00201061296707233,1.068325356027374e+19,19.02870353622139,4.346278917986352e+42,4.346278917986352e+42
027B_CORRECTED_GENUINE_SOURCE,3.08075881130598,ONE_G_ONE_CM,9.80665,0.01,OPTIMISTIC_DISK,0.25,10.0,10.0,2.302585092994046,2147988813880801.8,0.522960432735513,4107363921673872.0,15.613563184025516,1.503902739787665e+40,1.503902739787665e+40
027B_CORRECTED_GENUINE_SOURCE,3.08075881130598,ONE_G_ONE_CM,9.80665,0.01,OPTIMISTIC_DISK,0.25,10.0,1000.0,6.907755278982137,2147988813880801.8,0.06449845337071328,3.330295071627463e+16,16.522482714678183,1.3535124658088982e+41,1.3535124658088982e+41
027B_CORRECTED_GENUINE_SOURCE,3.08075881130598,ONE_G_ONE_CM,9.80665,0.01,OPTIMISTIC_DISK,0.25,10.0,1000000.0,13.815510557964274,2147988813880801.8,0.016140737956020997,1.3307872414095758e+17,17.124108628526827,5.414049863235593e+41,5.414049863235593e+41
027B_CORRECTED_GENUINE_SOURCE,3.08075881130598,ONE_G_ONE_CM,9.80665,0.01,OPTIMISTIC_DISK,0.25,10.0,1000000000.0,20.72326583694641,2147988813880801.8,0.007173668480281929,2.99426830189452e+17,17.476290712777786,1.2181612192280086e+42,1.2181612192280086e+42
027B_CORRECTED_GENUINE_SOURCE,3.08075881130598,ONE_G_ONE_CM,9.80665,0.01,OPTIMISTIC_DISK,0.25,10.0,1000000000000.0,27.631021115928547,2147988813880801.8,0.004035188524189739,5.32314364249466e+17,17.726168185560525,2.1656199452942372e+42,2.1656199452942372e+42
027B_CORRECTED_GENUINE_SOURCE,3.08075881130598,ONE_G_ONE_CM,9.80665,0.01,OPTIMISTIC_DISK,0.25,10.0,1e+17,39.14394658089878,2147988813880801.8,0.00201061296707233,1.0683253560273741e+18,18.02870353622139,4.346278917986351e+42,4.346278917986351e+42
006D_REFERENCE,23.591586299249,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,0.25,10.0,10.0,2.302585092994046,21479888138808.02,4.004684214387564,5363690865221.676,12.729463739463453,1.5039027397876652e+42,1.5039027397876964e+42
006D_REFERENCE,23.591586299249,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,0.25,10.0,1000.0,6.907755278982137,21479888138808.02,0.4939110531077997,43489385393689.25,13.63838327011612,1.3535124658088982e+43,1.3535124658088982e+43
006D_REFERENCE,23.591586299249,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,0.25,10.0,1000000.0,13.815510557964274,21479888138808.02,0.12360124104022688,173783757816940.06,14.240009183964764,5.414049863235593e+43,5.414049863235593e+43
006D_REFERENCE,23.591586299249,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,0.25,10.0,1000000000.0,20.72326583694641,21479888138808.02,0.054933939785773406,391013064465673.06,14.592191268215721,1.2181612192280084e+44,1.2181612192280084e+44
006D_REFERENCE,23.591586299249,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,0.25,10.0,1000000000000.0,27.631021115928547,21479888138808.02,0.03090034116036698,695134336133424.0,14.842068740998462,2.165619945294237e+44,2.165619945294237e+44
006D_REFERENCE,23.591586299249,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,0.25,10.0,1e+17,39.14394658089878,21479888138808.02,0.015396709782343579,1395095994044157.5,15.144604091659325,4.346278917986352e+44,4.346278917986352e+44
006D_REFERENCE,23.591586299249,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,0.25,10.0,10.0,2.302585092994046,2.1479888138808016e+16,4.004684214387564,5363690865221675.0,15.729463739463453,1.5039027397876653e+40,1.5039027397876653e+40
006D_REFERENCE,23.591586299249,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,0.25,10.0,1000.0,6.907755278982137,2.1479888138808016e+16,0.4939110531077997,4.348938539368924e+16,16.63838327011612,1.3535124658088984e+41,1.3535124658088984e+41
006D_REFERENCE,23.591586299249,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,0.25,10.0,1000000.0,13.815510557964274,2.1479888138808016e+16,0.12360124104022688,1.7378375781694003e+17,17.240009183964762,5.414049863235594e+41,5.414049863235594e+41
006D_REFERENCE,23.591586299249,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,0.25,10.0,1000000000.0,20.72326583694641,2.1479888138808016e+16,0.054933939785773406,3.91013064465673e+17,17.59219126821572,1.2181612192280087e+42,1.2181612192280087e+42
006D_REFERENCE,23.591586299249,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,0.25,10.0,1000000000000.0,27.631021115928547,2.1479888138808016e+16,0.03090034116036698,6.951343361334239e+17,17.84206874099846,2.1656199452942375e+42,2.1656199452942375e+42
006D_REFERENCE,23.591586299249,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,0.25,10.0,1e+17,39.14394658089878,2.1479888138808016e+16,0.015396709782343579,1.3950959940441574e+18,18.144604091659325,4.346278917986352e+42,4.346278917986352e+42
006D_REFERENCE,23.591586299249,ONE_G_ONE_CM,9.80665,0.01,OPTIMISTIC_DISK,0.25,10.0,10.0,2.302585092994046,2147988813880801.8,4.004684214387564,536369086522167.56,14.729463739463453,1.503902739787665e+40,1.5039027397876653e+40
006D_REFERENCE,23.591586299249,ONE_G_ONE_CM,9.80665,0.01,OPTIMISTIC_DISK,0.25,10.0,1000.0,6.907755278982137,2147988813880801.8,0.4939110531077997,4348938539368924.5,15.63838327011612,1.3535124658088982e+41,1.3535124658088982e+41
006D_REFERENCE,23.591586299249,ONE_G_ONE_CM,9.80665,0.01,OPTIMISTIC_DISK,0.25,10.0,1000000.0,13.815510557964274,2147988813880801.8,0.12360124104022688,1.7378375781694004e+16,16.240009183964762,5.414049863235593e+41,5.414049863235593e+41
006D_REFERENCE,23.591586299249,ONE_G_ONE_CM,9.80665,0.01,OPTIMISTIC_DISK,0.25,10.0,1000000000.0,20.72326583694641,2147988813880801.8,0.054933939785773406,3.9101306446567304e+16,16.59219126821572,1.2181612192280086e+42,1.2181612192280086e+42
006D_REFERENCE,23.591586299249,ONE_G_ONE_CM,9.80665,0.01,OPTIMISTIC_DISK,0.25,10.0,1000000000000.0,27.631021115928547,2147988813880801.8,0.03090034116036698,6.95134336133424e+16,16.84206874099846,2.1656199452942372e+42,2.1656199452942372e+42
006D_REFERENCE,23.591586299249,ONE_G_ONE_CM,9.80665,0.01,OPTIMISTIC_DISK,0.25,10.0,1e+17,39.14394658089878,2147988813880801.8,0.015396709782343579,1.3950959940441574e+17,17.144604091659325,4.346278917986351e+42,4.346278917986351e+42
