x0,q,kappa,r0_over_h,old_C,old_eta,old_tau,required_P_over_old_E_line,same_energy_DEC_pass,outer_energy_multiplier_to_DEC_support,minimum_DEC_support_active_over_new_E,minimum_support_active_over_old_outer_E,wall_outward,minimum_support_inward,corrected_initial_outward,corrected_initial_outward_yes,corrected_energy,corrected_C,corrected_beats_006D,corrected_ge10x_vs_006D,old_stage_impulse,minimum_support_stage_impulse,corrected_stage_impulse,corrected_eta,corrected_positive_stage_impulse
0.3,0.0037767762353825038,1.01,0.0011443631993208986,1.0751069920731273,0.005251266406623106,0.3056463141838897,264.776078241427,False,264.77607824142706,2.0,529.552156482854,0.26498115092520347,0.9938311996181188,-0.7288500486929154,False,0.8482340491278741,inf,False,False,0.0014959969904977874,0.30376084308423157,-0.3022648460937338,-0.3563460419969139,False
0.3,0.0037767762353825038,1.05,0.0011896845141454889,1.075108303881672,0.0035528168728514234,0.30382027839064396,264.776078241427,False,264.77607824142706,2.0,529.552156482854,0.26498081860158057,0.9938311996181188,-0.7288503810165383,False,0.8482340394485256,inf,False,False,0.001012137407899634,0.3019460717412845,-0.3009339343333849,-0.35477700768650516,False
0.3,0.0037767762353825038,1.1,0.0012463361576762263,1.075109948790879,0.002815565005850877,0.3030275876292867,264.776078241427,False,264.77607824142706,2.0,529.552156482854,0.264980385048386,0.9938311996181188,-0.7288508145697328,False,0.848234009200561,inf,False,False,0.0008021067412719295,0.3011582709309987,-0.30035616418972677,-0.35409587558603645,False
0.3,0.0037767762353825038,1.2,0.0013596394447377013,1.0751132557723242,0.0020633145335250246,0.3022185736956241,264.776078241427,False,264.77607824142706,2.0,529.552156482854,0.2649794574465083,0.9938311996181188,-0.7288517421716105,False,0.8482338882087029,inf,False,False,0.0005878030840616236,0.30035424764279894,-0.2997664445587373,-0.35340069375415184,False
0.3,0.0037767762353825038,1.4,0.0015862460188606515,1.0751199383973071,0.0012665086902108724,0.301360868367023,264.776078241427,False,264.77607824142706,2.0,529.552156482854,0.2649773602611673,0.9938311996181188,-0.7288538393569515,False,0.8482334042412706,inf,False,False,0.00036080609005281067,0.2995018333271565,-0.29914102723710373,-0.35266357790363134,False
0.3,0.004237612633868263,1.01,0.0012839966280620838,1.0760987128594723,0.005885603854543143,0.3063341791484262,235.98192812804595,False,235.98192812804595,2.0,471.9638562560919,0.2649800856756739,0.9938311996181188,-0.728851113942445,False,0.8482350932856706,inf,False,False,0.0016782489168642167,0.3044444647471121,-0.3027662158302479,-0.3569366773749852,False
0.3,0.004237612633868263,1.05,0.001334847979668503,1.0761003659006732,0.003981597465834235,0.30428525417050384,235.98192812804595,False,235.98192812804595,2.0,471.9638562560919,0.26497966730524,0.9938311996181188,-0.7288515323128788,False,0.8482350811000926,inf,False,False,0.001135331482377891,0.30240817917837604,-0.30127284769599816,-0.35517612323375203,False
0.3,0.004237612633868263,1.1,0.001398412169176527,1.0761024387707376,0.003155153452961565,0.30339583555129956,235.98192812804595,False,235.98192812804595,2.0,471.9638562560919,0.264979121494423,0.9938311996181188,-0.7288520781236958,False,0.8482350430201614,inf,False,False,0.0008996752181097134,0.3015242472050895,-0.3006245719869798,-0.3544118749404631,False
0.3,0.004237612633868263,1.2,0.0015255405481925746,1.0761066064082068,0.002311924591758364,0.3024881052783818,235.98192812804595,False,235.98192812804595,2.0,471.9638562560919,0.26497795371361715,0.9938311996181188,-0.7288532459045016,False,0.8482348907004367,inf,False,False,0.0006592326431217946,0.30062211653902604,-0.29996288389590425,-0.353631862099197,False
0.3,0.004237612633868263,1.4,0.0017797973062246703,1.076115029288207,0.0014188516149029496,0.30152574348743927,235.98192812804595,False,235.98192812804595,2.0,471.9638562560919,0.2649753135159352,0.9938311996181188,-0.7288558861021837,False,0.8482342814215376,inf,False,False,0.00040457690749098885,0.29966569136586696,-0.299261114458376,-0.35280478638148266,False
0.3,0.004754679577383345,1.01,0.0014406679119471535,1.0772125837391229,0.006595652684386626,0.3071056681797245,210.3191148267309,False,210.31911482673095,2.0,420.6382296534618,0.2649787446067424,0.9938311996181188,-0.7288524550113764,False,0.8482364078024545,inf,False,False,0.0018826528005722667,0.30521119461657953,-0.30332854181600727,-0.35759905967942063,False
0.3,0.004754679577383345,1.05,0.0014977240668757536,1.0772146670187002,0.004461465246952805,0.3048066617729619,210.3191148267309,False,210.31911482673095,2.0,420.6382296534618,0.26497821790992127,0.9938311996181188,-0.7288529817081976,False,0.8482363924617207,inf,False,False,0.0012734736033469599,0.30292637032141695,-0.30165289671807,-0.35562362025357575,False
0.3,0.004754679577383345,1.1,0.001569044260536504,1.0772172795107249,0.003535144946764603,0.30380871298905676,210.3191148267309,False,210.31911482673095,2.0,420.6382296534618,0.26497753077531233,0.9938311996181188,-0.7288536688428064,False,0.8482363445219276,inf,False,False,0.0010090660284044692,0.30193457768435106,-0.3009255116559466,-0.35476611394852514,False
0.3,0.004754679577383345,1.2,0.0017116846478580038,1.077222532473353,0.0025900459664784307,0.3027902212568397,210.3191148267309,False,210.31911482673095,2.0,420.6382296534618,0.2649760606276029,0.9938311996181188,-0.7288551389905159,False,0.8482361527627553,inf,False,False,0.0007392980147499506,0.3009223688243206,-0.30018307080957063,-0.35389091803250383,False
