E_over_Qm,V_classical_eV,V_cutoff_eV,V_payload_reaction_eV,V_required_eV,V_self_eV,V_source_reaction_eV,activation_charge,activation_energy_GJ,activation_energy_J,activation_energy_fraction,candidate_pass,cutoff_GeV,cutoff_eV,f_leak_10m,m_A_eV,metric_gradient_relerr_max,metric_operator_scale_eV,mu_mA_over_mX,omega_activation,payload_f_min,payload_f_volume_mean,payload_reaction_ratio,self_coupling_est,source_f_min,source_reaction_ratio
0.3760877180284293,3.237039971737283e-06,145810824286.55618,3199244350.7192645,145810824286.55618,2.828357423759946e-06,2.644228904293836e-20,2.029006347927039e+39,109349.61073058758,109349610730587.58,899.6000316702143,True,100.0,100000000000.0,0.0,8.944051496127467e-07,2.0959414770626425e-10,100000000000.0,0.14957594687452402,0.3,0.9999999999942409,0.9999999999998466,4.81410206134967e-05,3.762608670090257e-35,1.0,3.288656897293601e-63
0.3760877180284293,3.33648962967724e-06,145810824286.55618,15835142144.791567,145810824286.55618,2.9152513703224606e-06,4.334220236889535e-20,1.9098531332724435e+39,106090.26255629808,106090262556298.08,872.7859469997244,True,100.0,100000000000.0,0.0,9.218834282145973e-07,5.325513635747412e-09,100000000000.0,0.1541712799203292,0.3,0.9999999998464,0.9999999999955922,0.001179408904045322,3.997352855765058e-35,1.0,8.835729686941599e-63
0.3760877180284293,3.438994620436912e-06,145810824286.55618,71926583711.08513,145810824286.55618,3.004814908035579e-06,7.314108488565409e-20,1.7976971803942957e+39,102928.06470975334,102928064709753.34,846.7711010035383,True,100.0,100000000000.0,0.0,9.502059056621815e-07,1.1338667958389521e-07,100000000000.0,0.15890779265607205,0.3,0.9999999965314118,0.9999999998907754,0.02433320618739427,4.246742421159037e-35,1.0,2.516189035299318e-62
0.3760877180284293,3.5446488111932447e-06,145810824286.55618,296184097938.14044,296184097938.14044,3.0971300531638755e-06,1.2724663379744487e-19,6.981955043468574e+39,412036.82789077197,412036827890771.94,3389.7545765670357,False,100.0,100000000000.0,0.0,9.79398517775623e-07,1.974367045529172e-06,142523338322.04135,0.1637898224615794,0.3,0.9999999351799825,0.999999997720845,0.10000000000000003,1.0934411391720683e-35,1.0,1.845734071820291e-62
0.3760877180284293,3.6535489529487565e-06,145810824286.55618,1092752556661.6111,1092752556661.6111,3.1922813417089495e-06,2.2854722172960746e-19,8.945689110927223e+40,5441448.27429831,5441448274298310.0,44765.83873673831,True,100.0,100000000000.0,0.0,1.0094879971858551e-06,2.74671631493033e-05,273757504363.2031,0.16882183997142453,0.3,0.9999990189652048,0.9999999607509135,0.09999999999999999,8.534118257086561e-37,1.0,4.3742966293600944e-63
0.3760877180284293,3.7657947691295926e-06,145810824286.55618,3572331204887.1807,3572331204887.1807,3.2903559068218043e-06,4.243978301005471e-19,8.998914774235531e+41,56419932.20934371,5.641993220934371e+16,464156.86771310575,True,100.0,100000000000.0,0.0,1.0405018978145662e-06,0.00029871204221128164,494972392046.4559,0.17400845316883332,0.3,0.9999882085600088,0.9999994521179634,0.1,8.483641714483282e-38,1.0,1.411376477334604e-63
0.3760877180284293,3.881489046905541e-06,145810824286.55618,10244226188329.684,10244226188329.684,3.3914435585935347e-06,8.15964464267327e-19,6.965649022928048e+42,450138051.09590423,4.5013805109590426e+17,3703206.6444162647,True,100.0,100000000000.0,0.0,1.0724686201062285e-06,0.002490280338242193,838194287972.0978,0.17935441160536578,0.3,0.9998893204339201,0.9999938938718907,0.09999999999999999,1.0960007963722098e-38,1.0,6.344306746082723e-64
0.3760877180284293,4.000737731315601e-06,145810824286.55618,25547690686378.453,25547690686378.453,3.4956368662973587e-06,1.6267152374219573e-18,4.07777383185869e+43,2716120228.8219404,2.71612022882194e+18,22345043.823597685,False,100.0,100000000000.0,0.0,1.1054174370353137e-06,0.015652218040167303,1323673706629.5159,0.18486461075023553,0.3,0.9991992107653715,0.9999462926945805,0.09999999999999998,1.872187421659585e-39,1.0,4.0543363080715577e-64
0.43581007030370333,1.8887304723779186e-06,145810824286.55618,1.9924197874248761,145810824286.55618,1.1409924671241497e-06,1.1873404670670295e-09,5.959907999759027e+39,150151.60818786532,150151608187865.3,1235.2708946896441,True,100.0,100000000000.0,7.91352650075794e-09,3.6081349892071025e-07,0.0,100000000000.0,0.06034068651051754,0.35,1.0,1.0,1.86716269694783e-23,6.12330686346721e-36,1.0,6.630877569046627e-42
0.43581007030370333,1.946756817760966e-06,145810824286.55618,4.164142964433713,145810824286.55618,1.1760465015377764e-06,1.171301399963435e-09,5.609912940383063e+39,145676.08818606567,145676088186065.66,1198.451578109915,True,100.0,100000000000.0,2.6002171527039764e-09,3.718985579132088e-07,0.0,100000000000.0,0.06219449761131546,0.35,1.0,1.0,8.15589700285606e-23,6.50533189166847e-36,1.0,6.452942489258846e-42
