branch,x0,ratio,kappa,C_initial,gain_vs_006D,eta_J,tau,support_margin,chi_max_gain10,label
FREE_OUTER_EDGE_COLLAPSE,0.05,43651.58322401656,,1.0018975614838785,23.546904600015445,-0.04996937217764729,0.05000057846044601,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.05,57543.993733715666,,1.001892020447793,23.547034827869773,-0.04996923418752119,0.05000044021168858,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.05,75857.75750291836,,1.001887817142076,23.547133616760526,-0.049969129508253725,0.05000033533621579,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.05,100000.0,,1.0018846286086185,23.547208556350594,-0.04996905009911214,0.05000025577822935,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,0.1,,11.024790502406361,2.139867083560427,-0.08227879898998834,0.08236934999466378,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,0.1318256738556407,,8.605125358873481,2.741573808093533,-0.08128180809830414,0.08137067188717138,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,0.17378008287493754,,6.769621641909668,3.4849194751442503,-0.08008016333836877,0.08016699183455567,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,0.2290867652767773,,5.3772496833382055,4.387296050683535,-0.0786632109549134,0.07874763627158765,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,0.3019951720402016,,4.321027539466431,5.459716718714118,-0.07703433432899613,0.0771159914126372,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,0.3981071705534972,,3.5198011068760535,6.70253391680627,-0.07521496155514215,0.07529351735209677,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,0.5248074602497725,,2.9120087025923618,8.101482072580012,-0.0732460823424636,0.07332126755696274,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,0.6918309709189364,,2.4509510144296813,9.625482582212518,-0.07118599951383671,0.07125763709671828,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,0.9120108393559097,,2.1012029913946733,11.22765691647435,-0.06910410794790657,0.0691721321985613,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,1.2022644346174132,,1.8358919842095258,12.850203880271721,-0.06707195024190982,0.06713641232177733,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,1.5848931924611134,,1.6346330037504666,14.432344290810827,-0.0651538866812955,0.06521494578959207,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,2.0892961308540388,,1.4819624544009877,15.919152492149179,-0.06339980973821666,0.06345771272251266,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,2.7542287033381663,,1.3661499992970865,17.268664723044598,-0.061841414281610295,0.061896468664400225,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,3.630780547701014,,1.2782972679461928,18.45547736885411,-0.060492182023813026,0.06054472778483587,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,4.786300923226383,,1.2116541560383416,19.470561118186325,-0.05935015385261202,0.05940053819415704,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,6.30957344480193,,1.1611001858148855,20.3183037841751,-0.058402117387743216,0.05845067494362239,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,8.317637711026709,,1.1227510776746783,21.012303411108153,-0.05762797318272119,0.057675012444371496,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,10.964781961431852,,1.0936603042171482,21.571219334083874,-0.05700447728482159,0.057050272808092536,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,14.45439770745928,,1.0715926958320114,22.01544149284435,-0.056508015945396034,0.05655280524836493,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,19.054607179632463,,1.054852702976521,22.364815706192587,-0.056116400821953204,0.05616038468145616,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,25.118864315095795,,1.042154119790197,22.637329595740006,-0.05580985017658771,0.05585319511525545,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,33.11311214825911,,1.032521259350409,22.848523539448664,-0.05557137800617673,0.055614219985534674,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,43.65158322401656,,1.0252139874374002,23.0113777107333,-0.05538679903102022,0.055429247627161005,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,57.543993733715666,,1.019670854829551,23.136472115006747,-0.055244513766155405,0.05528665634428841,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,75.85775750291836,,1.0154659587378236,23.232276863886437,-0.055135189376028716,0.055177094973522196,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,100.0,,1.0122762188573113,23.305483088281882,-0.05505141040797755,0.05509313317730897,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,131.82567385564073,,1.0098565537137782,23.361324152910846,-0.054987342359813576,0.05502892451878179,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,173.78008287493745,,1.0080210499968145,23.403862746044393,-0.05493842981605818,0.05497990411221723,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,229.08676527677724,,1.006628678038243,23.436235042722206,-0.05490113752398048,0.05494252925347662,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,301.9951720402016,,1.0055724558943715,23.4608517376963,-0.05487273502304668,0.054914063659372354,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,398.1071705534969,,1.004771229461781,23.479559931155816,-0.054851121392151994,0.054892401884404626,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,524.8074602497722,,1.0041634370574972,23.493771460529857,-0.054834684928000504,0.05487592872576965,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,691.8309709189363,,1.0037023793693347,23.504563488304683,-0.05482219214804651,0.05486340800424416,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,912.0108393559096,,1.0033526313462995,23.512756694118384,-0.05481270079829667,0.05485389539412568,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,1202.2644346174131,,1.0030873203391144,23.5189756872546,-0.05480549215839007,0.05484667058740635,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,1584.893192461114,,1.0028860613586554,23.523695470738122,-0.05480001865338793,0.05484118479489972,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,2089.2961308540407,,1.0027333908093061,23.527277056375105,-0.05479586348534368,0.05483702029149809,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,2754.228703338163,,1.002617578354202,23.52999469446229,-0.05479270963141845,0.054833859347340336,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.054823909807159246,3630.78054770101,,1.0025297256228511,23.53205665257659,-0.05479031609802308,0.05483146043025597,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
