A,A_medium,A_point,C,C_medium,C_point,D,baseline_active,beats_006D,beats_024D_scalar,beta_orbit,beta_spin,curvature_concentration,curvature_norm,d_point,f,family,gap,guide_orbit_factor,guide_spin_factor,index,interaction_duty,interaction_kernel,inventory,k_avg,k_max,k_min,major,medium_high_relerr,min_payload_distance,minor,minor_ratio,mobile_active_ratio,mobile_energy,mode,nphase,overhead,overhead_active_ratio,p,payload_clear,phase,q_scalar,q_winding,reset_capacity,reset_duty,reset_kernel,spin_fraction,winding_index
0.0825918215704701,,0.5110851533521801,12.172878818549783,,1.9671481920114162,3.0053802353806187,1.0053802353806185,True,False,0.0733500878023915,0.0,1.576163770466304,1.4004717505152455,0.496607777632714,1.0,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,0.026063650846481323,1.0,1.0,843576,0.4966077776327169,0.2654958358083566,1.0053802353806185,0.17753746998054712,0.5449373488346397,0.08290717488207644,1.052182491529654,,1.2881283790676163,0.9551484335293207,0.9077783000748605,1.0053802353806185,1.0,CONTIGUOUS,4096,0.0,0.0,1,True,1.1760671536775733,2.0,1,2.9946197646193813,0.4983922223672848,0.09056429499504257,0.0,2
-0.18072298100879008,,0.5414921805946187,inf,,1.8658358688085692,3.010335533232807,1.010335533232807,False,False,0.10166382460249587,0.0,1.9096759283729434,3.465074466502457,0.4957860240722262,1.0,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,0.014316036365926266,1.0,1.0,858672,0.0050000000000000955,0.5809798589187546,1.010335533232807,0.1861458891849656,0.5816964324228612,0.09287187881510733,0.9782015646095816,,1.2503813899935348,0.8946539311472713,0.9145905746985227,1.010335533232807,1.0,CONTIGUOUS,4096,0.0,0.0,3,True,5.695014166302133,2.0,2,2.989664466767193,0.005034570880270118,0.09287312670294587,0.0,7
0.04302844579868351,,0.5272321847409551,23.75191825353318,,1.938440324330839,3.022008127186914,1.022008127186914,False,False,0.14835136395366863,0.0,2.553615849861666,2.8687490512063585,0.49385031890817005,1.0,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,0.02172056632116437,1.0,1.0,933520,0.4938503189081683,0.3055416008705667,1.022008127186914,0.21613503964988443,0.6219469410152781,0.12066438411464389,0.8465192605004014,,1.214526231525994,0.7403193134540499,0.8745451497659088,1.022008127186914,1.0,CONTIGUOUS,4096,0.0,0.0,3,True,5.508093477722316,2.0,1,2.977991872813086,0.5011496810918286,0.1287011203439414,0.0,4
0.08467998022456075,,0.5336852099688038,11.84355861994136,,1.8792207297325796,3.00291230972506,1.0029123097250603,True,False,0.05396581997023896,0.0,1.574147805838285,1.395685103922801,0.49701704197059426,1.0,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,0.009617166593670845,1.0,1.0,948144,0.49701704197059426,0.3050128856584249,1.0029123097250603,0.20672631852374923,0.5964999076083551,0.10000792912394368,0.9438086197511377,,1.2354729319901931,0.8496376609082885,0.9002224001009017,1.0029123097250603,1.0,CONTIGUOUS,4096,0.0,0.0,1,True,4.354638601982596,2.0,1,2.99708769027494,0.49798295802940445,0.10936221563938907,0.0,2
-0.16513933772604453,,0.5177094734817067,inf,,1.93183575856021,3.00012967341734,1.0001296734173397,False,False,0.011387423648033291,0.0,1.9447520444861504,5.382187823657014,0.49747849582495784,1.0,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,0.003607434220612049,1.0,1.0,951928,0.00499999999999987,0.5476244556826934,1.0001296734173397,0.1720247928862256,0.5492707378429864,0.08712227908291728,1.0610506029532758,,1.2778696443219348,0.9117495461696311,0.8592894096020609,1.0001296734173397,1.0,CONTIGUOUS,4096,0.0,0.0,5,True,1.918978460241182,2.0,3,2.99987032658266,0.005000432263408747,0.08712688025132174,0.0,9
0.04976712021032226,,0.5218892924007509,20.186579573156273,,1.924982840002522,3.004627932252504,1.004627932252504,True,False,0.06802890747692436,0.0,2.158576019365946,2.0663017197441627,0.49673253456812644,1.0,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,0.027637650724500418,1.0,1.0,958688,0.4967325345681305,0.34921454617876624,1.004627932252504,0.24841207219303968,0.6552411676477219,0.13835484624063185,0.7595628260626233,,1.1893435553469716,0.675486671283445,0.8893098083604127,1.004627932252504,1.0,CONTIGUOUS,4096,0.0,0.0,2,True,1.4959710338382461,2.0,1,2.995372067747496,0.4982674654318734,0.1486587411711467,0.0,3
0.0545963918105373,,0.5296434819473552,18.4175854900455,,1.8985105035589531,3.0055337136185907,1.0055337136185907,True,False,0.07438893478596582,0.0,2.094679432769132,2.029445055438688,0.49658232582491707,1.0,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,0.006303790491074324,1.0,1.0,974096,0.4965823258249158,0.3104643455106073,1.0055337136185907,0.21816301853612652,0.6202866171479304,0.11843314938548621,0.875127350108782,,1.2125704269812219,0.747184419680832,0.8538007863517851,1.0055337136185907,1.0,CONTIGUOUS,4096,0.0,0.0,2,True,2.764567457594179,2.0,1,2.9944662863814093,0.4984176741750823,0.12690146834309235,0.0,3
0.03935678126057193,,0.5542724123316074,26.40663444630875,,1.8750349333812453,3.0392801357312575,1.0392801357312575,False,False,0.19819216869305822,0.0,2.709142098825705,2.8900089813241165,0.4909860441578998,1.0,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,0.006829472724348307,1.0,1.0,1013664,0.49098604415789826,0.3580053976712294,1.0392801357312575,0.2544900510880658,0.6929902304567155,0.14431401173492195,0.7285131345497918,,1.1584618304260197,0.6674644745659596,0.9162010167166591,1.0392801357312575,1.0,CONTIGUOUS,4096,0.0,0.0,3,True,3.647356928564793,2.0,1,2.9607198642687425,0.5040139558421005,0.15439043293473198,0.0,4
0.05350830474033899,,0.5225652889082364,18.958002373382545,,1.9412130690547182,3.014410568263023,1.0144105682630231,True,False,0.12004402635293081,0.0,2.1793199779353563,2.0794344344555435,0.4951102474297153,1.0,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,0.03609751118347049,1.0,1.0,1042896,0.49511024742971504,0.31303297989837037,1.0144105682630231,0.21966232295159327,0.6185536472802938,0.11911628029200022,0.8328835777536858,,1.220697003918228,0.7507518028790195,0.9013886489439756,1.0144105682630231,1.0,CONTIGUOUS,4096,0.0,0.0,2,True,1.7674951188548305,2.0,1,2.985589431736977,0.49988975257028456,0.12787890092290236,0.0,3
0.05845715935494894,,0.3272866091644051,19.04618001368143,,3.4018671983109905,2.511700148939897,1.0046006028161603,True,False,0.06782774370536208,0.0,1.0000000000000002,1.0,0.5411963911739601,0.8557416573166847,SCALAR_DEC_FLOOR_NO_SPIN,0.036456252448260784,1.0,1.0,3912,0.5411963911739601,0.2062859937078295,1.113385580162819,0.13938635954730777,0.3964977400426364,0.05271321596047185,1.4668239646912895,,1.4774595378629272,1.1826026986755216,0.8062335543613881,1.0046006028161603,1.0,CONTIGUOUS,4096,0.1087849773466587,0.0,0,True,5.264549842683783,1.9305143672972918,1,2.9953993971838395,0.4538036088260398,0.06026862185639317,0.0,1
