source,C_source,scenario,accel_m_s2,h_m,area_model,R_over_h,ell_over_R,B_dimensionless,x_opt_ln_Gamma,Gamma_opt,energy_reduction_factor,E_baseline_J,E_min_J
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,SPHERICAL_PRIMARY,0.5,1.0,1718391051104641.5,2.9096985792528566e-16,1.0000000000000002,1.0000000000000002,1.320554586032904e+28,1.3205545860329039e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,SPHERICAL_PRIMARY,0.5,2.0,859195525552320.8,5.819397158505712e-16,1.0000000000000007,1.0000000000000002,1.320554586032904e+28,1.3205545860329039e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,SPHERICAL_PRIMARY,0.5,5.0,343678210220928.3,1.4548492896264265e-15,1.0000000000000016,1.0000000000000007,1.320554586032904e+28,1.3205545860329032e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,SPHERICAL_PRIMARY,0.5,10.0,171839105110464.16,2.909698579252849e-15,1.0000000000000029,1.0000000000000016,1.320554586032904e+28,1.320554586032902e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,SPHERICAL_PRIMARY,1.0,0.25,1.3747128408837132e+16,3.637123224066072e-17,1.0,1.0,1.320554586032904e+28,1.320554586032904e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,SPHERICAL_PRIMARY,1.0,0.5,6873564204418566.0,7.274246448132143e-17,1.0,1.0000000000000002,1.320554586032904e+28,1.3205545860329039e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,SPHERICAL_PRIMARY,1.0,1.0,3436782102209283.0,1.4548492896264286e-16,1.0000000000000002,1.0,1.320554586032904e+28,1.320554586032904e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,SPHERICAL_PRIMARY,1.0,2.0,1718391051104641.5,2.9096985792528566e-16,1.0000000000000002,1.0000000000000002,1.320554586032904e+28,1.3205545860329039e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,SPHERICAL_PRIMARY,1.0,5.0,687356420441856.6,7.274246448132138e-16,1.0000000000000007,1.0000000000000004,1.320554586032904e+28,1.3205545860329034e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,SPHERICAL_PRIMARY,1.0,10.0,343678210220928.3,1.4548492896264265e-15,1.0000000000000016,1.0000000000000007,1.320554586032904e+28,1.3205545860329032e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,SPHERICAL_PRIMARY,2.0,0.25,2.7494256817674264e+16,1.818561612033036e-17,1.0,1.0,1.320554586032904e+28,1.320554586032904e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,SPHERICAL_PRIMARY,2.0,0.5,1.3747128408837132e+16,3.637123224066072e-17,1.0,1.0,1.320554586032904e+28,1.320554586032904e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,SPHERICAL_PRIMARY,2.0,1.0,6873564204418566.0,7.274246448132143e-17,1.0,1.0000000000000002,1.320554586032904e+28,1.3205545860329039e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,SPHERICAL_PRIMARY,2.0,2.0,3436782102209283.0,1.4548492896264286e-16,1.0000000000000002,1.0,1.320554586032904e+28,1.320554586032904e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,SPHERICAL_PRIMARY,2.0,5.0,1374712840883713.2,3.637123224066071e-16,1.0000000000000004,1.0000000000000002,1.320554586032904e+28,1.3205545860329039e+28
