sample_index,g,m_gev,mmax_gev,alpha,kr,epsilon,cs_over_c,ppn_alpha2,frequency_hz,growth_rate_per_s,required_time_s,required_time_years
6117056,0.04892294379660335,938402197898.0574,1000000000000.0,5.145428441999819,1.436983986884148,5.570093320687838e-06,0.11097453985918805,2.5192904293204736e-09,76087990.79093659,0.014832724393387259,3.5611922692277236e+21,112847373349929.12
2026176,0.05002339183063849,969786283677.2246,1000000000000.0,9.44418620162377,1.0031317859075453,5.6297477788939695e-06,0.15372885985192747,1.3411182242421548e-09,73579059.57435337,0.014652508352134478,3.6049925495262664e+21,114235320478308.44
9134112,0.03698810072706158,947030853706.1556,1000000000000.0,2.5302114513851426,1.4941903308458417,7.435122585215549e-06,0.05883563432939357,1.5969649571394686e-08,41945675.85073487,0.014569455834592914,3.6255426449008545e+21,114886513705125.06
8738208,0.031598554714357095,603170506759.4077,998468660036.219,9.745524480015472,1.5573796912715312,5.543179157960318e-06,0.09864380755329868,3.157753144831986e-09,73300201.56268327,0.014151512784897928,3.732617441273589e+21,118279509255253.53
3688992,0.03774955511792827,797192118213.9043,1000000000000.0,7.341474547551128,1.219021507457209,6.132494890514346e-06,0.10228300681762093,3.5947394438220827e-09,59491605.46325298,0.01405756005608609,3.757564131369107e+21,119070022161669.67
9010624,0.051382231191877584,983687630508.2595,1000000000000.0,8.966666634245668,0.9749043374008464,5.5594302785832385e-06,0.15386097165264942,1.305580439228373e-09,71570047.90420747,0.01389862228177459,3.8005337774077415e+21,120431648078679.67
9561408,0.03994979152564309,972620515198.5338,1000000000000.0,3.425782620632136,1.2450057786411886,7.0699272526076005e-06,0.07394254907192155,9.141996563401964e-09,43924479.10880136,0.013794830814942451,3.8291287620649626e+21,121337768463538.5
4370592,0.028565007421792066,653727336614.5472,815959649007.0359,5.49783885605662,1.542873162583855,6.6458164352787284e-06,0.06697771766107793,9.84545959173882e-09,49306185.327656455,0.01368289376187345,3.860454108655143e+21,122330408797093.03
3183040,0.05011088623170024,830412896701.4945,1000000000000.0,7.508090966446777,1.4001600388029356,4.812248418854343e-06,0.13730831775530183,1.2282941521868711e-09,91730837.68245414,0.013347234932949575,3.957537550411809e+21,125406797424766.42
6386496,0.04169673582901187,803346726151.2917,1000000000000.0,8.834241369366106,1.1413890458757099,5.59483143860403e-06,0.1239329218023207,2.0379833709580045e-09,67493387.10016553,0.013274406260313731,3.9792501755229367e+21,126094828995960.94
