field,metric,pearson_log_leverage,spearman_leverage,energy_weighted_background_mean,top50_energy_weighted_mean,top50_to_background_ratio
N65_EXPANDED_LAMBDA_1P25_DIAGNOSTIC,strain_anisotropy,-0.20795375033036628,-0.06229279099458785,0.31179270539267745,0.3497384394259254,1.1217018017963518
N65_EXPANDED_LAMBDA_1P25_DIAGNOSTIC,strain_eig_ratio,-0.004103281161480916,-0.05855148466631554,3.3056251525037696,2.583900418079358,0.7816677024381431
N65_EXPANDED_LAMBDA_1P25_DIAGNOSTIC,e4_over_V,0.08712962121943882,0.10369420610686583,4.465344133528821,2.2574096231775584,0.5055398992044984
N65_EXPANDED_LAMBDA_1P25_DIAGNOSTIC,V_fraction_center,0.1953919880509943,0.03326540128964716,0.20832131371155133,0.558810277836687,2.682444095040772
N65_EXPANDED_LAMBDA_1P25_DIAGNOSTIC,e4_fraction_center,0.10025993554532643,0.10582479898507882,0.69162351654971,0.3806082310015876,0.5503112920455931
EXACT_MAP,J,-0.022212538004887414,-0.04911922780230665,2.8490704514159555,2.830221430941608,0.9933841507973312
EXACT_MAP,J2,-0.01988036317216487,-0.04911922780230665,8.465264445881544,8.323624908214933,0.9832681496754043
EXACT_MAP,J4,-0.01725833872105973,-0.04911922780230665,79.65984273102441,76.282214584808,0.9575993621074405
EXACT_MAP,Wronskian_abs,-0.030466967597368888,-0.05151776666071242,2181695620580476.2,163783095189179.62,0.07507146901894703
EXACT_MAP,radius,-0.8102881164412559,-0.6748567009959816,0.8306473246068494,0.6151232512011778,0.740534800966607
