radius_m,radius_mpc,radial_eigenvalue_s-2,transverse_eigenvalue_s-2,tidal_trace_s-2
1.794459546273640874e+21,5.815447333309347461e-02,4.593932857953982717e-32,-2.296476198245009098e-32,9.804614639645199661e-36
1.796113396873662824e+21,5.820807098081733771e-02,4.581255242729155610e-32,-2.290137390632595545e-32,9.804614639645199661e-36
1.797768771733072380e+21,5.826171802642374914e-02,4.568612615687128617e-32,-2.283816077111582048e-32,9.804614639645199661e-36
1.799425672256690061e+21,5.831541451543984650e-02,4.556004880266150458e-32,-2.277512209401092969e-32,9.804614639645199661e-36
1.801084099850635051e+21,5.836916049343485180e-02,4.543431940170933324e-32,-2.271225739353484402e-32,9.804614639645199661e-36
1.802744055922318901e+21,5.842295600601985633e-02,4.530893699371977955e-32,-2.264956618954006717e-32,9.804614639645199661e-36
1.804405541880453136e+21,5.847680109884809130e-02,4.518390062104789242e-32,-2.258704800320412361e-32,9.804614639645199661e-36
1.806068559135046894e+21,5.853069581761485840e-02,4.505920932869169557e-32,-2.252470235702602518e-32,9.804614639645199661e-36
1.807733109097406923e+21,5.858464020805747435e-02,4.493486216428503869e-32,-2.246252877482269675e-32,9.804614639645199661e-36
1.809399193180144140e+21,5.863863431595554843e-02,4.481085817808989034e-32,-2.240052678172512257e-32,9.804614639645199661e-36
1.811066812797167337e+21,5.869267818713074653e-02,4.468719642298961605e-32,-2.233869590417498543e-32,9.804614639645199661e-36
1.812735969363691307e+21,5.874677186744706181e-02,4.456387595448129861e-32,-2.227703566992082670e-32,9.804614639645199661e-36
1.814406664296235794e+21,5.880091540281075918e-02,4.444089583066861107e-32,-2.221554560801448293e-32,9.804614639645199661e-36
1.816078899012622615e+21,5.885510883917031977e-02,4.431825511225499096e-32,-2.215422524880767288e-32,9.804614639645199661e-36
1.817752674931984040e+21,5.890935222251669073e-02,4.419595286253590028e-32,-2.209307412394812754e-32,9.804614639645199661e-36
1.819427993474756772e+21,5.896364559888309098e-02,4.407398814739220214e-32,-2.203209176637627847e-32,9.804614639645199661e-36
1.821104856062689542e+21,5.901798901434526096e-02,4.395236003528259052e-32,-2.197127771032147266e-32,9.804614639645199661e-36
1.822783264118841278e+21,5.907238251502138632e-02,4.383106759723664943e-32,-2.191063149129850212e-32,9.804614639645199661e-36
1.824463219067579531e+21,5.912682614707209794e-02,4.371010990684800518e-32,-2.185015264610417999e-32,9.804614639645199661e-36
1.826144722334588600e+21,5.918131995670065232e-02,4.358948604026670677e-32,-2.178984071281353079e-32,9.804614639645199661e-36
1.827827775346862719e+21,5.923586399015280668e-02,4.346919507619279971e-32,-2.172969523077657725e-32,9.804614639645199661e-36
1.829512379532714705e+21,5.929045829371700632e-02,4.334923609586869541e-32,-2.166971574061452510e-32,9.804614639645199661e-36
1.831198536321772814e+21,5.934510291372436380e-02,4.322960818307252057e-32,-2.160990178421643768e-32,9.804614639645199661e-36
1.832886247144981266e+21,5.939979789654861037e-02,4.311031042411112707e-32,-2.155025290473574093e-32,9.804614639645199661e-36
1.834575513434605486e+21,5.945454328860631799e-02,4.299134190781285557e-32,-2.149076864658660519e-32,9.804614639645199661e-36
1.836266336624228172e+21,5.950933913635673284e-02,4.287270172552092317e-32,-2.143144855544063898e-32,9.804614639645199661e-36
1.837958718148756111e+21,5.956418548630201815e-02,4.275438897108609939e-32,-2.137229217822322709e-32,9.804614639645199661e-36
1.839652659444418085e+21,5.961908238498717788e-02,4.263640274086001172e-32,-2.131329906311018326e-32,9.804614639645199661e-36
1.841348161948763816e+21,5.967402987900002898e-02,4.251874213368839637e-32,-2.125446875952437559e-32,9.804614639645199661e-36
1.843045227100671050e+21,5.972902801497141645e-02,4.240140625090382908e-32,-2.119580081813209194e-32,9.804614639645199661e-36
1.844743856340343718e+21,5.978407683957517177e-02,4.228439419631904153e-32,-2.113729479083969816e-32,9.804614639645199661e-36
1.846444051109309579e+21,5.983917639952803652e-02,4.216770507622035276e-32,-2.107895023079035378e-32,9.804614639645199661e-36
1.848145812850429657e+21,5.989432674158993997e-02,4.205133799936027409e-32,-2.102076669236031445e-32,9.804614639645199661e-36
1.849849143007890375e+21,5.994952791256378394e-02,4.193529207695130175e-32,-2.096274373115582827e-32,9.804614639645199661e-36
1.851554043027211944e+21,6.000477995929569264e-02,4.181956642265865312e-32,-2.090488090400950396e-32,9.804614639645199661e-36
1.853260514355247317e+21,6.006008292867497100e-02,4.170416015259367630e-32,-2.084717776897701555e-32,9.804614639645199661e-36
1.854968558440180089e+21,6.011543686763404920e-02,4.158907238530727597e-32,-2.078963388533381539e-32,9.804614639645199661e-36
1.856678176731531575e+21,6.017084182314872548e-02,4.147430224178283035e-32,-2.073224881357159258e-32,9.804614639645199661e-36
1.858389370680156357e+21,6.022629784223797883e-02,4.135984884542982508e-32,-2.067502211539508994e-32,9.804614639645199661e-36
1.860102141738248045e+21,6.028180497196421184e-02,4.124571132207689601e-32,-2.061795335371862541e-32,9.804614639645199661e-36
1.861816491359339545e+21,6.033736325943320905e-02,4.113188879996516758e-32,-2.056104209266276119e-32,9.804614639645199661e-36
1.863532420998299386e+21,6.039297275179406066e-02,4.101838040974195790e-32,-2.050428789755115635e-32,9.804614639645199661e-36
1.865249932111341945e+21,6.044863349623944698e-02,4.090518528445352047e-32,-2.044769033490693764e-32,9.804614639645199661e-36
1.866969026156019319e+21,6.050434554000542337e-02,4.079230255953906129e-32,-2.039124897244970805e-32,9.804614639645199661e-36
1.868689704591229714e+21,6.056010893037165610e-02,4.067973137282365027e-32,-2.033496337909200253e-32,9.804614639645199661e-36
1.870411968877216137e+21,6.061592371466140855e-02,4.056747086451180589e-32,-2.027883312493608034e-32,9.804614639645199661e-36
1.872135820475565081e+21,6.067178994024145094e-02,4.045552017718110179e-32,-2.022285778127072830e-32,9.804614639645199661e-36
1.873861260849212817e+21,6.072770765452233793e-02,4.034387845577526431e-32,-2.016703692056780955e-32,9.804614639645199661e-36
1.875588291462440419e+21,6.078367690495818654e-02,4.023254484759809099e-32,-2.011137011647922290e-32,9.804614639645199661e-36
1.877316913780882145e+21,6.083969773904696066e-02,4.012151850230644418e-32,-2.005585694383339949e-32,9.804614639645199661e-36
1.879047129271522558e+21,6.089577020433038779e-02,4.001079857190399438e-32,-2.000049697863217459e-32,9.804614639645199661e-36
1.880778939402694689e+21,6.095189434839391740e-02,3.990038421073502392e-32,-1.994528979804768936e-32,9.804614639645199661e-36
1.882512345644089737e+21,6.100807021886698461e-02,3.979027457547735475e-32,-1.989023498041885478e-32,9.804614639645199661e-36
1.884247349466749207e+21,6.106429786342279509e-02,3.968046882513649697e-32,-1.983533210524842589e-32,9.804614639645199661e-36
1.885983952343073030e+21,6.112057732977859564e-02,3.957096612103882292e-32,-1.978058075319958886e-32,9.804614639645199661e-36
1.887722155746818261e+21,6.117690866569559099e-02,3.946176562682529968e-32,-1.972598050609282724e-32,9.804614639645199661e-36
1.889461961153097761e+21,6.123329191897892987e-02,3.935286650844525440e-32,-1.967153094690280460e-32,9.804614639645199661e-36
1.891203370038387540e+21,6.128972713747794093e-02,3.924426793414965242e-32,-1.961723165975500361e-32,9.804614639645199661e-36
1.892946383880519942e+21,6.134621436908591768e-02,3.913596907448521840e-32,-1.956308222992278660e-32,9.804614639645199661e-36
1.894691004158693081e+21,6.140275366174039601e-02,3.902796910228759404e-32,-1.950908224382397442e-32,9.804614639645199661e-36
1.896437232353467957e+21,6.145934506342309867e-02,3.892026719267530592e-32,-1.945523128901783036e-32,9.804614639645199661e-36
