mu,z_m,rho_m,axial_accel_mps2
-0.864,0.11359999700712056,0.05034918072819061,126.17351236229624
-0.862,0.11379999700712057,0.05069082757264869,125.09595924090172
-0.86,0.11399999700712056,0.0510294032886923,124.03381675233454
-0.858,0.11419999700712057,0.05136496860701855,122.98678264353033
-0.856,0.11439999700712056,0.05169758214849124,121.95456213943801
-0.854,0.11459999700712056,0.05202730052578167,120.93686772049142
-0.852,0.11479999700712057,0.05235417843878366,119.93341890780076
-0.85,0.11499999700712056,0.05267826876426371,118.94394205575819
-0.848,0.11519999700712057,0.052999622640166034,117.96817015176715
-0.846,0.11539999700712056,0.05331828954495822,117.00584262281488
-0.844,0.11559999700712056,0.053634317372368984,116.05670514862237
-0.842,0.11579999700712057,0.05394775250184201,115.1205094811167
-0.84,0.11599999700712056,0.05425863986500216,114.19701326998036
-0.838,0.11619999700712057,0.05456702300840682,113.2859798940471
-0.8360000000000001,0.11639999700712056,0.05487294415283364,112.38717829831761
-0.8340000000000001,0.11659999700712055,0.055176444249335224,111.50038283638345
-0.8320000000000001,0.11679999700712056,0.05547756303227457,110.62537311805383
-0.8300000000000001,0.11699999700712055,0.05577633906953736,109.76193386198993
-0.8280000000000001,0.11719999700712055,0.056072809810103146,108.90985475315756
-0.8260000000000001,0.11739999700712056,0.05636701162914351,108.06893030491963
-0.8240000000000001,0.11759999700712055,0.05665897987080246,107.23895972559681
-0.8220000000000001,0.11779999700712056,0.05694874888880352,106.41974678932878
-0.8200000000000001,0.11799999700712055,0.057236352085016734,105.61109971108087
-0.8180000000000001,0.11819999700712056,0.057521821946110156,104.81283102564144
-0.8160000000000001,0.11839999700712056,0.0578051900784004,104.02475747046769
-0.8140000000000001,0.11859999700712055,0.05808648724100984,103.24669987223714
-0.812,0.11879999700712056,0.058365743377429884,102.47848303697306
-0.81,0.11899999700712055,0.05864298764558299,101.71993564361489
-0.808,0.11919999700712056,0.05891824844647029,100.97089014091033
-0.806,0.11939999700712056,0.05919155345148495,100.23118264751018
-0.804,0.11959999700712055,0.05946292962846683,99.50065285515397
-0.802,0.11979999700712056,0.059732403266568805,98.77914393483513
-0.8,0.11999999700712055,0.05999999999999999,98.0665024458435
-0.798,0.12019999700712056,0.060265744830707936,97.36257824758152
-0.796,0.12039999700712056,0.060529662150056646,96.66722441406115
-0.794,0.12059999700712055,0.060791775759554835,95.9802971509849
-0.792,0.12079999700712056,0.06105210889068452,95.30165571532413
-0.79,0.12099999700712055,0.061310684223877324,94.6311623373087
-0.788,0.12119999700712056,0.061567523906683144,93.96868214474364
-0.786,0.12139999700712056,0.06182264957117254,93.31408308957636
-0.784,0.12159999700712056,0.062076082350612294,92.6672358766348
-0.782,0.12179999700712056,0.062327842895450826,92.0280138944663
-0.78,0.12199999700712055,0.06257795138864806,91.39629314820479
-0.778,0.12219999700712056,0.06282642756038258,90.77195219439791
-0.776,0.12239999700712056,0.06307329070216648,90.15487207773076
-0.774,0.12259999700712056,0.06331855968039703,89.54493626958146
-0.772,0.12279999700712056,0.06356225294937239,88.942030608348
-0.77,0.12299999700712055,0.0638043885637971,88.34604324148995
-0.768,0.12319999700712056,0.06404498419080139,87.75686456922638
-0.766,0.12339999700712057,0.06428405712149786,87.17438718983722
-0.764,0.12359999700712056,0.06452162428209632,86.59850584651616
-0.762,0.12379999700712056,0.0647577022445979,86.02911737572381
-0.76,0.12399999700712055,0.0649923072370877,85.46612065699367
-0.758,0.12419999700712056,0.06522545515364382,84.90941656414398
-0.756,0.12439999700712057,0.06545716156388084,84.35890791784986
-0.754,0.12459999700712056,0.06568744172214351,83.8144994395339
-0.752,0.12479999700712056,0.06591631057636646,83.27609770653135
-0.75,0.12499999700712056,0.06614378277661477,82.74361110849155
-0.748,0.12519999700712056,0.0663698726833192,82.21694980497529
-0.746,0.12539999700712057,0.06659459437521938,81.69602568421162
-0.744,0.12559999700712055,0.06681796165702751,81.1807523229774
-0.742,0.12579999700712058,0.06703998806682472,80.67104494756403
