stage,family,p,q,positive_cases,best_C,beats_006D,beats_024D_scalar
HIGH_CONTIGUOUS,KINETIC_DEC_FLOOR_WITH_SPIN,1,1,0,inf,False,False
HIGH_CONTIGUOUS,KINETIC_DEC_FLOOR_WITH_SPIN,2,1,0,inf,False,False
HIGH_CONTIGUOUS,KINETIC_DEC_FLOOR_WITH_SPIN,3,1,0,inf,False,False
HIGH_CONTIGUOUS,KINETIC_DEC_FLOOR_WITH_SPIN,1,2,0,inf,False,False
HIGH_CONTIGUOUS,KINETIC_DEC_FLOOR_WITH_SPIN,2,3,0,inf,False,False
HIGH_CONTIGUOUS,KINETIC_DEC_FLOOR_WITH_SPIN,3,2,0,inf,False,False
HIGH_CONTIGUOUS,KINETIC_DEC_FLOOR_WITH_SPIN,5,2,0,inf,False,False
HIGH_CONTIGUOUS,KINETIC_DEC_FLOOR_WITH_SPIN,5,3,0,inf,False,False
HIGH_CONTIGUOUS,ELASTIC_CURVATURE_PROXY_WITH_SPIN,1,0,0,inf,False,False
HIGH_CONTIGUOUS,ELASTIC_CURVATURE_PROXY_WITH_SPIN,0,1,2,77.63948290137856,False,False
HIGH_CONTIGUOUS,ELASTIC_CURVATURE_PROXY_WITH_SPIN,1,1,0,inf,False,False
HIGH_CONTIGUOUS,ELASTIC_CURVATURE_PROXY_WITH_SPIN,2,1,0,inf,False,False
HIGH_CONTIGUOUS,ELASTIC_CURVATURE_PROXY_WITH_SPIN,3,1,0,inf,False,False
HIGH_CONTIGUOUS,ELASTIC_CURVATURE_PROXY_WITH_SPIN,1,2,0,inf,False,False
HIGH_CONTIGUOUS,ELASTIC_CURVATURE_PROXY_WITH_SPIN,2,3,0,inf,False,False
HIGH_CONTIGUOUS,ELASTIC_CURVATURE_PROXY_WITH_SPIN,3,2,0,inf,False,False
HIGH_CONTIGUOUS,ELASTIC_CURVATURE_PROXY_WITH_SPIN,5,2,0,inf,False,False
HIGH_CONTIGUOUS,ELASTIC_CURVATURE_PROXY_WITH_SPIN,5,3,0,inf,False,False
