bin,radius_mid,int_S,int_K,int_SK,radialized_force,covariance_force
67,4.612148879350402,-4.624980628397144e-17,-1.1705142521504022e-05,1.4025831945016222e-19,3.1443277699331e-22,1.3994388667316891e-19
68,4.6804770108963325,-6.713230909130912e-17,-8.345593278232845e-06,2.0057683708473405e-19,4.379722933007223e-22,2.0013886479143333e-19
69,4.748805142442265,-1.2159926971218935e-16,-7.36035168902565e-06,3.4772622749878324e-19,7.672139504949252e-22,3.469590135482883e-19
70,4.817133273988198,-3.8007882070839206e-17,-6.007722018632096e-06,1.036269481232278e-19,2.2525161566317583e-22,1.0340169650756462e-19
71,4.885461405534128,-1.8966135621259458e-17,-4.197429593064302e-06,4.7785254073171123e-20,1.063982007488274e-22,4.7678855872422294e-20
72,4.953789537080061,-7.263077127264762e-18,-2.9773402055541937e-06,1.875275694295791e-20,3.8397773163880604e-23,1.871435916979403e-20
73,5.022117668625992,-6.316241423304539e-19,-1.9414227224912213e-06,1.6105694449167105e-21,3.1753569538340848e-24,1.6073940879628764e-21
74,5.090445800171924,4.157224014375801e-31,-1.6549827128685673e-06,-7.689586745650308e-34,-1.9887646601072062e-36,-7.6696990990492364e-34
75,5.158773931717857,8.444623303931335e-32,-1.4010948817077921e-06,-1.6886013703416198e-34,-3.770840661914896e-37,-1.684830529679705e-34
76,5.2271020632637875,2.4402692845153698e-32,-6.020051254189071e-07,-4.992448260115524e-35,-1.0144260608662698e-37,-4.982303999506862e-35
77,5.29543019480972,1.2717851329092764e-33,-3.1671900788818254e-07,-2.5696992612614114e-36,-5.006599281657758e-39,-2.5646926619797537e-36
78,5.3637583263556525,2.303440255197905e-34,-1.8057099306590058e-07,-4.5919758437814255e-37,-8.616455492328224e-40,-4.583359388289097e-37
79,5.432086457901583,4.0247325804257204e-35,-1.128983831922756e-07,-7.771357960064931e-38,-1.4119513113774404e-40,-7.757238446951157e-38
