N,direction,direction_x,direction_y,direction_z,standoff_factor,d,payload_radius,mu_h,fp_center,gr_center,fp_cancellation,C_FP_center_alpha1,tail_energy_fraction
73,FIB_06,-0.23073121154526574,0.8583086062567528,0.45833333333333337,1.25,2.4414530644127117,0.2441453064412712,0.25,-593.2323352493418,-309.79666420185526,1.005533766996691,inf,3.1718832534717375e-08
73,FIB_06,-0.23073121154526574,0.8583086062567528,0.45833333333333337,1.25,2.4414530644127117,0.2441453064412712,0.5,-556.3247940547612,-309.79666420185526,1.00551988288837,inf,3.1718832534717375e-08
73,FIB_06,-0.23073121154526574,0.8583086062567528,0.45833333333333337,1.25,2.4414530644127117,0.2441453064412712,1.0,-456.13975610044156,-309.79666420185526,1.005464714175294,inf,3.1718832534717375e-08
73,FIB_06,-0.23073121154526574,0.8583086062567528,0.45833333333333337,1.25,2.4414530644127117,0.2441453064412712,2.0,-265.82101570729714,-309.79666420185526,1.0052525467327205,inf,3.1718832534717375e-08
73,FIB_06,-0.23073121154526574,0.8583086062567528,0.45833333333333337,1.5,2.929743677295254,0.2929743677295254,0.03,-422.6782627682426,-215.23137534921392,1.0055344614718325,inf,7.210404782200207e-11
73,FIB_06,-0.23073121154526574,0.8583086062567528,0.45833333333333337,1.5,2.929743677295254,0.2929743677295254,0.1,-420.93537850560347,-215.23137534921392,1.0055339873746136,inf,7.210404782200207e-11
73,FIB_06,-0.23073121154526574,0.8583086062567528,0.45833333333333337,1.5,2.929743677295254,0.2929743677295254,0.25,-411.9846577776648,-215.23137534921392,1.0055312494280633,inf,7.210404782200207e-11
73,FIB_06,-0.23073121154526574,0.8583086062567528,0.45833333333333337,1.5,2.929743677295254,0.2929743677295254,0.5,-385.95214559777173,-215.23137534921392,1.0055214716703533,inf,7.210404782200207e-11
73,FIB_06,-0.23073121154526574,0.8583086062567528,0.45833333333333337,1.5,2.929743677295254,0.2929743677295254,1.0,-315.13727769455727,-215.23137534921392,1.0054825752302177,inf,7.210404782200207e-11
73,FIB_06,-0.23073121154526574,0.8583086062567528,0.45833333333333337,1.5,2.929743677295254,0.2929743677295254,2.0,-180.6697929872148,-215.23137534921392,1.0053312892801778,inf,7.210404782200207e-11
73,FIB_06,-0.23073121154526574,0.8583086062567528,0.45833333333333337,2.0,3.9063249030603386,0.39063249030603386,0.03,-237.7934260626348,-121.08960721284578,1.0055328787524709,inf,6.153804668304748e-15
73,FIB_06,-0.23073121154526574,0.8583086062567528,0.45833333333333337,2.0,3.9063249030603386,0.39063249030603386,0.1,-236.80088351134577,-121.08960721284578,1.0055326091932901,inf,6.153804668304748e-15
73,FIB_06,-0.23073121154526574,0.8583086062567528,0.45833333333333337,2.0,3.9063249030603386,0.39063249030603386,0.25,-231.6976628330857,-121.08960721284578,1.0055310537547923,inf,6.153804668304748e-15
73,FIB_06,-0.23073121154526574,0.8583086062567528,0.45833333333333337,2.0,3.9063249030603386,0.39063249030603386,0.5,-216.82990807393344,-121.08960721284578,1.0055255014069548,inf,6.153804668304748e-15
73,FIB_06,-0.23073121154526574,0.8583086062567528,0.45833333333333337,2.0,3.9063249030603386,0.39063249030603386,1.0,-176.30656191870105,-121.08960721284578,1.0055033711796015,inf,6.153804668304748e-15
