bin,radius_mid,int_S,int_K,int_SK,radialized_force,covariance_force
22,1.537382959783467,-0.4411517774844339,-6.917344345544474e-05,-1.5784569155161826e-05,1.6419896281613038e-05,-3.220446543677486e-05
23,1.605711091329399,-0.21124560033448517,3.3620162173467194e-05,-3.827445242612568e-05,-3.2694799092176426e-06,-3.5004972516908034e-05
24,1.6740392228753307,-0.08554245175727045,5.168336474127566e-05,-8.213288264605732e-06,-1.8819348403549994e-06,-6.3313534242507324e-06
25,1.7423673544212628,-0.03440777766097374,-5.6501605223066576e-05,-1.083890115301158e-06,7.527787270576548e-07,-1.8366688423588129e-06
26,1.8106954859671944,-0.013996080928327962,-1.8954254242031787e-05,-7.171810812232719e-07,8.911819531082125e-08,-8.062992765340932e-07
27,1.8790236175131265,-0.004584392745360035,4.3063790156436244e-05,-1.1604667677126389e-07,-6.816265950533716e-08,-4.7884017265926724e-08
28,1.9473517490590582,-0.0018513295484039942,1.6614934752634536e-05,-7.120732460279115e-09,-9.370810822019693e-09,2.2500783617405777e-09
29,2.0156798806049903,-0.0006719089865902259,-3.4302115294509994e-05,1.2044066264115487e-08,6.804625318891607e-09,5.23944094522388e-09
30,2.084008012150922,-0.0002784136172244132,3.648014583194914e-05,-2.0787661390148354e-09,-2.581624893096778e-09,5.028587540819428e-10
31,2.152336143696854,-9.830036442354137e-05,-1.8905411342987066e-05,1.5810473098756527e-09,4.743154359410327e-10,1.10673187393462e-09
32,2.2206642752427856,-3.9767388958831933e-05,-2.9252015201139403e-05,-2.375677186511507e-11,2.835095234613495e-10,-3.0726629532646456e-10
33,2.2889924067887177,-1.6241939047687312e-05,2.913492601339107e-05,1.6845179921986976e-11,-1.0054278026398722e-10,1.173879601859742e-10
34,2.3573205383346494,-5.844654288783277e-06,5.711687624171402e-06,5.787838193538181e-11,-7.0090075722698856e-12,6.48873895076517e-11
35,2.4256486698805815,-2.2578942235433055e-06,-2.1627050829003958e-05,3.1888856551811454e-11,9.410141184603416e-12,2.2478715367208038e-11
36,2.493976801426513,-7.677891055013186e-07,1.6635046954371902e-06,1.653208960814898e-11,-2.552293135201736e-13,1.6787318921669154e-11
37,2.562304932972445,-3.286502384362725e-07,8.205699595670302e-06,5.536354506524271e-12,-4.675040422682585e-13,6.003858548792529e-12
38,2.630633064518377,-1.2395310305088405e-07,-1.4987769914945326e-05,2.406693261282954e-12,3.1289096273394534e-13,2.0938022985490084e-12
39,2.698961196064309,-4.806664915584321e-08,1.1454518107828493e-05,5.127449101979201e-13,-8.899165660206427e-14,6.017365667999844e-13
