candidate_pass,g_s,gate_energy_fraction,gate_gradient_floor_J,gate_radius_m,gate_total_positive_floor_J,gate_volume_energy_J,lambda_on_max,lambda_s,lambda_width_min,m_s_out_eV,naive_naturalness_cutoff_eV,naturalness_cutoff_over_mX,off_phi_mass_eV,off_phi_range_m,on_curvature_ratio,phi_boundary_eV,required_delta_m2_hat,source_scale_naturalness_pass,v_s_eV,wall_cap_m,wall_width_actual_m
True,0.21985475671689472,1.4439060204783144e-31,1.0224272209512807e-20,2.0980500914943576,1.755119561053293e-20,7.326923401020122e-21,2.200380295495119e+28,0.002944489170318485,0.002804275400303319,8.087999411817097e-07,4.6229064886000883e-05,7.73112292168856,2.3179366180618384e-06,0.08513044699427397,8.967451404511508e+30,7789772293.110485,0.1501650749306419,True,1.0539527284950676e-05,0.25,0.24397501823713333
True,0.23918053777399972,1.219997621144014e-31,8.638780915535225e-21,2.0980500914943576,1.4829508700289418e-20,6.190727784754193e-21,3.082177415987105e+28,0.0034848966641994653,0.0033189492039994908,8.087999411817097e-07,4.249375767925091e-05,7.106448396325231,2.3179366180618384e-06,0.08513044699427397,1.0613264195695039e+31,7789772293.110485,0.1501650749306419,True,9.687933762124828e-06,0.25,0.24397501823713333
True,0.26020510315146445,1.0308109908039593e-31,7.299153834849995e-21,2.0980500914943576,1.2529877346930329e-20,5.2307235120803336e-21,4.317352615395668e+28,0.004124486135853226,0.003928082034145929,8.087999411817098e-07,3.9060263194934436e-05,6.532247555909169,2.3179366180618384e-06,0.08513044699427397,1.2561136024774279e+31,7789772293.110485,0.1501650749306419,True,8.905148973174024e-06,0.25,0.2439750182371333
True,0.28307778022491015,8.70961779225317e-32,6.167264481611723e-21,2.0980500914943576,1.0586852841999709e-20,4.4195883603879874e-21,6.047521310415588e+28,0.004881460635434132,0.004649010128984887,8.087999411817099e-07,3.590419497314855e-05,6.004442128046176,2.3179366180618384e-06,0.08513044699427397,1.4866504340566711e+31,7789772293.110485,0.1501650749306419,True,8.185613174240936e-06,0.25,0.24397501823713327
True,0.307961022618444,7.359005944239034e-32,5.210898694112947e-21,2.0980500914943576,8.945135694054935e-21,3.7342369999419875e-21,8.471050955975544e+28,0.005777364052252704,0.005502251478335909,8.087999411817097e-07,3.300313697929822e-05,5.519283364642423,2.3179366180618384e-06,0.08513044699427397,1.7594981128473327e+31,7789772293.110485,0.1501650749306419,True,7.524215848623202e-06,0.25,0.24397501823713333
True,0.33503156403461193,6.217835245940867e-32,4.402837802930071e-21,2.0980500914943576,7.558001776280653e-21,3.1551639733505814e-21,1.1865804288303183e+29,0.006837694265108693,0.006512089776293993,8.087999411817098e-07,3.0336484393784644e-05,5.073325416349873,2.3179366180618384e-06,0.08513044699427397,2.0824220261824585e+31,7789772293.110485,0.1501650749306419,True,6.916259409231423e-06,0.25,0.2439750182371333
True,0.36448167350888566,5.253627383727077e-32,3.720083973386476e-21,2.0980500914943576,6.3859725334548606e-21,2.6658885600683837e-21,1.6620996868044414e+29,0.008092628825228694,0.007707265547836851,8.087999411817097e-07,2.788529726588156e-05,4.663400858355665,2.3179366180618384e-06,0.08513044699427397,2.4646127571641905e+31,7789772293.110485,0.1501650749306419,True,6.357425833887406e-06,0.25,0.24397501823713333
True,0.3965205210041451,4.438940498634998e-32,3.1432056751754743e-21,2.0980500914943576,5.395691401664151e-21,2.2524857264886768e-21,2.328182145730024e+29,0.009577883825123222,0.009121794119164974,8.087999411817097e-07,2.5632165992374998e-05,4.2865981936871265,2.3179366180618384e-06,0.08513044699427397,2.9169476534552616e+31,7789772293.110485,0.1501650749306419,True,5.843745996489503e-06,0.25,0.24397501823713333
True,0.43137566304431935,3.75058817674336e-32,2.6557846508667815e-21,2.0980500914943576,4.5589744630864915e-21,1.9031898122197096e-21,3.2611955508621746e+29,0.01133573039721918,0.010795933711637314,8.087999411817098e-07,2.3561087665525196e-05,3.9402411742491323,2.3179366180618384e-06,0.08513044699427397,3.452300402270181e+31,7789772293.110485,0.1501650749306419,True,5.3715714762189544e-06,0.25,0.2439750182371333
True,0.4692946589389276,3.168979551731486e-32,2.243948643731637e-21,2.0980500914943576,3.852008316981292e-21,1.6080596732496557e-21,4.5681118380144656e+29,0.013416197772349337,0.012777331211761273,8.087999411817097e-07,2.1657352412109876e-05,3.621869792721087,2.3179366180618384e-06,0.08513044699427397,4.0859074222319265e+31,7789772293.110485,0.1501650749306419,True,4.9375486445616095e-06,0.25,0.24397501823713333
