stage,grid_spacing_m,portal_scale_ev,portal_scale_kev,density_model,z_max,unit_source_payload_acceleration_min_m_s2,unit_source_payload_acceleration_max_m_s2,whole_payload_outward_sign,normalizable_to_whole_payload_1g,canonical_field_energy_j,payload_interaction_energy_j,loaded_quadratic_capacity_j,source_work_j,source_work_relative_error,integrated_canonical_source_ev_m,integrated_source_ratio_vs_a12c,payload_sigma_max,exact_payload_conformal_shift_j,strict_whole_payload_1g_pass,loaded_capacity_below_100j,loaded_capacity_below_10kj,loaded_capacity_below_1mj,loaded_capacity_strictly_below_10mj,complete_energy_established
BROAD_H0P100,0.1,20000.0,20.0,OPTIMISTIC_FLAT_C1,1.1186705235724606,1.226758596180759e-18,4.157730806812517e-18,True,True,549840.3021657394,10.218687508022413,549850.5208532474,549850.520853249,2.9641046862117595e-15,9301764397.659353,454.5426996994982,1.567449415407744e-16,10.234099393407877,True,False,False,True,True,False
BROAD_H0P100,0.1,24000.0,24.0,OPTIMISTIC_FLAT_C1,1.0572292262598673,6.730779886884966e-19,1.9174028492567268e-18,True,True,1002163.4950561904,9.32473162887618,1002172.8197878193,1002172.8197878218,2.5555842561513607e-15,12557760498.898941,613.651143516985,1.422130647306197e-16,9.341475954655522,True,False,False,False,True,False
BROAD_H0P100,0.1,32000.0,32.0,OPTIMISTIC_FLAT_C1,1.018107684871286,2.3035851789775877e-19,5.897089668336295e-19,True,True,2928230.221825366,8.835268136579543,2928239.0570935025,2928239.05709351,2.5443894612617763e-15,21465586161.270622,1048.9435194500672,1.3423187402558646e-16,8.852157108022565,True,False,False,False,True,False
BROAD_H0P100,0.1,40000.0,40.0,OPTIMISTIC_FLAT_C1,1.0074169077232789,9.636736105232198e-20,2.3967289142080136e-19,True,True,6999726.54902575,8.709981153719127,6999735.2590069035,6999735.259006923,2.7940733960986736e-15,33187910248.435036,1621.769986509688,1.3218610993370933e-16,8.726816693243578,True,False,False,False,True,False
INTERMEDIATE_H0P075,0.075,14000.0,14.0,OPTIMISTIC_FLAT_C1,1.4942545754788028,-8.957191697569058e-19,2.425789479324487e-17,False,False,,,,,,,,,,False,False,False,False,False,False
INTERMEDIATE_H0P075,0.075,15000.0,15.0,OPTIMISTIC_FLAT_C1,1.3750574572166654,4.8648965402292555e-19,1.7144659900286834e-17,True,True,1385064.7416644504,68.2952460180968,1385133.0369104685,1385133.0369104682,1.6809262175508938e-16,14770759969.439789,721.792213401137,1.142018456974759e-15,68.23612795077821,True,False,False,False,True,False
INTERMEDIATE_H0P075,0.075,16000.0,16.0,OPTIMISTIC_FLAT_C1,1.2897229579405776,1.1100110147752462e-18,1.245315499459153e-17,True,True,607051.3390043338,24.294649729388766,607075.6336540632,607075.6336540629,5.752923459942706e-16,9778584678.698126,477.843136965935,3.8969282912978285e-16,24.28983832265388,True,False,False,True,True,False
INTERMEDIATE_H0P075,0.075,17000.0,17.0,OPTIMISTIC_FLAT_C1,1.2273354458351036,1.335307999046454e-18,9.27355725330158e-18,True,True,504636.07448805525,16.453219234885182,504652.52770729014,504652.5277072899,4.613682303577337e-16,8915566009.549543,435.6706179689396,2.5838989506297064e-16,16.456901569442792,True,False,False,True,True,False
INTERMEDIATE_H0P075,0.075,18000.0,18.0,OPTIMISTIC_FLAT_C1,1.1808726163274814,1.3586894608071905e-18,7.061402843959772e-18,True,True,495958.1576381462,13.241027119918726,495971.3986652661,495971.3986652656,1.0562483030896884e-15,8838519853.507557,431.90565830412527,2.070633527401152e-16,13.247579673453343,True,False,False,True,True,False
INTERMEDIATE_H0P075,0.075,19000.0,19.0,OPTIMISTIC_FLAT_C1,1.1456962712962124,1.2811178069639272e-18,5.484018163562185e-18,True,True,525993.6503761885,11.56673500186298,526005.2171111903,526005.2171111898,8.852788378509653e-16,9102173536.598011,444.7894351634711,1.802780996735876e-16,11.57451098589932,True,False,False,True,True,False
INTERMEDIATE_H0P075,0.075,20000.0,20.0,OPTIMISTIC_FLAT_C1,1.1186705235724606,1.1323583440570777e-18,4.333519430325164e-18,True,True,595098.8435541722,10.846309547079727,595109.6898637193,595109.689863719,3.912398800079832e-16,9681612644.528841,473.10447359818187,1.6860353307185114e-16,10.854884957775589,True,False,False,True,True,False
