success,message,alpha_m,alpha_x,leakage_fraction,family,E_field_J,E_core_J,E_total_J,a_scalar_mps2,a_gr_mps2,a_total_mps2,Qabs_kg,Qnet_kg,monopole_fraction,dipole_normalized,cancellation,productive_participation,F50_core_fraction,F90_core_fraction,halfspace_floor_J,field_over_halfspace_floor,iterations
True,Optimization terminated successfully,1.0,3.1622776601683795e+17,0.1,unrestricted,2391172743642.868,329861014329.3374,2721033757972.2056,9.806649999976873,-1.1200476488644744e-16,9.806649999976873,1160618754976.4316,-116061875497.32854,0.09999999999972892,0.08790909878878111,1.1771306575829914,0.5109633682472393,0.10395064252229536,0.17716535190413257,958922893783.1969,2.4936027277533004,24
True,Optimization terminated successfully,1.0,5.6234132519034906e+17,0.1,unrestricted,2380699619319.19,193033732325.8851,2573733351645.075,9.806649999972922,-6.53028635929412e-17,9.806649999972922,1207791035987.6133,-120779103598.39664,0.09999999999969805,0.09203174947074153,1.1409392344111475,0.5068143551991703,0.10411961503786771,0.1780965377591662,958922893782.4242,2.482680969195174,27
True,Optimization terminated successfully,1.0,1e+18,0.1,unrestricted,2377387817522.3057,110934877517.42664,2488322695039.7324,9.806649999983712,-3.742255180536352e-17,9.806649999983712,1234316976880.6604,-123431697687.89601,0.09999999999986225,0.0942116266840177,1.1205893060378738,0.5042873359677668,0.10382710441917668,0.19216640908369234,958922893784.5344,2.479227300684818,27
True,Optimization terminated successfully,1.0,100000000000000.0,0.1,front_rear,8107414845084.163,202218771647352.03,210326186492436.2,9.806649998135548,-7.151125131800162e-14,9.806649998135477,224998727608.5201,-22499872751.9595,0.0999999999604775,0.2836363636949288,1.4584236478633872,0.5499999999802387,0.3363194912870557,0.5499999999802387,958922893423.0966,8.454709863212123,11
True,Optimization terminated successfully,1.0,177827941003892.28,0.1,front_rear,6924436844524.608,114567561962166.6,121491998806691.2,9.806649996248876,-4.030839188079179e-14,9.806649996248835,226683685741.89713,-22668368555.517216,0.09999999991762752,0.2836363637584246,1.4618566658504206,0.5499999999588138,0.4110106208463934,0.5499999999588138,958922893054.1278,7.221056974112463,7
True,Optimization terminated successfully,1.0,316227766016837.94,0.1,front_rear,6550347204307.111,64695370542557.86,71245717746864.97,9.806649999023575,-2.2697008596730875e-14,9.806649999023552,227631205720.10043,-22763120566.764965,0.099999999976958,0.2836363636705077,1.4637871902278166,0.549999999988479,0.4525267183977481,0.549999999988479,958922893596.7643,6.830942558622019,5
True,Optimization terminated successfully,1.0,562341325190349.06,0.1,front_rear,6432049672778.009,36466039250530.81,42898088923308.82,9.806649999576175,-1.2772931881502227e-14,9.806649999576162,228164035342.84006,-22816403531.73321,0.09999999998882035,0.2836363636529299,1.4648728038872492,0.5499999999944101,0.475721463228812,0.5499999999944101,958922893704.834,6.707577548730272,6
True,Optimization terminated successfully,1.0,1000000000000000.0,0.1,front_rear,5140929012902.605,21457648964540.336,26598577977442.94,9.806649999888961,-7.291078386433648e-15,9.806649999888954,238748543231.74673,-23874854322.574497,0.09999999999748616,0.28363636364008865,1.4869661681647053,0.5499999999987432,0.3407632010465521,0.4993757748771694,958922893766.0043,5.361149521326468,10
True,Optimization terminated successfully,1.0,1778279410038922.8,0.1,front_rear,4616850273025.053,12443792250764.44,17060642523789.492,9.806650000111793,-4.163533962708258e-15,9.806650000111789,246213207621.65204,-24621320763.162674,0.10000000000405125,0.2836363636277594,1.509980822968199,0.5500000000038073,0.262340555639304,0.512433006297396,958922893809.5824,4.814620969871058,7
True,Optimization terminated successfully,1.0,3162277660168379.5,0.1,front_rear,4316947918863.909,7239155523369.262,11556103442233.172,9.806649999999443,-2.3959481518561453e-15,9.806649999999442,254710296325.74362,-25471029632.70935,0.10000000000052997,0.2743716893823743,1.5452072451926027,0.5500000000004182,0.49813002938848516,0.49813002938848516,958922893787.611,4.50187178430225,10
