source,C_source,scenario,accel_m_s2,h_m,budget_J,alpha,region_ratio,qtime_floor,cutoff_safety,gamma_opt,E_source_J,E_background_canonical_J,E_total_no_cancel_J,budget_ratio,meets_budget_no_cancel,gamma_source_only_budget,gamma_best_cancellation,allowed_background_residual_fraction,required_interaction_cancellation_fraction,cancellation_digits,Q3,Qt,Q1,Q2,Z_min,x1,x2,x3,xnorm2,bare_cutoff_eV,effective_cutoff_eV,canonical_background_J,critical_control_digits
IDEAL_C1,1.0,ONE_G_ONE_M_ONE_TJ,9.80665,1.0,1000000000000.0,1.0,2.0,1.0,1.0,12900812601910.717,1023621245251883.6,341206989763264.75,1364828235015148.5,1364.8282350151485,False,1.3205545860329042e+16,1.7607391328277234e+16,2.881960381865173e-13,0.9999999999997118,12.540311993700934,7.751449702106124e-14,1.0,1.4999999999999614,1.4999999999999614,7.751449702106124e-14,-0.24999999999998063,-0.24999999999998063,0.49999999999996125,0.3749999999999419,0.7087531522624162,1.973269804e-07,341206989763264.75,13.110617066687665
IDEAL_C1,1.0,ONE_G_ONE_M_ONE_TJ,9.80665,1.0,1000000000000.0,1.0,2.0,1.0,10.0,407959543602.08606,3.2369743685195936e+16,1.0789914690230128e+16,4.315965837542606e+16,43159.658375426065,False,1.3205545860329042e+16,1.760739132839232e+16,2.8819603818651643e-19,1.0,18.540311993700936,2.451223450180705e-12,1.0,1.4999999999987743,1.4999999999987743,2.451223450180705e-12,-0.24999999999938718,-0.24999999999938718,0.49999999999877437,0.3749999999981616,1.2603611818182536,1.973269804e-06,1.0789914690230128e+16,11.610617097251732
IDEAL_C1,1.0,ONE_G_ONE_M_ONE_TJ,9.80665,1.0,1000000000000.0,1.0,2.0,1.0,100.0,12900814001.330915,1.02362113421422e+18,3.412071006688121e+17,1.364828234883032e+18,1364828.234883032,False,1.3205545860329042e+16,1.760739132839232e+16,2.881960381865166e-25,1.0,24.540311993700936,7.751448861865222e-11,1.0,1.4999999999612428,1.4999999999612428,7.751448861865222e-11,-0.2499999999806214,-0.2499999999806214,0.4999999999612428,0.37499999994186417,2.241274381448082,1.973269804e-05,3.412071006688121e+17,10.11061711376428
IDEAL_C1,1.0,ONE_G_ONE_M_ONE_TJ,9.80665,1.0,1000000000000.0,0.4082482904638631,0.5,0.001,1.0,8857553569643.217,1490879592937190.8,496960034662444.44,1987839627599635.2,1987.8396275996352,False,1.3205545860329042e+16,1.7607391328277234e+16,6.404343595457647e-14,0.9999999999999359,13.193525376064372,1.8816331773356567e-14,0.001,0.5009999999999906,0.5009999999999906,1.8816331773356567e-14,-0.2499999999999953,-0.2499999999999953,0.0004999999999905918,0.1250002499999953,2.8770604355916665,3.946539608e-07,496960034662444.44,13.725465037968554
IDEAL_C1,1.0,ONE_G_ONE_M_ONE_TJ,9.80665,1.0,1000000000000.0,0.4082482904638631,0.5,0.001,10.0,280100440090.2511,4.714575191696981e+16,1.5715256546406786e+16,6.286100846337659e+16,62861.008463376595,False,1.3205545860329042e+16,1.760739132839232e+16,6.404343595457626e-20,1.0,19.193525376064375,5.950246512056893e-13,0.001,0.5009999999997026,0.5009999999997026,5.950246512056893e-13,-0.24999999999985123,-0.24999999999985123,0.0004999999997024877,0.12500024999985093,5.116217355229377,3.946539608e-06,1.5715256546406786e+16,12.225465041564167
IDEAL_C1,1.0,ONE_G_ONE_M_ONE_TJ,9.80665,1.0,1000000000000.0,0.4082482904638631,0.5,0.001,100.0,8857554203.83575,1.490879486191617e+18,4.969601412212006e+17,1.9878396274128177e+18,1987839.6274128177,False,1.3205545860329042e+16,1.760739132839232e+16,6.40434359545763e-26,1.0,25.193525376064372,1.8816330428247146e-11,0.001,0.5009999999905919,0.5009999999905919,1.8816330428247146e-11,-0.24999999999529593,-0.24999999999529593,0.0004999999905918348,0.12500024999528653,9.09806426761919,3.946539608e-05,4.969601412212006e+17,10.72546506901465
IDEAL_C1,1.0,ONE_G_ONE_M_ONE_TJ,9.80665,1.0,1000000000000.0,0.4082482904638631,0.5,0.01,1.0,8857115176205.352,1490953385793802.5,496984632365419.9,1987938018159222.5,1987.9380181592226,False,1.3205545860329042e+16,1.7607391328316412e+16,6.40307578898703e-14,0.9999999999999359,13.193611357687926,1.881726311005142e-14,0.01,0.5099999999999906,0.5099999999999906,1.881726311005142e-14,-0.2499999999999953,-0.2499999999999953,0.004999999999990592,0.12502499999999522,2.876989236472621,3.9465396079999993e-07,496984632365419.9,13.725443542579198
IDEAL_C1,1.0,ONE_G_ONE_M_ONE_TJ,9.80665,1.0,1000000000000.0,0.4082482904638631,0.5,0.01,10.0,280086576878.8208,4.714808545088688e+16,1.5716034395174888e+16,6.286411984606177e+16,62864.11984606177,False,1.3205545860329042e+16,1.7607391328315116e+16,6.403075788986988e-20,1.0,19.193611357687928,5.95054102644019e-13,0.01,0.5099999999997025,0.5099999999997025,5.95054102644019e-13,-0.24999999999985123,-0.24999999999985123,0.004999999999702473,0.12502499999984826,5.116090743360201,3.946539608e-06,1.5716034395174888e+16,12.225443546184787
IDEAL_C1,1.0,ONE_G_ONE_M_ONE_TJ,9.80665,1.0,1000000000000.0,0.4082482904638631,0.5,0.01,100.0,8857115810.367367,1.4909532790427988e+18,4.969847389292552e+17,1.987938017972054e+18,1987938.017972054,False,1.3205545860329042e+16,1.7607391328237768e+16,6.403075788987082e-26,1.0,25.193611357687924,1.8817261764873677e-11,0.01,0.5099999999905913,0.5099999999905913,1.8817261764873677e-11,-0.24999999999529568,-0.24999999999529568,0.004999999990591369,0.12502499999520159,9.097839116227984,3.9465396080000004e-05,4.969847389292552e+17,10.725443573625332
IDEAL_C1,1.0,ONE_G_ONE_M_ONE_TJ,9.80665,1.0,1000000000000.0,0.4082482904638631,0.5,0.1,1.0,8813815662706.12,1498277972411612.8,499426168386978.9,1997704140798591.5,1997.7041407985914,False,1.3205545860329042e+16,1.7607391328316124e+16,6.278780788377257e-14,0.9999999999999372,13.202124679238198,1.8909706425095995e-14,0.1,0.5999999999999905,0.5999999999999905,1.8909706425095995e-14,-0.24999999999999528,-0.24999999999999528,0.049999999999990545,0.12749999999999434,2.8699482951941158,3.946539608e-07,499426168386978.9,13.723315213563767
IDEAL_C1,1.0,ONE_G_ONE_M_ONE_TJ,9.80665,1.0,1000000000000.0,0.4082482904638631,0.5,0.1,10.0,278717326205.70935,4.737970918457574e+16,1.5793242575970804e+16,6.317295176054654e+16,63172.951760546544,False,1.3205545860329042e+16,1.7607391328389582e+16,6.278780788377261e-20,1.0,19.202124679238196,5.979774165322436e-13,0.1,0.599999999999701,0.599999999999701,5.979774165322436e-13,-0.2499999999998505,-0.2499999999998505,0.04999999999970101,0.12749999999982062,5.10356998405888,3.946539608e-06,1.5793242575970804e+16,12.223315217450772
IDEAL_C1,1.0,ONE_G_ONE_M_ONE_TJ,9.80665,1.0,1000000000000.0,0.4082482904638631,0.5,0.1,100.0,8813816295.986538,1.4982778647590285e+18,4.9942627584759565e+17,1.9977041406066243e+18,1997704.1406066243,False,1.3205545860329042e+16,1.7607391328389582e+16,6.278780788377263e-26,1.0,25.202124679238196,1.8909705068560348e-11,0.1,0.5999999999905451,0.5999999999905451,1.8909705068560348e-11,-0.2499999999952726,-0.2499999999952726,0.04999999999054515,0.1274999999943271,9.075573705260307,3.946539608e-05,4.9942627584759565e+17,10.723315244718982
IDEAL_C1,1.0,ONE_G_ONE_M_ONE_TJ,9.80665,1.0,1000000000000.0,0.4082482904638631,0.5,1.0,1.0,6730287948400.294,1962107113629192.8,654035654101339.9,2616142767730532.5,2616.1427677305323,False,1.3205545860329042e+16,1.7607391328277234e+16,2.1347854680482653e-14,0.9999999999999787,13.670645762195942,2.476367548379651e-14,1.0,1.4999999999999876,1.4999999999999876,2.476367548379651e-14,-0.2499999999999938,-0.2499999999999938,0.4999999999999876,0.37499999999998146,2.5078924830104152,3.946539608e-07,654035654101339.9,13.60618489584472
