waveform,angle,unit_derivative_integral,endpoint_derivative_max,amplitude,radial_velocity,tangential_velocity,signed_chi,predicted_signed_chi,chi_error,amplitude_squared_scaling,outward_radial
8,2.07,0.9999999999999997,2.4729771037359617e-17,0.001,-2.500080381315321e-07,-4.026291128075679e-12,-0.2500080381315322,-0.25,-8.038131532217552e-06,4.000064291866967,False
9,0.0,0.9999999999999998,3.9378490466669317e-17,0.001,-2.5000129531271803e-07,-1.2313848789783808e-13,-0.2500012953127181,-0.25,-1.295312718085917e-06,4.000010342368026,False
9,0.37,0.9999999999999998,3.9378490466669317e-17,0.001,-2.500010390774732e-07,7.853975551143984e-13,-0.25000103907747323,-0.25,-1.0390774732305097e-06,4.000008296346734,False
9,1.11,0.9999999999999998,3.9378490466669317e-17,0.001,-2.4999930919805173e-07,1.1107233975332253e-12,-0.2499993091980518,-0.25,6.908019481999261e-07,3.999994456524677,False
9,2.07,0.9999999999999998,3.9378490466669317e-17,0.001,-2.499991880391709e-07,-1.0243114803741554e-12,-0.24999918803917096,-0.25,8.119608290446667e-07,3.999993487188981,False
10,0.0,0.9999999999999999,7.881018627683322e-17,0.001,-2.4999870799084285e-07,5.699567694319282e-12,-0.24999870799084292,-0.25,1.2920091570778336e-06,3.9999896461902478,False
10,0.37,0.9999999999999999,7.881018627683322e-17,0.001,-2.499952002727519e-07,3.3399118670218365e-12,-0.24999520027275196,-0.25,4.799727248039343e-06,3.999961584087327,False
10,1.11,0.9999999999999999,7.881018627683322e-17,0.001,-2.4999623290766296e-07,-4.475053687933107e-12,-0.249996232907663,-0.25,3.7670923369870213e-06,3.9999698453146353,False
10,2.07,0.9999999999999999,7.881018627683322e-17,0.001,-2.500054865215478e-07,-2.007665448367788e-12,-0.25000548652154786,-0.25,-5.4865215478594465e-06,4.0000438739403945,False
11,0.0,1.0,2.23721511573748e-17,0.001,-2.499960439908841e-07,-6.295533958523704e-12,-0.24999604399088413,-0.25,3.956009115874126e-06,3.999968333292796,False
11,0.37,1.0,2.23721511573748e-17,0.001,-2.500013222409983e-07,-7.312980363531494e-12,-0.2500013222409983,-0.25,-1.3222409983026928e-06,4.000010559142389,False
11,1.11,1.0,2.23721511573748e-17,0.001,-2.500073988231248e-07,6.589784748231708e-13,-0.2500073988231248,-0.25,-7.39882312478235e-06,4.000059169672118,False
11,2.07,1.0,2.23721511573748e-17,0.001,-2.499968432418541e-07,6.73200237689548e-12,-0.2499968432418541,-0.25,3.1567581459113203e-06,3.9999747219885595,False
12,0.0,0.9999999999999997,6.353978747589502e-17,0.001,-2.499957616901718e-07,-6.489823354704252e-13,-0.2499957616901719,-0.25,4.238309828097364e-06,3.99996606867018,False
12,0.37,0.9999999999999997,6.353978747589502e-17,0.001,-2.499973060540079e-07,-3.3334076691823805e-12,-0.249997306054008,-0.25,2.693945992005009e-06,3.999978423801545,False
12,1.11,0.9999999999999997,6.353978747589502e-17,0.001,-2.500030699897709e-07,-2.979807659077321e-12,-0.25000306998977107,-0.25,-3.069989771065096e-06,4.000024534751422,False
12,2.07,0.9999999999999997,6.353978747589502e-17,0.001,-2.5000174173543837e-07,3.909072375926624e-12,-0.2500017417354385,-0.25,-1.741735438487435e-06,4.0000139087627,False
13,0.0,0.9999999999999997,6.797689790450403e-17,0.001,-2.5000038779837426e-07,-2.3946489267661004e-12,-0.25000038779837436,-0.25,-3.8779837435720665e-07,4.000003080616023,False
13,0.37,0.9999999999999997,6.797689790450403e-17,0.001,-2.50001900806424e-07,-1.5028632477476241e-12,-0.25000190080642415,-0.25,-1.9008064241488043e-06,4.000015184617025,False
13,1.11,0.9999999999999997,6.797689790450403e-17,0.001,-2.5000166586788414e-07,1.7635287209992856e-12,-0.25000166586788425,-0.25,-1.6658678842484953e-06,4.000013305105607,False
13,2.07,0.9999999999999997,6.797689790450403e-17,0.001,-2.499977673839479e-07,9.691841877721623e-13,-0.24999776738394802,-0.25,2.232616051978109e-06,3.999982117210102,False
14,0.0,1.0,9.190934079604237e-17,0.001,-2.4999750240311387e-07,-6.438819805768838e-13,-0.24999750240311389,-0.25,2.497596886114062e-06,3.999980002018757,False
14,0.37,1.0,9.190934079604237e-17,0.001,-2.499985892661568e-07,-2.1558015600450845e-12,-0.24999858926615684,-0.25,1.4107338431601502e-06,3.999988698119025,False
14,1.11,1.0,9.190934079604237e-17,0.001,-2.5000201564423954e-07,-1.5940732083944649e-12,-0.2500020156442396,-0.25,-2.015644239572456e-06,4.000016099211876,False
14,2.07,1.0,9.190934079604237e-17,0.001,-2.500008025482761e-07,2.4460034541925975e-12,-0.2500008025482761,-0.25,-8.025482761131464e-07,4.000006393995354,False
15,0.0,1.0000000000000002,3.302267712628563e-17,0.001,-2.499936688502164e-07,-2.2276985031178257e-12,-0.24999366885021637,-0.25,6.331149783628254e-06,3.9999493293600143,False
15,0.37,1.0000000000000002,3.302267712628563e-17,0.001,-2.4999682543097207e-07,-5.911223204856368e-12,-0.24999682543097204,-0.25,3.1745690279583183e-06,3.999974591206722,False
15,1.11,1.0000000000000002,3.302267712628563e-17,0.001,-2.500055947676224e-07,-3.6933513548410355e-12,-0.25000559476762235,-0.25,-5.594767622352226e-06,4.000044744519204,False
15,2.07,1.0000000000000002,3.302267712628563e-17,0.001,-2.500015500471341e-07,6.5245316758726885e-12,-0.25000155004713404,-0.25,-1.5500471340357258e-06,4.000012372744508,False
