index,d,d_over_r99,slow_driver,sign,gross_outward,gross_inward,cancellation,Splus_Kplus,Splus_Kminus,Sminus_Kplus,Sminus_Kminus,embedded_positive_fraction_gross_out,true_repulsive_fraction_gross_out,energy_ahead_fraction,abs_active_ahead_fraction,repulsive_DEC_p10,repulsive_DEC_p50,repulsive_DEC_p90,null_driver_min,null_driver_mean,null_driver_max,null_class,geometry_class
10,1.0723827747712598,0.8329345138161939,-1383.4748677530774,INWARD,56.05334126289675,-1439.5282090159742,1.0810326845386558,0.1941716927305316,-1428.6452014921258,-10.883007523848292,55.85916957016622,0.003464052068187043,0.996535947931813,0.0034849562743047516,0.0010738350914869656,0.19891483539717045,0.5903072498087745,0.9317729185084328,-1334.2730908092053,-1333.5022790604753,-1332.731467311742,ALL_INWARD,EFFECTIVE_99_ENERGY_BEHIND
11,1.134480249966569,0.8811664805428607,-1284.6854118548022,INWARD,51.20530617613196,-1335.8907180309338,1.0797164904397922,0.009974996924804292,-1329.5188045668592,-6.371913464074607,51.19533117920715,0.00019480396993415265,0.9998051960300657,0.0016231717137941291,0.0006166847404479979,0.20028020707002608,0.5698605157698226,0.9317729180858768,-1245.29301223539,-1244.5819886416357,-1243.8709650478809,ALL_INWARD,EFFECTIVE_99_ENERGY_BEHIND
12,1.1690270253809778,0.9079994381963027,-1229.5639386224668,INWARD,48.90198490294264,-1278.4659235254096,1.0795436225264214,1.08221549238437e-27,-1273.7150864247176,-4.750837100692077,48.901984902942644,2.2130297870981686e-29,1.0000000000000002,0.0010003290571574588,0.0004731705103406487,0.20028020709333583,0.569860515476344,0.9317729180552957,-1194.3517068917045,-1193.687149265335,-1193.0225916389647,ALL_INWARD,EFFECTIVE_99_ENERGY_BEHIND
13,1.2412608388965802,0.9641044389079576,-1118.9438768538557,INWARD,43.470301922162086,-1162.414178776018,1.0776988065646116,1.084724744427099e-27,-1160.3388429612623,-2.0753358147555847,43.47030192216209,2.495323695633416e-29,1.0000000000000002,0.00038740760390360343,0.0002400748837371319,0.20028020704005883,0.5316264190390895,0.9317729180496997,-1089.932703698579,-1089.3619146831788,-1088.791125667778,ALL_INWARD,EFFECTIVE_99P9_ENERGY_BEHIND
14,1.2874754941513993,1.0,-1053.3631182606925,INWARD,39.644349853217186,-1093.00746811391,1.0752719535475626,1.0845736258199454e-27,-1091.9022106338887,-1.105257480021015,39.644349853217186,2.73575838634148e-29,1.0,0.00019865640901150282,0.0001370619834043295,0.18720210596390843,0.523178034891718,0.9317729180893602,-1026.4135525163392,-1025.8912560250067,-1025.3689595336748,ALL_INWARD,EFFECTIVE_99P9_ENERGY_BEHIND
15,1.3480414278265915,1.0470423972730545,-973.0617569647854,INWARD,35.71494565130335,-1008.7767026160888,1.0734073565129245,1.082094799906911e-27,-1008.2344497647134,-0.5422528513754559,35.714945651303346,3.0298094542037246e-29,0.9999999999999998,0.00010001485178665475,7.364042426427235e-05,0.1872021051867838,0.5083627844951084,0.9317729181945301,-948.4754328284965,-948.0204051549542,-947.5653774814143,ALL_INWARD,EFFECTIVE_99P9_ENERGY_BEHIND
16,1.4828455706092507,1.15174663700036,-819.2611331708902,INWARD,28.293697859536266,-847.5548310304265,1.0690712563161093,1.066130966519841e-27,-847.4756202932873,-0.0792107371392954,28.293697859536266,3.7680863484604794e-29,1.0,1.2273462503669165e-05,9.667269452158225e-06,0.1791759081269698,0.4973625653852257,0.9317729186027717,-798.1966168100056,-797.8718646081093,-797.5471124062128,ALL_INWARD,EFFECTIVE_99P99_ENERGY_BEHIND
17,1.6850517847832394,1.3088029965913182,-643.0344462801868,INWARD,21.090168572209368,-664.1246148523961,1.0655957661186313,1.0102278391050492e-27,-664.120317198285,-0.004297654111075197,21.090168572209365,4.790041557260154e-29,0.9999999999999998,6.848411744405673e-07,5.290905082815064e-07,0.1708850106829702,0.5116868082499608,0.9511588719516606,-626.2574737818493,-626.0644742053657,-625.8714746288825,ALL_INWARD,EFFECTIVE_99P99_ENERGY_BEHIND
18,2.0220621417398874,1.5705635959095818,-450.10897661666394,INWARD,14.276370251481438,-464.38534686814535,1.0634351723388977,8.132754728045196e-28,-464.3853144175815,-3.2450563864314835e-05,14.27637025148144,5.696654390986583e-29,1.0000000000000002,5.974584757220889e-09,4.8441072977156304e-09,0.1703391930044714,0.5316315727271852,0.9511588720267393,-438.463295367403,-438.37425439936624,-438.2852134313291,ALL_INWARD,EFFECTIVE_99P99_ENERGY_BEHIND
19,2.5749509883027986,2.0,-278.4235067805432,INWARD,8.714353061464951,-287.1378598420082,1.0625978256091266,2.0617801503095395e-28,-287.13785982998724,-1.2020948885618637e-08,8.71435306146495,2.3659589366728482e-29,0.9999999999999998,2.3836672756489964e-12,1.864348207243115e-12,0.16001647470769784,0.5316315739345215,0.9511588720948995,-271.41047316761575,-271.37884872187874,-271.34722427614145,ALL_INWARD,EFFECTIVE_99P99_ENERGY_BEHIND
