Gamma,k_opt_exact,b_opt_exact,lambda_min,lambda_max,condition_number,condition_over_4Gamma,tuning_digits,k_opt_numeric,condition_numeric,k_error,condition_relerr
18487364332750.59,1.0,0.9999999999999729,2.7045499347586865e-14,1.999999999999973,73949457331000.36,0.9999999999999729,13.266875,0.9999999459810469,73949457331000.38,5.401895308843052e-08,2.1129296365302524e-16
32828421431654.6,1.0,0.9999999999999848,1.523070492563745e-14,1.999999999999985,131313685726616.42,0.9999999999999849,13.51625,1.0000001389638247,131313685726616.58,1.3896382466960233e-07,1.1898988223154348e-15
58294153471360.74,1.0,0.9999999999999913,8.577189481714432e-15,1.9999999999999913,233176613885440.94,0.9999999999999913,13.765625,0.9999999125962247,233176613885440.9,8.7403775328454e-08,1.3401858565178857e-16
103514216667934.52,1.0,0.9999999999999951,4.830254394949073e-15,1.9999999999999951,414056866671736.0,0.999999999999995,14.015,0.9999999999988264,414056866671736.56,1.173616759331253e-12,1.3585090485794302e-15
183812482286758.0,1.0,0.9999999999999972,2.7201634719233705e-15,1.9999999999999973,735249929147030.0,0.9999999999999972,14.264375,0.9999998603976203,735249929147031.0,1.3960237965626732e-07,1.360081735961687e-15
326399887203957.7,1.0,0.9999999999999984,1.531863274473392e-15,1.9999999999999984,1305599548815828.8,0.9999999999999984,14.51375,0.9999999999988264,1305599548815826.5,1.173616759331253e-12,1.7233461837825671e-15
579595493414602.0,1.0,0.9999999999999991,8.626706136970172e-16,1.9999999999999991,2318381973658406.0,0.9999999999999991,14.763125,1.0000000000011737,2318381973658412.5,1.1737277816337155e-12,2.8036794945153072e-15
1029200527194426.5,1.0,0.9999999999999994,4.85813975788554e-16,1.9999999999999996,4116802108777704.0,0.9999999999999996,15.0125,0.9999999999988264,4116802108777693.5,1.173616759331253e-12,2.550523372889909e-15
1827574122319087.5,1.0,0.9999999999999997,2.735867147021805e-16,1.9999999999999996,7310296489276347.0,0.9999999999999996,15.261875,1.0000000000011737,7310296489276366.0,1.1737277816337155e-12,2.5990737896707152e-15
3245263759896440.5,1.0,0.9999999999999998,1.5407068176669732e-16,1.9999999999999998,1.2981055039585758e+16,0.9999999999999997,15.51125,0.9999999125962247,1.2981055039585764e+16,8.7403775328454e-08,4.622120453000921e-16
5762686581452009.0,1.0,0.9999999999999999,8.676508654996405e-17,2.0,2.3050746325808036e+16,1.0,15.760625,1.0000000000011737,2.3050746325808092e+16,1.1737277816337155e-12,2.4294224233989933e-15
1.0232929922807494e+16,1.0,0.9999999999999999,4.886186104779076e-17,2.0,4.0931719691229976e+16,1.0,16.009999999999998,0.9999999999988264,4.093171969122987e+16,1.173616759331253e-12,2.5408167744851195e-15
1.8170839820114804e+16,1.0,1.0,2.7516614804259553e-17,2.0,7.268335928045922e+16,1.0,16.259375,0.9999999999988264,7.268335928045941e+16,1.173616759331253e-12,2.641595021208917e-15
3.2266361859114756e+16,1.0,1.0,1.5496014151925764e-17,2.0,1.2906544743645904e+17,1.0000000000000002,16.50875,1.0000001207886111,1.2906544743645912e+17,1.2078861111319839e-07,6.198405660770305e-16
5.729609186642192e+16,1.0,1.0,8.726598686096817e-18,2.0,2.2918436746568765e+17,0.9999999999999999,16.758125,0.9999999459810469,2.2918436746568742e+17,5.401895308843052e-08,9.773790528428436e-16
1.0174193661806056e+17,1.0,1.0,4.914394365000157e-18,2.0,4.0696774647224224e+17,1.0,17.0075,0.9999999793658703,4.0696774647224096e+17,2.0634129738184015e-08,3.145212393600101e-15
1.806654054333477e+17,1.0,1.0,2.767546995511896e-18,2.0,7.226616217333908e+17,1.0,17.256875,1.0000000000011737,7.226616217333924e+17,1.1737277816337155e-12,2.125476092553136e-15
3.208115532823647e+17,1.0,1.0,1.5585473617900577e-18,2.0,1.2832462131294587e+18,1.0,17.50625,0.9999999125962247,1.283246213129459e+18,8.7403775328454e-08,1.9949406230912738e-16
5.696721653632389e+17,1.0,1.0,8.776977890102565e-19,2.0,2.2786886614529554e+18,0.9999999999999999,17.755625,0.9999999459810469,2.278688661452954e+18,5.401895308843052e-08,5.617265849665642e-16
1.0115794542598962e+18,1.0,1.0,4.942765473284705e-19,2.0,4.0463178170395853e+18,1.0000000000000002,18.005,0.9999999999988264,4.0463178170395745e+18,1.173616759331253e-12,2.6572307184378573e-15
1.7962839936690066e+18,1.0,1.0,2.7835242186772657e-19,2.0,7.185135974676026e+18,1.0,18.254375,0.9999999999988264,7.185135974676045e+18,1.173616759331253e-12,2.565295919932968e-15
3.1897011869148585e+18,1.0,1.0,1.5675449539008693e-19,2.0,1.2758804747659434e+19,1.0,18.50375,1.0000001207886111,1.2758804747659442e+19,1.2078861111319839e-07,6.420664131177961e-16
