portal_scale_ev,lane,basis_label,coefficient
5000.0,SIGNED_MULTIPOLAR,PATCH_12_RHO_0.88_Z_+0.00,0.40307490213329816
5000.0,SIGNED_MULTIPOLAR,PATCH_13_RHO_0.60_Z_+0.00,-0.9495082707369065
5000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,A12C_ORIGINAL,0.0
5000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_00_RHO_0.25_Z_-0.65,1.0
5000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_01_RHO_0.55_Z_-0.65,0.0
5000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_02_RHO_0.25_Z_-0.25,0.0
5000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_03_RHO_0.55_Z_-0.25,1.275875060184351e-16
5000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_04_RHO_0.80_Z_-0.25,0.0
5000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_05_RHO_0.25_Z_+0.15,0.0
5000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_06_RHO_0.55_Z_+0.15,1.836394953986384e-17
5000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_07_RHO_0.80_Z_+0.15,8.561825438746017e-17
5000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_08_RHO_0.25_Z_+0.55,0.0
5000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_09_RHO_0.55_Z_+0.55,4.703155996669713e-18
5000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_10_RHO_0.75_Z_+0.55,0.0
5000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_11_RHO_0.25_Z_+0.78,0.0
5000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_12_RHO_0.88_Z_+0.00,0.0
5000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_13_RHO_0.60_Z_+0.00,1.3467880294444206e-17
