target,target_acceleration_m_s2,target_g_fraction,separation_m,target_rate_s-2,model,w,energy_density_j_m3,equivalent_mass_density_kg_m3,pressure_pa,active_mass_density_kg_m3,energy_equivalent_mass_sphere_kg,nec,wec,sec,dec,reconstruction_relative_error
micro_g,9.806649999999999e-06,1e-06,1.0,9.806649999999999e-06,near_SEC_boundary_w_-0.34,-0.34,1.5762959249235606e+23,1753865.74922329,-5.3594061447401065e+22,-35077.31498446583,7346575.670856861,True,True,False,True,2.9366929794217408e-15
micro_g,9.806649999999999e-06,1e-06,1.0,9.806649999999999e-06,dust_negative_energy_route,0.0,-3.152591849847124e+21,-35077.31498446583,-0.0,-35077.31498446583,-146931.51341713735,False,False,False,False,0.0
micro_g,9.806649999999999e-06,1e-06,10.0,9.806649999999999e-07,phantom_w_-1.2,-1.2,1.2125353268642785e+20,1349.127499402532,-1.4550423922371342e+20,-3507.731498446583,5651212.054505284,False,False,False,False,0.0
micro_g,9.806649999999999e-06,1e-06,10.0,9.806649999999999e-07,vacuum_w_-1,-1.0,1.5762959249235617e+20,1753.8657492232915,-1.5762959249235617e+20,-3507.731498446583,7346575.670856868,True,True,False,True,0.0
micro_g,9.806649999999999e-06,1e-06,10.0,9.806649999999999e-07,negative_pressure_w_-2_3,-0.6666666666666666,3.1525918498471235e+20,3507.731498446583,-2.101727899898082e+20,-3507.731498446583,14693151.341713736,True,True,False,True,6.909865833933508e-16
micro_g,9.806649999999999e-06,1e-06,10.0,9.806649999999999e-07,negative_pressure_w_-1_2,-0.5,6.305183699694247e+20,7015.462996893166,-3.1525918498471235e+20,-3507.731498446583,29386302.68342747,True,True,False,True,0.0
micro_g,9.806649999999999e-06,1e-06,10.0,9.806649999999999e-07,near_SEC_boundary_w_-0.34,-0.34,1.5762959249235604e+22,175386.574922329,-5.359406144740106e+21,-3507.731498446583,734657567.0856861,True,True,False,True,3.1094396252700787e-15
micro_g,9.806649999999999e-06,1e-06,10.0,9.806649999999999e-07,dust_negative_energy_route,0.0,-3.1525918498471235e+20,-3507.731498446583,-0.0,-3507.731498446583,-14693151.341713736,False,False,False,False,1.727466458483377e-16
micro_g,9.806649999999999e-06,1e-06,100.0,9.806649999999999e-08,phantom_w_-1.2,-1.2,1.2125353268642785e+19,134.9127499402532,-1.4550423922371342e+19,-350.7731498446583,565121205.4505284,False,False,False,False,0.0
micro_g,9.806649999999999e-06,1e-06,100.0,9.806649999999999e-08,vacuum_w_-1,-1.0,1.5762959249235618e+19,175.38657492232915,-1.5762959249235618e+19,-350.7731498446583,734657567.0856867,True,True,False,True,0.0
micro_g,9.806649999999999e-06,1e-06,100.0,9.806649999999999e-08,negative_pressure_w_-2_3,-0.6666666666666666,3.1525918498471236e+19,350.7731498446583,-2.101727899898082e+19,-350.7731498446583,1469315134.1713734,True,True,False,True,3.454932916966754e-16
micro_g,9.806649999999999e-06,1e-06,100.0,9.806649999999999e-08,negative_pressure_w_-1_2,-0.5,6.305183699694247e+19,701.5462996893166,-3.1525918498471236e+19,-350.7731498446583,2938630268.3427467,True,True,False,True,0.0
micro_g,9.806649999999999e-06,1e-06,100.0,9.806649999999999e-08,near_SEC_boundary_w_-0.34,-0.34,1.5762959249235604e+21,17538.6574922329,-5.359406144740106e+20,-350.7731498446583,73465756708.5686,True,True,False,True,9.501065521658573e-15
micro_g,9.806649999999999e-06,1e-06,100.0,9.806649999999999e-08,dust_negative_energy_route,0.0,-3.1525918498471236e+19,-350.7731498446583,-0.0,-350.7731498446583,-1469315134.1713734,False,False,False,False,1.727466458483377e-16
one_percent_g,0.0980665,0.01,0.1,0.980665,phantom_w_-1.2,-1.2,1.2125353268642787e+26,1349127499.4025323,-1.4550423922371344e+26,-3507731498.4465833,5651212.054505286,False,False,False,False,1.4151405227895823e-16
one_percent_g,0.0980665,0.01,0.1,0.980665,vacuum_w_-1,-1.0,1.576295924923562e+26,1753865749.2232919,-1.576295924923562e+26,-3507731498.4465833,7346575.670856871,True,True,False,True,1.4151405227895823e-16
one_percent_g,0.0980665,0.01,0.1,0.980665,negative_pressure_w_-2_3,-0.6666666666666666,3.152591849847124e+26,3507731498.4465837,-2.1017278998980826e+26,-3507731498.4465833,14693151.341713741,True,True,False,True,4.2454215683687465e-16
one_percent_g,0.0980665,0.01,0.1,0.980665,negative_pressure_w_-1_2,-0.5,6.305183699694248e+26,7015462996.8931675,-3.152591849847124e+26,-3507731498.4465833,29386302.683427483,True,True,False,True,1.4151405227895823e-16
one_percent_g,0.0980665,0.01,0.1,0.980665,near_SEC_boundary_w_-0.34,-0.34,1.5762959249235608e+28,175386574922.32904,-5.359406144740107e+27,-3507731498.4465833,734657567.0856864,True,True,False,True,1.981196731905415e-15
one_percent_g,0.0980665,0.01,0.1,0.980665,dust_negative_energy_route,0.0,-3.152591849847124e+26,-3507731498.4465837,-0.0,-3507731498.4465833,-14693151.341713741,False,False,False,False,0.0
one_percent_g,0.0980665,0.01,1.0,0.0980665,phantom_w_-1.2,-1.2,1.2125353268642789e+25,134912749.94025326,-1.4550423922371347e+25,-350773149.8446584,565121205.4505285,False,False,False,False,1.4151405227895823e-16
one_percent_g,0.0980665,0.01,1.0,0.0980665,vacuum_w_-1,-1.0,1.5762959249235622e+25,175386574.9223292,-1.5762959249235622e+25,-350773149.8446584,734657567.0856869,True,True,False,True,1.4151405227895823e-16
one_percent_g,0.0980665,0.01,1.0,0.0980665,negative_pressure_w_-2_3,-0.6666666666666666,3.1525918498471244e+25,350773149.8446584,-2.101727899898083e+25,-350773149.8446584,1469315134.1713738,True,True,False,True,2.8302810455791646e-16
