sample_index,energy_j,radius_m,thickness_m,gap_m,kappa,rho_active_kg_m3,active_mass_abs_kg,active_energy_abs_j,lever_m
6531144,134372833.93114,0.4805055032965263,0.5336114085943957,0.0013268744548161448,9.8955920334412,132483181442.44972,51278163141.16187,4.608651467923063e+27,0.17651204025824874
3531464,134501410.53628364,0.5012071336168178,0.7065570075540016,0.000793794183797428,9.982812999336137,111403710224.07306,62119967942.384224,5.583064289118291e+27,0.20991111166113885
2291784,134571203.26008883,0.4813559546236636,0.6273084172768033,0.00043861994111973613,9.915453919496143,122308294291.148,55849539235.14931,5.019506261765552e+27,0.19119616369307035
2936264,134659350.47794947,0.5236233547539941,0.5097288973509226,0.00013299963639044627,9.874223058454257,124252948222.65314,54554910511.592926,4.903150834781779e+27,0.1882037970994973
2657416,134740454.79057392,0.6158310075458079,0.7405120130418582,0.00011305743134623042,9.984882005046524,88662195728.24896,78224639033.16602,7.030479943587616e+27,0.26375250989706567
8586056,134745060.68170893,0.45677229442735995,0.3865418281470751,0.000319918415564438,9.96377732458152,165103616211.74344,41831406034.70198,3.759619280753097e+27,0.14163758004137067
7045704,134804676.6719424,0.4858552563222531,0.5457750920916213,0.00017003916144861568,9.850763236140363,129176271881.63745,52282956945.62191,4.698957831455176e+27,0.181030744390408
2013672,134933112.8627443,0.3884177921942298,0.4580618440058099,0.00021036600440084638,9.986720486568919,178893737655.07755,38838939094.59295,3.4906697647909257e+27,0.1307193698495953
4412424,135047430.36916003,0.5766195496055262,0.696779099876593,0.001592273604069917,9.950071890881159,97388260368.15291,70881079208.63612,6.370473701321629e+27,0.24012007779900424
7692648,135099728.5947635,0.43536367106550117,0.5251972925202035,0.0026585050691297885,9.954898520159794,148670498277.7368,46494493529.94068,4.1787166842779647e+27,0.15729332266462454
3654248,135106000.35314357,0.420325602733579,0.4118768113442373,0.0006826222673561472,9.934836886884744,173541238201.14185,39672685106.98662,3.565603119429924e+27,0.13475112254994093
9845096,135147810.53565934,0.43639699322450826,0.6118938488573319,0.0011647940395267426,9.984220757830933,137839292746.77103,50461771821.84763,4.5352778753121176e+27,0.16965319677946739
9286760,135207435.08208326,0.4291325194221917,0.41744550285046644,0.0034981341217743154,9.997487213970896,169970664393.79974,41049368863.95859,3.6893332850360655e+27,0.13758183942924918
5193544,135457639.64348376,0.46331182928655185,0.6044603702014523,0.00027102871877229096,9.88387307026507,129463025922.9674,52772812041.088646,4.7429838118433104e+27,0.18062977046608608
23240,135644287.12087864,0.49624997546329613,0.6305077120981699,0.0021497091283598775,9.905389995494017,118686351757.86043,57895132581.29775,5.203355023109601e+27,0.19703088274226788
9956040,135667460.2671759,0.49765861869004696,0.6664215120960642,0.00011979325568173513,9.885510004502045,114896034851.7151,59575401932.90162,5.354370101252275e+27,0.20353075444675783
8030024,135707995.6629476,0.45881500507566225,0.6754133834094959,0.00019914471871698475,9.960006239650003,124742381854.00362,55719702917.18361,5.007837155449573e+27,0.187465369097087
5926424,135721429.0521334,0.6506880150370689,0.7362323116411638,0.0006834970262564148,9.999633884842957,84586725749.02222,82834751912.83217,7.444816226103742e+27,0.2764603600533725
