epsilon,omega,chi_factor,chi,chi_critical,X_MATCH,centered_E_J,max_shift_m,source_leak,payload_overlap,promoted_E_J,promoted_backreaction,ceiling_alpha_m,ceiling_E_J,ceiling_backreaction,surface_min_mps2,a_cm_mps2,E_over_QmX,scalar_hessian,conservation_rel,DEC_pass,PASS83
0.005,0.37,5.0,0.7435325359460649,0.148706507189213,160.0,1132415058684.314,0.760009136009825,0.00010000000034288763,1.734744832958359e-53,189163114297.5215,0.007217846026189607,31.78974664094867,136535023283.4074,0.009999999999999572,9.80665,12.804782206257281,0.5557746728165704,0.0004353768861706227,3.192972969367199e-06,True,False
0.005,0.4,2.0,0.33110720222054285,0.16555360111027143,160.0,1329741744091.2004,0.7827801740899542,0.00010000000000125956,5.247677349320882e-54,208243962044.817,0.007261606736351039,31.69381442220059,151218575758.91364,0.009999999999999582,9.80665,12.854485205649622,0.5601263667806307,0.0004228169814681845,3.854108078087104e-06,True,False
0.005,0.4,2.5,0.41388400277567855,0.16555360111027143,160.0,1219992232691.5654,0.7796181529950906,9.999999999668975e-05,9.903240876902885e-54,192786155008.28702,0.007255493415298479,31.707163870385262,139875867822.33966,0.009999999999999582,9.80665,12.847465713754074,0.572522118737905,0.000426944029544501,3.816654512065288e-06,True,False
0.005,0.4,3.125,0.5173550034695982,0.16555360111027143,160.0,1180557132070.1165,0.7762785362099104,0.00010000000000042478,1.7301829828337714e-53,188335205619.11597,0.00724904953359204,31.72125342975699,136525123445.22713,0.009999999999999577,9.80665,12.840093745577764,0.5822899752851075,0.0004295945298955684,3.7970828881556815e-06,True,False
0.005,0.4,4.0,0.6622144044410857,0.16555360111027143,160.0,1180957139807.316,0.7725167121014115,0.00010000000000179882,2.9330765510611943e-53,190421711192.57953,0.007241806763568203,31.737112201924706,137899723604.47116,0.009999999999999579,9.80665,12.83184073280755,0.5906107744745002,0.0004316109913858933,3.7953967782378207e-06,True,False
0.005,0.4,5.0,0.8277680055513571,0.16555360111027143,160.0,1204507187865.3235,0.76918199046054,0.00010000000000149886,4.37523583769418e-53,196062538234.23502,0.00723540030565986,31.75115962692568,141859094906.84918,0.009999999999999577,9.80665,12.824569466322059,0.5962826472394678,0.0004329356678763631,3.810408377303659e-06,True,False
0.005,0.43,2.0,0.36654915863861615,0.18327457931930807,160.0,1437141904782.4324,0.7903106536776107,0.00010000000000001234,2.1146716657919714e-53,220269986667.49954,0.007276213175301702,31.661986992616946,160273137911.36563,0.009999999999999589,9.80665,12.871359205335725,0.5985497019213862,0.0004214097335338967,4.521769324978161e-06,True,False
0.005,0.43,2.5,0.45818644829827015,0.18327457931930807,160.0,1313860219714.8127,0.7871004900313374,0.00010000000000165385,3.7242206960734623e-53,203233548045.33795,0.007269978466967967,31.675560688200356,147750351805.51675,0.009999999999999587,9.80665,12.864138816175233,0.6115076326915267,0.00042526489623491187,4.488607636729331e-06,True,False
0.005,0.43,3.125,0.5727330603728378,0.18327457931930807,160.0,1265553734238.865,0.7837526754210845,0.00010000000000337589,6.105170095730704e-53,197642615552.5931,0.0072634892963855625,31.68970693525568,143557502257.59668,0.009999999999999582,9.80665,12.856651884429173,0.6216239296822824,0.0004277334554221155,4.47693050305922e-06,True,False
0.005,0.43,4.0,0.7330983172772323,0.18327457931930807,160.0,1257731440020.6006,0.780033077125093,9.999999998676347e-05,9.71476135260073e-53,198515099390.90042,0.007256294941254182,31.70541264494064,144048411147.28223,0.009999999999999582,9.80665,12.848384619646612,0.6301269430879999,0.0004296059249796933,4.48888544849797e-06,True,False
