a,b,chi_omega_over_m,qbar_mobile,gross_negative_q,gross_positive_q,negative_duty,minimal_compensation_energy,compensation_q,ideal_kernel_ratio_threshold,ideal_separated_C
0.9797338417731225,0.8330887252936343,0.2147639221606681,-1.1620696442059113,1.519193693288778,0.35712404908286666,0.8416413441770896,0.7206898814019705,4.0,2.132633639149061,1.1326336391490608
0.9064507363736629,1.4863128859495105,0.2043584081257102,-1.185836528442439,1.5260171070616524,0.34018057861921347,0.8494276433717659,0.7286121761474798,4.0,2.1327606801708305,1.13276068017083
0.9691295333532617,0.9854723655817941,0.2124631147477981,-1.1652392783296204,1.5188141198588143,0.35357484152919416,0.8418770145447143,0.7217464261098735,4.0,2.1336123384670165,1.1336123384670163
0.9659628368355334,1.0234743301196214,0.211832299953243,-1.1664867608209608,1.519090133564065,0.35260337274310394,0.8451681137449424,0.7221622536069869,4.0,2.1336800993937586,1.1336800993937584
0.9098989799572155,1.4604618430654723,0.20588529761030433,-1.1799148249479245,1.5226653325790822,0.3427505076311577,0.8490313056724595,0.7266382749826414,4.0,2.13395782910357,1.13395782910357
0.9293443312449381,1.3317867382210535,0.20871150571556688,-1.1708496995284539,1.5183784615641829,0.3475287620357291,0.8462609286949212,0.7236165665094846,4.0,2.135169267834498,1.1351692678344978
0.8748338852915912,1.6360090675499372,0.20569274975259114,-1.1771944964862828,1.5195326279446115,0.3423381314583287,0.8491013025995807,0.725731498828761,4.0,2.135698876807314,1.1356988768073137
0.9367485433258116,1.2743635124563455,0.21032084637827164,-1.1655237291520997,1.5157226978719724,0.3501989687198727,0.846791033376323,0.7218412430507,4.0,2.1359869753670058,1.1359869753670058
0.9203718602703884,1.3824222525704384,0.20959826518972355,-1.1659800420009834,1.5149598600000236,0.3489798179990401,0.8441845756526388,0.7219933473336612,4.0,2.136659388014171,1.136659388014171
0.9783820353681222,0.8172375285259916,0.22013396879822994,-1.1414881478307877,1.5075343423856904,0.366046194554903,0.838396176359452,0.7138293826102625,4.0,2.136842680411584,1.1368426804115839
0.9888370189815759,0.5578695913013301,0.2288219259301528,-1.1225937937143622,1.5017529789224018,0.3791591852080396,0.8346597246753396,0.707531264571454,4.0,2.137025388687233,1.137025388687233
0.8924103422276676,1.5412538290779085,0.2081131179581099,-1.1688031541594601,1.5152293824382894,0.34642622827882924,0.8453314408799973,0.72293438471982,4.0,2.1370782567239384,1.1370782567239384
0.9638640885520726,1.020179817111234,0.21585663360201118,-1.1503063193608398,1.509634351331816,0.359328031970976,0.8424375772423968,0.7167687731202799,4.0,2.1372083389634895,1.1372083389634897
0.9143481867993251,1.415198422978861,0.21004910381228162,-1.1633424405017725,1.5130540200791833,0.349711579577411,0.8473325692375483,0.7211141468339242,4.0,2.1375100452420415,1.1375100452420412
0.8606475848099217,1.6939311689279755,0.20689541499793795,-1.1708508461862746,1.5151595240450055,0.3443086778587311,0.8468523972015031,0.7236169487287581,4.0,2.137581173055122,1.1375811730551222
0.9594144665636122,1.0639894352269699,0.21573641586032785,-1.1492954332296013,1.508492293081112,0.3591968598515106,0.8410448359796736,0.7164318110765336,4.0,2.1378459266574725,1.1378459266574725
0.9856066707056016,0.6410373220148206,0.22744742696486014,-1.1224099904641007,1.499824833686917,0.3774148432228164,0.8320608309135115,0.7074699968213669,4.0,2.138446276172138,1.138446276172138
0.8827294341986999,1.580880725093209,0.20974512592755662,-1.1609977549149417,1.510127127197391,0.34912937228244917,0.8476349497396418,0.7203325849716472,4.0,2.1391971933941556,1.1391971933941558
0.944417818011716,1.1901861460538852,0.215541237840251,-1.1461727526433205,1.5051366892399145,0.35896393659659404,0.8413706222921636,0.7153909175477735,4.0,2.1396911189601235,1.1396911189601233
0.9504251691885293,1.1347728574054927,0.21696744234197915,-1.141975461379636,1.5032592238014328,0.36128376242179683,0.8421289617538488,0.7139918204598787,4.0,2.1401838041781955,1.1401838041781953
0.954873427124694,1.0915297241063762,0.2179314342823949,-1.1394237030793002,1.5023147481100332,0.362891045030733,0.8385571254673411,0.7131412343597668,4.0,2.1403344315929544,1.1403344315929542
0.9246981356060132,1.331080206859711,0.21438541468886302,-1.147149378048051,1.5041988098403574,0.35704943179230614,0.8422837663789392,0.7157164593493505,4.0,2.1406181470994796,1.1406181470994794
0.9149517919868231,1.3909299503725463,0.21410945951340604,-1.146810762453285,1.5033592763355947,0.35654851388230985,0.8407362234061014,0.7156035874844283,4.0,2.141180032271577,1.1411800322715768
0.9894197130249813,0.4781605312704521,0.23755231378864178,-1.0949824740270067,1.4879721716354901,0.39298969760848357,0.8280102479194823,0.6983274913423356,4.0,2.141370466274,1.1413704662739999
0.9732291600946337,0.8559027097799202,0.22488047436904693,-1.1207592333241405,1.4948353355329207,0.37407610220878046,0.8335174879598984,0.7069197444413802,4.0,2.1418781078203843,1.141878107820384
0.9559697239240631,1.0682638874347627,0.2201631272152627,-1.1311035007968637,1.4977218271517188,0.36661832635485503,0.8377619752263971,0.7103678335989546,4.0,2.141979640406012,1.1419796404060116
0.8656728479871526,1.6419855714460807,0.2135463312743469,-1.143307557393752,1.4988289118629496,0.3555213544691977,0.8434660733640934,0.7144358524645839,4.0,2.1438502679626374,1.1438502679626377
0.8503086290415376,1.7119156493719045,0.21286448326448387,-1.1446543994448912,1.4989730665923584,0.3543186671474671,0.842206413262102,0.7148847998149638,4.0,2.1440397683151446,1.1440397683151446
