omega,epsilon,chi,chi_factor,shift_m,max_shift_1e4_m,max_shift_1e6_m,source_leak,payload_overlap,promoted_alpha,promoted_energy_J,promoted_backreaction,ceiling_alpha,ceiling_energy_J,ceiling_backreaction,ceiling_surface_min_mps2,ceiling_a_cm_mps2
0.4,0.01,0.31758143286790363,1.875,0.30641192438184595,0.6128238487636919,0.5216159769596487,1.3882773272019221e-11,1.1423385709724694e-37,27.007903507182004,350180325679.4633,0.00647209185848883,33.57132922425462,226639923443.60504,0.01000000000175155,9.80665,12.106229025661536
0.4,0.01,0.31758143286790363,1.875,0.4596178865727689,0.6128238487636919,0.5216159769596487,4.0608218927377105e-08,6.655007183867675e-34,27.007903507182004,244989821630.58078,0.006698207452257133,32.99982040153839,164099264897.31525,0.009999999999999691,9.806649999999998,12.293614668525228
0.4,0.01,0.31758143286790363,1.875,0.6128238487636919,0.6128238487636919,0.5216159769596487,9.999999999619248e-05,3.9148659650189196e-30,27.007903507182004,166938764094.62534,0.006949962053464225,32.39661662982779,116021807571.0123,0.00999999999999775,9.80665,12.525041226281225
0.4,0.02,0.5390644449430598,3.125,0.0,0.20767279709239217,0.0,5.523474875947303e-06,4.1705277016268346e-21,27.007903507182004,273463999988.32718,0.006086036390309701,34.61972397599179,166431185536.86108,0.01,9.806649999999998,11.821779707133372
0.4,0.02,0.5390644449430598,3.125,0.05191819927309804,0.20767279709239217,0.0,7.29936866233243e-06,1.8212829759815217e-20,27.007903507182004,246202257447.9685,0.006145910921227809,34.450675560939395,151313714311.96744,0.009999999998418758,9.806650000000001,11.863338806311358
0.4,0.02,0.5390644449430598,3.125,0.10383639854619608,0.20767279709239217,0.0,1.4774377290697045e-05,7.950462713505734e-20,27.007903507182004,221216873221.45438,0.00620791480517244,34.278199275123,137329550244.06114,0.009999999999889389,9.80665,11.907305914837977
0.4,0.02,0.5390644449430598,3.125,0.15575459781929413,0.20767279709239217,0.0,3.677440006936261e-05,3.468846564065794e-19,27.007903507182004,198351472526.5241,0.006272145917562118,34.10223137300976,124408937864.96394,0.010000000000000269,9.806650000000001,11.953892446204303
0.4,0.02,0.5390644449430598,3.125,0.20767279709239217,0.20767279709239217,0.0,0.00010000000000020631,1.5125034188132786e-18,27.007903507182004,177458579039.75342,0.006338705584419629,33.92271339236399,112485768595.61398,0.01000000000005616,9.806650000000001,12.003335120397637
0.4,0.02,0.8625031119088957,5.0,0.0,0.17300397116617788,0.0,1.2537490429166743e-05,1.385534636261068e-20,27.007903507182004,279449763676.01465,0.006086036390309705,34.61972397599178,170074143099.56726,0.01,9.80665,11.821779707133373
0.4,0.02,0.8625031119088957,5.0,0.04325099279154447,0.17300397116617788,0.0,1.503086198678693e-05,4.7038384011249665e-20,27.007903507182004,256075768628.4446,0.006135770015826891,34.47913302273322,157122202264.1307,0.01000000000183887,9.80665,11.856238882050521
0.4,0.02,0.8625031119088957,5.0,0.08650198558308894,0.17300397116617788,0.0,2.4443728472833552e-05,1.5958742696424966e-19,27.007903507182004,234335101626.18805,0.006186970232152078,34.33617075666421,144982429816.2883,0.009999999999632192,9.80665,11.892345861914917
0.4,0.02,0.8625031119088957,5.0,0.1297529783746334,0.17300397116617788,0.0,4.734296586347001e-05,5.410218404750434e-19,27.007903507182004,214134029766.5507,0.006239693101969433,34.19079968288095,133613062843.14488,0.009999999999998612,9.80665,11.930219448811386
0.4,0.02,0.8625031119088957,5.0,0.17300397116617788,0.17300397116617788,0.0,9.999999999998808e-05,1.832464514751825e-18,27.007903507182004,195383274261.58383,0.006293996405861197,34.04298457591077,122974162596.73361,0.010000000000003782,9.80665,11.969990061210032
0.4,0.02,0.3450012447635583,2.0,0.0,0.2387007560950742,0.0,2.2647665183426873e-06,1.1144492484285246e-21,27.007903507182004,308409196866.9277,0.006086036390309701,34.61972397599179,187698959523.83118,0.009999999999999997,9.80665,11.821779707133379
