success,trivial_branch,radius_m,factor,eta_critical,eta,message,edge_width_m,phi_center_gev,phi_near_payload_gev,alpha_x_center,M_m_required_gev,alpha_m_near_payload,payload_mass_shift_ratio_rho8000,compactness,E_gradient_J,E_potential_J,E_source_on_J,E_source_off_J,E_on_J,E_inventory_J,off_over_on,payload_center_m,a_cm_mps2,a_near_surface_mps2,a_center_sample_mps2,a_far_surface_mps2,a_adverse_surface_mps2
True,,0.8,9.0,50.84296571411573,457.58669142704156,,0.05,204.30273363423333,45.242362490135925,-7.108439086182617e+16,3319113626.609987,10.0,0.0008753688907195445,3.6995487292121415e-33,107038671618.61385,11703102398.966558,60354203385.19301,465838370862.72144,179095977402.7734,465838370862.72144,7.718408076561704,1.9000000000000001,11.723547994409229,14.337423288817751,11.698767223255391,9.621943112859604,9.621943112859604
True,,0.8,10.0,50.84296571411573,508.4296571411573,,0.05,208.77005452501132,46.47904702510765,-7.263873513640544e+16,3364171213.035049,10.0,0.0008520776393097767,3.831077693293629e-33,112607672413.76822,12342174131.870274,60513477283.1853,517598189847.46826,185463323828.8238,517598189847.46826,8.553436574554471,1.9000000000000001,12.044007176947398,14.72933186026979,12.018549031873105,9.884955643353463,9.884955643353463
True,,0.8,12.0,50.84296571411573,610.1155885693887,,0.05,216.22513568623364,48.56336559587817,-7.523263044922942e+16,3438775875.598224,10.0,0.0008155068369043023,4.059479507782305e-33,122287724238.99251,13456856657.539114,60775725607.886734,621117827816.9619,196520306504.41833,621117827816.9619,10.219834014394076,1.9000000000000001,12.584111792514157,15.38985787997966,12.557511995707479,10.328239185882957,10.328239185882957
True,,0.8,15.0,50.84296571411573,762.6444857117359,,0.05,224.9263513531929,51.02718267025126,-7.826010151846398e+16,3524928223.4119577,10.0,0.0007761305757844776,4.340318512059245e-33,134204832953.06291,14835248010.962936,61075704244.7672,776397284771.2025,210115785208.79303,776397284771.2025,12.71204801273695,1.9000000000000001,13.22255497123091,16.170647970444215,13.194605658534147,10.85223277121526,10.85223277121526
False,True,0.9,0.625,41.11646179947638,25.69778862467274,TRIVIAL_PHI_ZERO_BRANCH,,,,,,,,,,,,,,,,,,,,,
False,True,0.9,1.05,41.11646179947638,43.172284889450204,TRIVIAL_PHI_ZERO_BRANCH,,,,,,,,,,,,,,,,,,,,,
True,,0.9,1.25,41.11646179947638,51.39557724934548,,0.05,62.69434904555601,12.470026932243012,-2.181365629870019e+16,1742541694.766921,10.0,0.0031759158886915254,1.3655341377903412e-33,9095470526.517838,1041907176.9207212,64231660281.51554,75292018513.23048,74369037984.9541,75292018513.23048,1.1721948052290636,2.0,3.145761612995344,3.8172040510495595,3.139553020535621,2.600741048106776,2.600741048106776
True,,0.9,1.6,41.11646179947638,65.78633887916222,,0.05,96.30808832013193,19.795428195357257,-3.3509105196605188e+16,2195492374.2908998,10.0,0.0020006516795534808,1.6591910375790738e-33,22437316861.87861,2613334989.390258,65311381497.58816,96373783696.93501,90362033348.85703,96373783696.93501,1.4756047336174314,2.0,4.993709995024013,6.059585044215031,4.983854222707041,4.128522171784559,4.128522171784559
False,True,0.9,1.875,41.11646179947638,77.09336587401822,TRIVIAL_PHI_ZERO_BRANCH,,,,,,,,,,,,,,,,,,,,,
True,,0.9,3.125,41.11646179947638,128.4889431233637,,0.05,150.5631626256988,33.09599495874491,-5.238642925179395e+16,2838815734.149433,10.0,0.0011966329072713791,2.4766548817328705e-33,60086272545.79106,7232676039.192645,67563392235.33279,188230046283.07617,134882340820.3165,188230046283.07617,2.7859768441975867,2.0,8.34898842246368,10.131025916502399,8.332510547486795,6.9024800896448815,6.9024800896448815
True,,0.9,5.0,41.11646179947638,205.58230899738192,,0.05,177.350683296812,40.37025374173005,-6.1706787113543064e+16,3135308084.7201076,10.0,0.0009810133203493859,3.0650381941618947e-33,87469487555.04918,10703729482.964794,68753361784.69626,301168074052.92194,166926578822.71024,301168074052.92194,4.380412335269381,2.0,10.184035304627292,12.357751668232519,10.163935712674535,8.419594969528926,8.419594969528926
True,,0.9,7.5,41.11646179947638,308.3734634960729,,0.05,196.87372352938127,45.94411220097277,-6.8499566622737896e+16,3344755793.916332,10.0,0.0008619985188370512,3.580162617275105e-33,111565298683.57423,13809238827.273338,69606490284.82991,451752111079.3828,194981027795.6775,451752111079.3828,6.490086042706825,2.0,11.59012929886065,14.063967316859923,11.567254587352044,9.582075417250165,9.582075417250165
True,,0.9,9.0,41.11646179947638,370.04815619528745,,0.05,204.8896302303202,48.293798031380895,-7.1288593646045416e+16,3429218543.7270174,10.0,0.0008200588539503074,3.813762700826506e-33,122520773674.55702,15233600002.624657,69948865161.15367,542102533295.2595,207703238838.33533,542102533295.2595,7.749983249139515,2.0,12.18287472980957,14.783230420240754,12.158830153808395,10.072124430175439,10.072124430175439
True,,0.9,10.0,41.11646179947638,411.16461799476383,,0.05,209.34405096035337,49.61400186666803,-7.283844948303869e+16,3475774655.315512,10.0,0.0007982374970064377,3.9492663637383734e-33,128882561876.19005,16063790351.066711,70136619402.3069,602336148105.8439,215082971629.56366,602336148105.8439,8.588040787235778,2.0,12.515917037491942,15.187358451050287,12.491215156769485,10.347465319570109,10.347465319570109
