radius_m,radius_ly,radius_pc,positive_tail_energy_j,tail_over_10mj
125892539483.90167,1.330685192319609e-05,4.079899346549855e-06,1416087597483779.5,141608759.74837795
237137367461.12515,2.50654395184811e-05,7.685098692213725e-06,751778876891325.2,75177887.68913253
446683586469.26636,4.7214492344312095e-05,1.4476029159643296e-05,399107711093736.8,39910771.10937368
841395131257.6449,8.893553554835814e-05,2.7267759156190986e-05,211880075313034.3,21188007.53130343
1584893173487.5352,0.00016752334062162443,5.136288972620159e-05,112483835984099.06,11248383.598409906
2985382584295.264,0.0003155551881482656,9.674966050251988e-05,59715918729047.63,5971591.872904764
5623413188790.246,0.0005943952430616312,0.00018224240998219725,31702252314353.25,3170225.231435325
10592537136852.479,0.0011196320588089783,0.00034328074975781823,16830232594479.598,1683023.2594479597
19952622940683.508,0.002108993908928114,0.0006466204719625964,8934908673855.945,893490.8673855945
37583740049212.33,0.003972604457778178,0.0012180060637134807,4743404023800.086,474340.4023800086
70794577749804.97,0.007482992772596434,0.002294296013765268,2518199407996.0635,251819.94079960635
133352141969123.69,0.014095332528033267,0.0043216485989658075,1336872892676.6536,133687.28926766536
251188640895626.12,0.026550660292418645,0.00814046945158223,709725022370.6052,70972.50223706053
473151254890238.25,0.05001212710387753,0.01533378787622896,376781973917.0859,37678.197391708585
891250930798378.0,0.09420529771791004,0.028883475582293965,200027688744.3949,20002.76887443949
1678804004933356.0,0.1774497233378422,0.054406332502242756,106191588330.15007,10619.158833015006
3162277636507593.0,0.33425300992059154,0.10248243871866884,56375462331.56689,5637.546233156689
5956621392949930.0,0.6296153780316943,0.19304095245333378,29928855976.96216,2992.885597696216
1.1220184467463166e+16,1.1859744340018603,0.3636214144589998,15888764065.854734,1588.8764065854734
2.113489026395124e+16,2.2339596636015187,0.6849351465209252,8435097677.462986,843.5097677462986
3.981071681705227e+16,4.2079960878742035,1.290177465586375,4478062140.858741,447.8062140858741
7.498942051243126e+16,7.926388002466245,2.4302416092412167,2377333529.992233,237.73335299922329
1.412537537224525e+17,14.930533549373992,4.57772239619999,1262089389.3494678,126.20893893494677
2.6607250468585514e+17,28.12388593639673,8.622822626765082,670023623.7839556,67.00236237839556
5.011872313772819e+17,52.97553215682749,16.242371995814562,355705119.00110453,35.57051190011045
9.440608724009157e+17,99.7873129497774,30.59492923251667,188838314.34037223,18.883831434037223
1.778279403386193e+18,187.96428125080016,57.63011061339456,100251323.52060078,10.025132352060078
3.3496543803000146e+18,354.0587473671322,108.55490542472886,53221868.15074421,5.322186815074421
6.309573425918132e+18,666.9224373535016,204.47934883944012,28254661.88357237,2.825466188357237
1.1885022243246062e+19,1256.2478423512193,385.1673394049745,14999960.46538314,1.499996046538314
2.2387211335431614e+19,2366.3301053036544,725.520108442809,7963245.672172645,0.7963245672172645
4.216965026397768e+19,4457.335549955075,1366.6252921861096,4227563.251364615,0.4227563251364615
7.943282335356166e+19,8396.056053364462,2574.2424882631535,2244347.5663124165,0.22443475663124166
1.496235654415166e+20,15815.223346141967,4848.969520956906,1191489.2099571875,0.11914892099571875
2.8183829291556713e+20,29790.331067182833,9133.757026531244,632543.0867987041,0.0632543086798704
5.30884444032378e+20,56114.53001129178,17204.793113083168,335807.28496165434,0.03358072849616543
1e+21,105700.08340246155,32407.79289444365,178274.86377889017,0.017827486377889015
