radius_mid,active_integral,energy_integral,kernel_volume_integral,radialized_force
3.957337618701887383e+00,-3.292727688477787436e-14,9.316032090865742005e-13,-4.626961358144415781e-05,3.204196693171251570e-19
4.014277728323497385e+00,-3.551827730721456908e-14,1.005284545342877362e-12,-4.260867988133826278e-05,3.353065768075315579e-19
4.071217837945107831e+00,-4.768889793234201867e-14,1.194947085505376947e-12,-3.864915967765475413e-05,4.306264189449170249e-19
4.128157947566716501e+00,-5.666890361107234600e-14,1.347345217144899820e-12,-3.575553825835645072e-05,4.909369565874951273e-19
4.185098057188326948e+00,-4.888565050844472857e-14,1.281793764676058226e-12,-3.117327600606067950e-05,4.073482464144234034e-19
4.242038166809937394e+00,-4.838877442753264896e-14,1.273551637775288269e-12,-2.957124522770526731e-05,3.917539130423737482e-19
4.298978276431546064e+00,-3.088752203787056097e-14,8.547274539974667095e-13,-2.337192998906265085e-05,2.431678972952631573e-19
4.355918386053156510e+00,-2.155477348481954487e-14,6.436538386260381635e-13,-2.131569899288532355e-05,1.641038457121555393e-19
4.412858495674766957e+00,-2.833131155637466800e-14,8.142967670121375845e-13,-1.890082724943439874e-05,2.047948788448908473e-19
4.469798605296376515e+00,-5.918935232619498271e-14,1.662530038055261351e-12,-1.544966487909520125e-05,4.209726174901685414e-19
4.526738714917986073e+00,-2.108372335296219513e-14,6.540468719614713091e-13,-1.241766145660717913e-05,1.506566596157384817e-19
4.583678824539596519e+00,-5.336733114085875552e-15,2.309091473481693579e-13,-1.010822630883624618e-05,3.644077282440312957e-20
4.640618934161206077e+00,-2.288469821256063700e-15,1.336048752739461925e-13,-9.237723425974120328e-06,1.536628894428609134e-20
4.697559043782815635e+00,-1.566206214459024587e-15,9.570085342202534003e-14,-7.065042001101057290e-06,1.018790491464655747e-20
4.754499153404426082e+00,-1.014474688972651888e-15,7.242038889493682406e-14,-5.470360125042240951e-06,6.328278683982714051e-21
4.811439263026036528e+00,-1.075314468203656530e-15,7.650741844386791572e-14,-4.883502983832332944e-06,6.399141822674621001e-21
4.868379372647645198e+00,-8.443225952865783832e-16,5.623625570415284544e-14,-3.852206300163953101e-06,4.812753554931443001e-21
4.925319482269255644e+00,-6.878930017159598961e-16,4.195945513836506263e-14,-2.943314097853672040e-06,3.756104441519054076e-21
4.982259591890866091e+00,-8.653683798889539180e-16,4.478965507207878561e-14,-2.122136281790341222e-06,4.475680507394907318e-21
5.039199701512474761e+00,-7.304414045483552766e-16,3.446159398798409201e-14,-1.798168570153182641e-06,3.627924430485234799e-21
5.096139811134085207e+00,-6.609792497754437235e-16,2.977269321968848833e-14,-1.179569018817765158e-06,3.126111398166242762e-21
5.153079920755695653e+00,-4.945175012036760695e-16,2.528645502638382177e-14,-9.808383686208711760e-07,2.232905322010511199e-21
5.210020030377304323e+00,-6.901584904150367150e-16,2.688712643426143389e-14,-7.240369914063727458e-07,2.957639624726009259e-21
5.266960139998914769e+00,-5.786774760407085249e-16,2.442260699183423179e-14,-5.206824286269290478e-07,2.340693118677242663e-21
5.323900249620525216e+00,-3.326873698898241051e-16,1.441685049885142076e-14,-1.847829378424443092e-07,1.273508627544082356e-21
5.380840359242134774e+00,-4.786602682022989249e-16,1.879470289488869899e-14,-1.758058615937820122e-07,1.743269134974584541e-21
5.437780468863744332e+00,-5.722893381577591230e-16,2.077538946303624461e-14,-2.714180318268578224e-08,1.930675620094267997e-21
