i,j,r_over_h,z_over_h,payload_surface_distance_over_h,rho,cell_energy,S,S_over_rho,kernel_cell_integral,signed_force,gross_outward_force,lambda_min_over_rho,lambda_mid_over_rho,lambda_max_over_rho,dec_ratio,in_teacher_F50,in_teacher_F90
0,56,0.03493418511502632,0.5938811469554472,0.36431973554191066,9.415298628223713e-09,1.0088481701494885e-11,2.3322542310417375e-08,2.4770900245802823,-0.006400841570077938,-1.4928389834042108e-10,0.0,-0.4738539615881784,0.9564844329866876,0.9944595531817729,0.9944595531817729,0,0
0,57,0.03493418511502632,0.6637495171855001,0.2947614658862507,0.00011558036582416256,1.2384422966402837e-07,0.00022288828722657735,1.928426905705308,-0.009273580210809589,-2.0669724096456314e-06,0.0,-0.9623589811565033,0.8907861740280798,0.9999997128337312,0.9999997128337312,0,0
0,58,0.03493418511502632,0.7336178874155528,0.22536417571951375,0.0008184651609735147,8.769844830030731e-07,0.0015966881705299335,1.9508321754719158,-0.01458628106220616,-2.328974242404937e-05,0.0,-0.9999994825953892,0.9508316997329262,0.9999999583343787,0.9999999583343787,0,0
0,59,0.03493418511502632,0.8034862576456052,0.1562958491042477,0.0008531860367392012,9.141878616374996e-07,0.001300468489331458,1.524249616533493,-0.02603151669317401,-3.385316718897864e-05,0.0,-0.9999997550478879,0.5242494273219985,0.9999999442593821,0.9999999442593821,0,0
0,60,0.03493418511502632,0.8733546278756577,0.08807635592231322,0.0236615175466107,2.5353288963455363e-05,0.02067480700285737,0.8737735000356666,-0.05732238288689091,-0.0011851292031303637,0.0,-0.9999999985910315,0.39222405303896396,0.4815494455877343,0.9999999985910315,0,0
0,61,0.03493418511502632,0.9432229981057105,0.02336466170729439,0.20455326789242423,0.00021917859237387144,-0.09189175151250574,-0.4492314029460148,-0.16003527549483113,0.014705921769006421,0.014705921769006421,-0.9999999999382507,-0.8723853993325217,0.4231539963247577,0.9999999999382507,0,0
0,62,0.03493418511502632,1.0130913683357634,0.005992276740667102,0.9794355229752391,0.0010494640416088277,1.2079482095011673,1.2333105969362572,0.07725230106575234,0.09331677875222066,0.09331677875222066,-0.38841683537189503,-0.3782725673668848,0.9999999996750369,0.9999999996750369,0,1
0,63,0.03493418511502632,1.0829597385658158,0.04671622411163371,1.669855319407109,0.001789248063092039,6.413450829015257,3.840722459292094,0.11063740832405324,0.7095675781359988,0.7095675781359988,0.840722459375838,0.9999999999304148,0.9999999999858411,0.9999999999858411,1,1
0,64,0.03493418511502632,1.1528281087958683,0.11347112397446635,1.1332882766031185,0.0012143170909902554,0.6433394010605331,0.5676749811520664,0.0412817594740288,0.026558182414746674,0.026558182414746674,-0.7199855605093207,-0.7123394579826993,0.9999999996440864,0.9999999996440864,0,0
0,65,0.03493418511502632,1.2226964790259207,0.18212101201052303,0.28169711969610867,0.00030183814126712833,-0.03298920807349387,-0.11710878729992773,0.020559533011038134,-0.0006782427123950029,0.0,-0.9999999996464726,-0.9010160231536145,0.7839072355001594,0.9999999996464726,0,0
