mode,beta,f,reset_duty,A,C
HEADON_KINETIC_LIMITED,0.32000836820083683,0.05258528390074202,0.01829634732598266,-0.1902962733561336,inf
UNRESTRICTED_CONVERSION,0.32397907949790794,0.9429149525240064,0.32426160180918717,0.14481805933908318,7.841842375644179
HEADON_KINETIC_LIMITED,0.32397907949790794,0.053935754799026236,0.018552193810133497,-0.19031829815527143,inf
UNRESTRICTED_CONVERSION,0.3279497907949791,0.9429149525240064,0.324859954137217,0.14453072019611046,7.879356114068441
HEADON_KINETIC_LIMITED,0.3279497907949791,0.05530484561551319,0.019063880945397876,-0.19037353120897316,inf
UNRESTRICTED_CONVERSION,0.3319205020920502,0.9429149525240064,0.3253385578824417,0.14425990169186018,7.916380214582245
HEADON_KINETIC_LIMITED,0.3319205020920502,0.056692637423537695,0.019575560125974143,-0.190426530378783,inf
UNRESTRICTED_CONVERSION,0.33589121338912137,0.9429149525240064,0.32593671506653216,0.14396810682682185,7.954970532818447
HEADON_KINETIC_LIMITED,0.33589121338912137,0.05809921288493247,0.020087231139153193,-0.19047721736049367,inf
UNRESTRICTED_CONVERSION,0.3398619246861925,0.9429149525240064,0.32653477066136105,0.14367409556652497,7.9941095658552
HEADON_KINETIC_LIMITED,0.3398619246861925,0.05952465627822179,0.020854721879915404,-0.19056071851485204,inf
UNRESTRICTED_CONVERSION,0.3438326359832636,0.9429149525240064,0.32725229538893486,0.14335915457743198,8.034851193766237
HEADON_KINETIC_LIMITED,0.3438326359832636,0.06096905352762705,0.02136637154444107,-0.19060650786072245,inf
UNRESTRICTED_CONVERSION,0.34780334728033474,0.9429149525240064,0.32785011455201374,0.1430607258047074,8.075109913321523
HEADON_KINETIC_LIMITED,0.34780334728033474,0.0624324922329087,0.0218780122976243,-0.19064974161525963,inf
UNRESTRICTED_CONVERSION,0.35177405857740585,0.9429149525240064,0.32844783265205335,0.1427600897945787,8.115932793103726
HEADON_KINETIC_LIMITED,0.35177405857740585,0.0639150617000721,0.02238964392706979,-0.19069033600131996,inf
UNRESTRICTED_CONVERSION,0.355744769874477,0.9429149525240064,0.3290454414488889,0.1424572466361466,8.157325297286798
HEADON_KINETIC_LIMITED,0.355744769874477,0.06541685297296562,0.022901266220456778,-0.19072820582215858,inf
UNRESTRICTED_CONVERSION,0.3597154811715481,0.9429149525240064,0.3298819225701468,0.14211485661263443,8.201447303284779
HEADON_KINETIC_LIMITED,0.3597154811715481,0.0669379588657989,0.02341287896554073,-0.19076326443972355,inf
UNRESTRICTED_CONVERSION,0.3636861924686193,0.9429149525240064,0.33035981843922857,0.14182629665931606,8.242924895550768
HEADON_KINETIC_LIMITED,0.3636861924686193,0.06847847399661322,0.02418027971600594,-0.19083042628897928,inf
UNRESTRICTED_CONVERSION,0.3676569037656904,0.9429149525240064,0.3310765368368995,0.14149821593503975,8.287158295116267
HEADON_KINETIC_LIMITED,0.3676569037656904,0.07003849482173408,0.024691867662278627,-0.1908595614497593,inf
UNRESTRICTED_CONVERSION,0.3716276150627615,0.9429149525240064,0.33179310502688464,0.14116796358919215,8.331998880463852
HEADON_KINETIC_LIMITED,0.3716276150627615,0.0716181196712401,0.025203445318018027,-0.19088561623769623,inf
UNRESTRICTED_CONVERSION,0.37559832635983265,0.9429149525240064,0.3323901285940707,0.14085417251515675,8.376344786000338
HEADON_KINETIC_LIMITED,0.37559832635983265,0.07321744878548087,0.025970792043413408,-0.1909433937353649,inf
UNRESTRICTED_CONVERSION,0.37956903765690375,0.9429149525240064,0.3331064222348104,0.1405195769678165,8.42241014613162
HEADON_KINETIC_LIMITED,0.37956903765690375,0.07483658435268203,0.026482343046033294,-0.19096297191916917,inf
UNRESTRICTED_CONVERSION,0.3835397489539749,0.9429149525240064,0.3339419115424537,0.14016421213417532,8.470225660715888
HEADON_KINETIC_LIMITED,0.3835397489539749,0.07647563054767104,0.027249648799342677,-0.19101400938298946,inf
UNRESTRICTED_CONVERSION,0.387510460251046,0.9429149525240064,0.33441924178036614,0.1398625030422662,8.515292335508866
HEADON_KINETIC_LIMITED,0.387510460251046,0.07813469357176561,0.02776117182595958,-0.19102672630355888,inf
UNRESTRICTED_CONVERSION,0.3914811715481172,0.9429149525240064,0.3351351132535029,0.13952142348225668,8.56324614893091
HEADON_KINETIC_LIMITED,0.3914811715481172,0.07981388169386427,0.02852843462391752,-0.1910706311112032,inf
UNRESTRICTED_CONVERSION,0.3954518828451883,0.9429149525240064,0.33585083636257906,0.13917819318850347,8.611845399877048
HEADON_KINETIC_LIMITED,0.3954518828451883,0.08151330529277923,0.029039928353076783,-0.19107608910675777,inf
UNRESTRICTED_CONVERSION,0.3994225941422594,0.9429149525240064,0.3368049036349656,0.13879568866198103,8.6634137062193
HEADON_KINETIC_LIMITED,0.3994225941422594,0.08323307690085813,0.029807146214611877,-0.1911124554123623,inf
UNRESTRICTED_CONVERSION,0.40339330543933055,0.9429149525240064,0.33752028187578315,0.13844819068563816,8.713342172171515
HEADON_KINETIC_LIMITED,0.40339330543933055,0.08497331124893903,0.03057433616432973,-0.19114487673426295,inf
UNRESTRICTED_CONVERSION,0.40736401673640166,0.9429149525240064,0.33811631588745444,0.13811709319414497,8.762760755494261
