valid,kind,p1,p2,ncycle,beta,pot_a,pot_b,chi,tail_n,model,phase_delta,nphase,length,core_radius,tube_curvature,finite_core_clear,K_low_window,K_high_window,K_ratio,E_mobile,S_mobile,E_localization_proxy,E_guide_floor,E_curvature_proxy,E_support,E_compensation,q_compensation,E_total,S_total,laue_residual,A_out,C,negative_active_participation,cancellation
True,ELLIPSE,1.856586505812146,0.057666451819241044,1,0.12259506992995739,0.9676621188828721,1.317711121708534,0.1433875857882114,,POINT_VIRIAL,0.0,4096,7.472567980005254,0.0,0.0,True,0.10766601719659918,0.9443808934288835,8.771392478505403,1.0028591372341227,-1.432156020108178,0.0,0.0,0.0,0.0,0.8116717191141003,4.0,1.814530856348223,1.8145308563482232,2.220446049250313e-16,0.51136738304085,3.5483898983898845,0.4930307760138552,1.0649359895137076
True,ELLIPSE,1.856586505812146,0.057666451819241044,1,0.12259506992995739,0.9676621188828721,1.317711121708534,0.1433875857882114,,POINT_VIRIAL,0.0,384,7.472567980005395,0.0,0.0,True,0.10770001125991946,0.9432060748195582,8.757715656530968,1.0028585366260916,-1.4322753049227281,0.0,0.0,0.0,0.0,0.8117112805162732,4.0,1.8145698171423648,1.8145698171423645,-2.220446049250313e-16,0.5112557518982751,3.5492408846353887,0.4920219262027515,1.0649133262499442
True,ELLIPSE,2.161979149948122,0.08960052641108632,1,0.11729449458420275,0.9909162702132016,1.0093234043360066,0.15095791971473385,,POINT_VIRIAL,0.0,4096,8.762711883155465,0.0,0.0,True,0.07474084611551755,0.8981496656556679,12.016851726129921,1.0027439953017663,-1.4044021704081366,0.0,0.0,0.0,0.0,0.8023820552366342,4.0,1.8051260505384006,1.8051260505384001,-4.440892098500626e-16,0.5083770939446866,3.550761967915898,0.49248718254023444,1.0545258729554348
True,ELLIPSE,2.161979149948122,0.08960052641108632,1,0.11729449458420275,0.9909162702132016,1.0093234043360066,0.15095791971473385,,POINT_VIRIAL,0.0,384,8.762711883155461,0.0,0.0,True,0.07476583783916012,0.896717900432852,11.993684901410655,1.0027434664866397,-1.4045169523619196,0.0,0.0,0.0,0.0,0.8024201396161864,4.0,1.805163606102826,1.805163606102826,0.0,0.5082962393059032,3.5514006725051557,0.491849543108618,1.0545180788118396
True,ELLIPSE,2.527044169027551,0.05167476149275899,1,0.47161798518151044,0.9873693144647404,1.0982561565263311,0.14541544647935342,,POINT_VIRIAL,0.0,384,10.160167435205372,0.0,0.0,True,0.0503732078352758,0.9055973738050832,17.977758668188358,1.054250845952463,-1.3225272630799343,0.0,0.0,0.0,0.0,0.7922593696774657,4.0,1.846510215629929,1.8465102156299285,-4.440892098500626e-16,0.5194929706089091,3.554446970602112,0.48478721591944196,1.0533074110437446
True,ELLIPSE,3.8928106290529105,0.05705371541902423,1,0.6293915440887212,0.0,0.0,1.0,,POINT_VIRIAL,0.0,384,15.666379034992147,0.0,0.0,True,0.0155883768695931,0.7961229443695726,51.071574098423355,1.6559811942282983,2.3118958239086687,0.0,0.0,0.0,0.0,0.2186382098934568,-2.0,1.874619404121755,1.874619404121755,0.0,0.525423290981838,3.5678270002434167,0.18828205937750223,2.270480423193021
True,ELLIPSE,1.8341044839658358,0.11210388034582139,1,0.21530366079881785,0.9744156919186935,0.2596653946172021,0.3067374474308752,,POINT_VIRIAL,0.0,384,7.478701603402117,0.0,0.0,True,0.11076987530036495,0.9039076529944575,8.160229941068458,1.018535925556388,-0.8189462951266872,0.0,0.0,0.0,0.0,0.612494073561025,4.0,1.631029999117413,1.631029999117413,0.0,0.4557112896627935,3.5790862243599544,0.48023142546488257,1.1886847316949183
True,ELLIPSE,2.407768769340204,0.0856353229470551,1,0.0469365918636322,0.9676621188828721,1.317711121708534,0.1433875857882114,,POINT_VIRIAL,0.0,384,9.749433689225114,0.0,0.0,True,0.05704420119583405,0.8798043661360896,15.423204246750709,1.0004136231051408,-1.4371613642718173,0.0,0.0,0.0,0.0,0.8125249957923194,4.0,1.8129386188974603,1.8129386188974603,0.0,0.5044396095360646,3.5939656296317177,0.4938042005918684,1.042170399995002
True,ELLIPSE,2.3416209243362176,0.07989227255806328,1,0.5625905340537429,0.9744156919186935,0.2596653946172021,0.3067374474308752,,POINT_VIRIAL,0.0,384,9.468719702814763,0.0,0.0,True,0.061235413812966724,0.8919541211338966,14.565985033729346,1.176582815079526,-0.5028549384042733,0.0,0.0,0.0,0.0,0.5598125844945997,4.0,1.7363953995741257,1.7363953995741255,-2.220446049250313e-16,0.481138630395755,3.6089295057141304,0.44863614593587986,1.194123069107723
True,ELLIPSE,2.2988895423409965,0.09069652479141951,1,0.26990393176674843,0.9873693144647404,1.0982561565263311,0.14541544647935342,,POINT_VIRIAL,0.0,384,9.320173938839961,0.0,0.0,True,0.06415090714455206,0.8834969945996772,13.772166816111925,1.0149018375744494,-1.4012208651067208,0.0,0.0,0.0,0.0,0.8053742342270568,4.0,1.8202760718015063,1.8202760718015063,0.0,0.5042568766278264,3.609819035041114,0.48884112150000114,1.0511671632640647
True,ELLIPSE,2.550308784904418,0.07637075843289495,1,0.10430834265425801,0.9917886455962435,1.0565071953862266,0.13628661419690297,,POINT_VIRIAL,0.0,384,10.30430938375775,0.0,0.0,True,0.0491881104953417,0.8787161479938308,17.864401359288816,1.0019527104265902,-1.4635329258457044,0.0,0.0,0.0,0.0,0.8218285454240982,4.0,1.8237812558506885,1.8237812558506885,0.0,0.504773360758374,3.61306954295415,0.49184561238815916,1.0361256762525384
True,ELLIPSE,3.0382411010367787,0.05347680697217584,1,0.3349732130952179,0.4399677973520011,0.0501836396729298,0.7094369861306364,,POINT_VIRIAL,0.0,384,12.219315812959449,0.0,0.0,True,0.030913552836708578,0.8679028529691502,28.075157118095824,1.1026656804703707,0.6422334308399464,0.0,0.0,0.0,0.0,0.15347741654347477,4.0,1.2561430970138454,1.2561430970138456,2.220446049250313e-16,0.3442843642865588,3.6485627211589478,0.40566522402541894,1.3993269166014126
True,ELLIPSE,2.8020266851850577,0.06777750808745622,1,0.03922486290335655,0.9909162702132016,1.0093234043360066,0.15095791971473385,,POINT_VIRIAL,0.0,384,11.300346742043285,0.0,0.0,True,0.03840708128807487,0.8686743747003942,22.61755763695877,1.0003030523174141,-1.4094003237247321,0.0,0.0,0.0,0.0,0.8032344586807154,4.0,1.8035375109981295,1.8035375109981295,0.0,0.49326043176014994,3.6563595919550824,0.49397080913644303,1.0338697518633067
True,ELLIPSE,3.7865136474101724,0.052223873380571606,1,0.10743477616459131,0.12524414502549916,0.004562755856559879,0.9098268134652947,,POINT_VIRIAL,0.0,384,15.225404689526258,0.0,0.0,True,0.016848625467819626,0.812707345706401,48.235824771501264,1.0111093164271359,0.8763696213428528,0.0,0.0,0.0,0.0,0.044913231694761024,4.0,1.0560225481218968,1.0560225481218968,0.0,0.28855911030522013,3.659640296939164,0.403902050903445,1.354603408639542
True,ELLIPSE,1.8328349724776807,0.07251232532784344,1,0.3844019019044935,0.9909162702132016,1.0093234043360066,0.15095791971473385,,POINT_VIRIAL,0.0,384,7.399109673284007,0.0,0.0,True,0.11095510459206238,0.9358344508329653,8.434352383098146,1.034098709500704,-1.3418085758442295,0.0,0.0,0.0,0.0,0.7919690951149777,4.0,1.8260678046156817,1.8260678046156813,-4.440892098500626e-16,0.49773019577753835,3.6687904814837613,0.4867482199989343,1.0858644435951488
True,ELLIPSE,1.770201159780858,0.06668160358443856,1,0.29671552337706086,0.9873693144647404,1.0982561565263311,0.14541544647935342,,POINT_VIRIAL,0.0,384,7.1374631482756605,0.0,0.0,True,0.12014586766423549,0.9432924184483648,7.851226486494966,1.0183094302379758,-1.3944086215968843,0.0,0.0,0.0,0.0,0.80423935061162,4.0,1.822548780849596,1.8225487808495957,-2.220446049250313e-16,0.493233674084821,3.6951020917849453,0.4908014473476873,1.079103315221512
True,ELLIPSE,2.204050185566903,0.07416753998026251,1,0.6203326069191099,0.9917886455962435,1.0565071953862266,0.13628661419690297,,POINT_VIRIAL,0.0,384,8.900917450521213,0.0,0.0,True,0.07128392538666241,0.9084617395975849,12.744272073540479,1.1110427377316672,-1.2453531465902667,0.0,0.0,0.0,0.0,0.785465294773978,4.0,1.8965080325056451,1.8965080325056451,0.0,0.5119591653394391,3.704412697149826,0.473700527619869,1.0858546197896437
