A_refined,C_after_10pct_impulse_loss,C_after_25pct_impulse_loss,C_after_50pct_impulse_loss,C_refined,a,aspect,b,baseline_active,beta,bottom_duty,bottom_kernel,chi_plus,coarse_C,conversion_gain_refined,curvature_concentration,duty_class,f,family,guide_factor,halfwidth,interaction_arc_length_over_h,inventory_energy,k_avg,loss,max_additional_impulse_loss_to_still_beat_006D,negative_packet_interaction,overhead,overhead_active_ratio,overhead_attraction_refined,packet_active_interaction,psi,q,reset_duty_required,top_duty,top_kernel,virial_feasible_refined
0.12478660720191187,17.808178874729236,21.36981464967508,32.054721974512624,16.027360987256312,1.1512634460897924,2.2374091295485234,2.575847344796796,2.0,1.0,0.6614514507101011,0.05189428938876046,3.0,12.58371398263206,0.4592689463394548,3.755236039470548,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.162814648036814,4.014810172615906,2.0,0.16724116956877147,0.2558590695261955,0.3206323312067184,True,0.0,0.0,0.0,-2.0,2.3865265902479673,2.0,0.6613762467788393,0.33068812338941966,0.39910720630666924,True
0.12744915528801282,17.43614712235941,20.923376546831292,31.38506482024694,15.69253241012347,1.4897024783281871,1.4976219328491502,2.231011104964029,2.0,1.0,0.6661005203886669,0.05753753845724466,3.0,12.585331920481465,0.48527908231182054,1.8888534858321384,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1208195144965067,3.9316478287751413,2.0,0.17891496351190386,0.41930881375446916,0.33482504266264546,True,0.0,0.0,0.0,-2.0,1.138045086248705,2.0,0.666084176143702,0.333042088071851,0.4218165444055647,True
-inf,inf,inf,inf,inf,1.4114834291156833,1.8718909191536288,2.6421430134974724,2.0,1.0,nan,nan,3.0,12.593223747559549,-inf,2.75023512679969,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1532515367474656,4.353720792050877,2.0,0.1608409707809628,0.39596096193417907,0.0,True,0.0,0.0,inf,-2.0,1.399123681143937,2.0,0.6682602519470421,0.33413012597352104,0.3859730696156646,False
0.12790329733751088,17.374237165741146,20.849084598889377,31.273626898334065,15.636813449167033,1.3256839715792939,1.9252144336317636,2.5522259165187373,2.0,1.0,0.650175018260039,0.04953019791689493,3.0,12.609175290575237,0.4602513567397465,2.8867075808226046,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1327537097248708,4.060037074779831,2.0,0.1661740297011178,0.4020721479319036,0.33718685760165246,True,0.0,0.0,0.0,-2.0,0.9763370646700493,2.0,0.6501542975318231,0.32507714876591154,0.4034872594102534,True
0.1308217370982645,16.986643592364455,20.383972310837347,30.575958466256022,15.287979233128011,1.577021046524012,1.5580455808532554,2.457070672449313,2.0,1.0,0.6540227431700967,0.049191483066214035,3.0,12.610256116943983,0.4629420928039859,2.016556620271506,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1099765167272284,4.193614545104691,2.0,0.1660601778528607,0.4078634367324412,0.351973239984516,True,0.0,0.0,0.0,-2.0,3.1331141875133635,2.0,0.6539896665176983,0.32699483325884915,0.40313082697680347,True
0.13003553337657453,17.089346000425973,20.50721520051117,30.760822800766753,15.380411400383377,1.5330863959323464,1.5737921100895214,2.412759274003907,2.0,1.0,0.6583651835212898,0.051217982809742296,3.0,12.61031638944045,0.4680268291632671,2.0505507929039375,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.117346478412075,4.131214528296637,2.0,0.16899564789334628,0.013629124034196138,0.3480552259059838,True,0.0,0.0,0.0,-2.0,2.831798911036933,2.0,0.6583215587654081,0.32916077938270405,0.40669114913365045,True
0.12660430960501923,17.552500615145902,21.06300073817508,31.594501107262623,15.797250553631311,1.4478771121563432,1.5347847977522473,2.222179780750981,2.0,1.0,0.6614203468485045,0.05799492435721054,3.0,12.615746156553227,0.4873370915592741,1.9668813306825859,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1179237672889166,3.8554316985397796,2.0,0.18036639097712745,0.06475006509572268,0.3303862507060752,True,0.0,0.0,0.0,-2.0,1.6400984608059979,2.0,0.6613947889464233,0.33069739447321167,0.42641335171795836,True
-inf,inf,inf,inf,inf,1.0552423448435764,2.15894602542625,2.2782112662615153,2.0,1.0,nan,nan,3.0,12.617158383661756,-inf,3.5257421777637985,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1717140391502363,3.6327598484494756,2.0,0.1843927368201022,0.29099964210763574,0.0,True,0.0,0.0,inf,-2.0,1.2223400766353116,2.0,0.6710051288247908,0.3355025644123954,0.4260392574874332,False
0.12614496151339827,17.61641682364137,21.13970018836964,31.709550282554464,15.854775141277232,1.2701215402923158,1.937846846734394,2.461301021824896,2.0,1.0,0.6522542115999758,0.0527094263869174,3.0,12.62050700548592,0.46895180071110765,2.9195438492754833,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1361305130569332,3.9208290859492014,2.0,0.1714034195988547,0.32382124988362193,0.32794789887520437,True,0.0,0.0,0.0,-2.0,0.7542574812116108,2.0,0.6522096276143337,0.3261048138071668,0.4122230557847885,True
-inf,inf,inf,inf,inf,1.6164454782062248,1.7337643449964582,2.8025355357447017,2.0,1.0,nan,nan,3.0,12.625413340837953,-inf,2.412730056113713,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1458147084958192,4.73169487990062,2.0,0.15118619286873353,0.42233173130080104,0.0,True,0.0,0.0,inf,-2.0,1.3443566315717306,2.0,0.6695563471010779,0.33477817355053896,0.36737870241083437,False
